"b_no_choice_a","b_powertrainbev_a","b_powertrainhev_a","b_range_bev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainhev_b","b_range_bev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainhev_c","b_range_bev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_hhincome_b","gamma_ev_neighbor_b","gamma_knowledge_ev_b","gamma_risk_taking_b","gamma_evb_environment_positive_b","gamma_evb_function_negative_b","delta_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","gamma_hhincome_c","gamma_ev_neighbor_c","gamma_knowledge_ev_c","gamma_risk_taking_c","gamma_evb_environment_positive_c","gamma_evb_function_negative_c","logLike"
-5.23739364252466,-4.09654935033697,-2.08664476680004,0.274034986362686,-0.269914932171549,-0.0433776377505273,-0.588747052167326,-1.29702427876072,-7.22981024533138,0.173269562998026,1.10051906547778,0.880892696958506,-0.229495865170152,-0.106376227816293,-1.29125827720749,-1.57263022088434,-7.71214696817734,-2.9828319467233,-0.0204837653301092,0.46721722742041,-0.268282999985337,-0.109868440357245,-0.860290276922155,-1.19251494984028,-1.50877910239283,1.56830938096082,-0.553316653956176,0.0351672969380669,0.413438469196855,-0.612898991983686,0,0,0,-0.113554319805483,0.381070081293424,-0.113293775264132,0.0240528337576135,0.346369826853578,-0.53560735864603,0,0,0,-4567.14667109257
-5.27947810986541,-4.06947972572286,-1.91992515212389,0.326378261023562,-0.267688603604268,-0.0518650639418998,-0.58152403343214,-1.248912454151,-7.24509690574844,0.0770577243579924,1.19414058197934,0.826033184488312,-0.232135450329311,-0.115406620084768,-1.2651157771008,-1.53593810171912,-7.73901069975324,-3.01931234254545,0.0287353603478767,0.459264390206739,-0.269529882235884,-0.11178256464938,-0.81542964898868,-1.18110506485413,-1.42245850517556,1.69479296565995,-0.491704198921987,0.0442947106408819,0.568602151006048,-0.403480597245455,0.0384756535996014,0.0390106975044551,0.0259637956249996,0.0636501556233174,0.421177401761871,-0.0940261746953829,0.0338302364097547,0.542912543212292,-0.371536603598397,0.0548856792071739,0.0452937849890578,0.0426156076840754,-4436.04149369061
-5.29254404997482,-4.15129090853341,-1.83228698907757,0.427094442617975,-0.284621336297073,-0.0814951122040251,-0.626532068529293,-1.12836484798906,-7.20279319047329,-0.0244655070286964,1.23476452318906,0.708967360765792,-0.232543595410711,-0.133349717752459,-1.26563785114284,-1.43210014258402,-7.78456052705491,-3.11733384936354,0.135453175788398,0.453389504879023,-0.287021617334418,-0.120353243184544,-0.704322775793104,-1.15710645017897,-1.51000696577572,1.74454564339997,-0.354302733350812,0.0485403389460129,0.72887913910477,-0.12533853573379,0.0625608143697278,0.0939614259235663,0.0125824835770647,0.172247736921124,0.424955900837661,-0.0370554978740846,0.0294994581520874,0.6590089170737,-0.229216653753426,0.0980130530427147,0.0616605506497626,0.0118137556555755,-4372.21456271912
-5.17279779313784,-4.57448114276527,-1.68865362232872,0.668923457880759,-0.30549556385114,-0.125114217413637,-0.799471896907923,-0.842382586965625,-6.81976594514209,-0.0622039975155192,1.10665328205601,0.444504543176712,-0.232251827499028,-0.142317372111487,-1.14561929125381,-1.19680357380126,-7.97916611099663,-3.53390816690235,0.245097727843331,0.465047450993374,-0.327671465531112,-0.124787028144684,-0.551292675023104,-1.12500428723316,-1.86418131129587,1.54392676837171,-0.139413368845879,0.0492402290915146,0.961705545529081,0.221354011467103,0.134736603944995,0.255510109363631,-0.00846889086739859,0.372560735963444,0.38832157006703,0.0685293490810738,0.021590343315134,0.776434400957344,-0.0944757492432031,0.175610723616694,0.134222820616616,-0.193839395654093,-4314.92379125323
-4.98754218388381,-4.2962804414083,-1.71222812111038,0.525385831461495,-0.326608178546619,-0.131830425921476,-0.78438156634502,-0.737029681532577,-6.54507003788991,-0.18677858493265,1.06557359171264,0.472933708609713,-0.237039515533178,-0.131496920531679,-1.03634501433737,-1.13862073743796,-8.29851800594704,-4.13724694415242,0.205245849471786,0.544773405704383,-0.352189974043609,-0.127133497861511,-0.506564386540447,-1.13700386689721,-2.17539812535987,1.42529643200358,-0.0849890089833785,0.0401638941971641,1.04581287892981,0.368775246945905,0.198234274298173,0.365960940614747,-0.0909007577416743,0.391702269957571,0.280666907307566,0.12315545019057,0.0155311577291032,0.794801843357749,-0.088942399422859,0.16935249215406,0.214208916826953,-0.329931357525118,-4296.33674163465
-4.7442090641889,-4.13460079131165,-1.77427546162086,0.413086766092717,-0.344092311769563,-0.133254809653264,-0.776387136090104,-0.618904198001341,-6.24598746648527,-0.308877040573055,1.01924344151334,0.498861485595145,-0.230278322830403,-0.123992012169423,-0.938982505858739,-1.07801413065005,-8.6809597534108,-4.72194942424825,0.107732049031092,0.591895015150664,-0.376333420805586,-0.133510191972712,-0.546450946287086,-1.13718094797834,-1.89023585151907,1.31007950954966,-0.087602772234317,0.0210670029220186,1.0821912404182,0.336858655071705,0.208341758083954,0.382486841373218,-0.16190444080216,0.451999207994801,0.155936535307523,0.110801266655821,0.0021785860268059,0.788919578761996,-0.172003825279757,0.151956819732302,0.237516342623406,-0.378438325500434,-4288.0175455415
-4.68204663590051,-4.00555636630205,-1.79459359126254,0.36269049249242,-0.35769687589242,-0.137369691871053,-0.732557345644827,-0.594881137912419,-6.17406835513025,-0.337834243240991,1.002745431,0.499219370204905,-0.224256842140064,-0.122396730492052,-0.911045096509628,-1.06825649061767,-8.82379091642369,-4.94866368891612,0.0357503541450973,0.606567038181963,-0.384008784146698,-0.135937442332447,-0.599441332814664,-1.13039956924835,-1.86652809365278,1.29075863437933,-0.0824855265626052,0.0211025891275376,1.04616567214125,0.316994848498896,0.204302237790626,0.379932658791188,-0.153081863840432,0.264525249903114,0.146528776556374,0.110987084952195,0.0036241838359196,0.73502107544906,-0.16319227405519,0.138003874776028,0.249768190956269,-0.335953973070957,-4286.90904251704
-4.64735143230425,-4.05918878740352,-1.79845810914679,0.381110051504269,-0.357269143555575,-0.135991487296456,-0.724575626455771,-0.590301544743823,-6.16749702475975,-0.364331175047919,0.998481254473633,0.504316802794175,-0.221423678134059,-0.121655632481615,-0.900165291618466,-1.07303045259537,-8.90875193133236,-5.01441391332911,-0.00625872603498669,0.599914872675936,-0.38657689132126,-0.138853005872117,-0.638318496364627,-1.12947151093109,-1.76373462912285,1.27121677476902,-0.0943011920602462,0.0184766774639011,1.02469920206971,0.265592556565098,0.199996359912629,0.372596515514068,-0.147009583617024,0.234764422151693,0.134404656026437,0.0941636732744472,0.00237499465790208,0.715016868038152,-0.197675628749568,0.128806664343055,0.252043287490231,-0.309910961924547,-4286.55748381011
-4.65986064494612,-4.06760475037278,-1.79673421103927,0.386901318094234,-0.358223604466946,-0.136533017475307,-0.721220875616423,-0.597745474713946,-6.19010261916311,-0.387254979463567,0.998519115355812,0.508649492846879,-0.220245948137447,-0.121502461646246,-0.89984233620161,-1.08161382830488,-8.93338336781354,-5.02370443298796,-0.0319077702943223,0.59237194266677,-0.386215461959477,-0.140182995150522,-0.653579824215846,-1.12865471723271,-1.71435625632522,1.26603880339789,-0.0947934087439615,0.0183288320692258,1.02406143729517,0.253095042084389,0.195504988697723,0.366605394917351,-0.143066388036625,0.224244027236438,0.130691117774836,0.0884917985795978,0.00291432675271652,0.720580607500993,-0.206016699298948,0.124924227772779,0.247795218275949,-0.295750361251328,-4286.42091647957
-4.67828676073118,-4.09070660216001,-1.78670899567856,0.398038174228112,-0.357609448023015,-0.136529464619345,-0.728024651016648,-0.606135988236302,-6.21986055180389,-0.412948695863519,1.00015448656608,0.514756720430391,-0.220129096334445,-0.121463283541501,-0.900778179610114,-1.09072696603275,-8.94953477892863,-5.02808950295177,-0.0503968422430702,0.586055282754767,-0.386808737152719,-0.14116350932827,-0.657052000534735,-1.1275681640076,-1.68146563284758,1.25874987924421,-0.0947330311216017,0.0183588057718897,1.02980572436022,0.244194453627556,0.194051447844267,0.36603430464312,-0.144050633666667,0.232462620817035,0.126091991947702,0.0834377833744149,0.00320648546651356,0.728653561908558,-0.216597412570987,0.124040818589554,0.246395000176199,-0.292283563598523,-4286.34922722115
