,Estimate,Std.err.,t-ratio(0),p(2-sided),Rob.std.err.,Rob.t-ratio(0),Rob.p-val(0),
b_no_choice,-5.24,0.20,-26.70,0.00,0.24,-21.63,0.00,
b_powertrainbev,-1.88,0.14,-13.07,0.00,0.20,-9.60,0.00,-1.95
b_powertrainhev,-0.17,0.07,-2.51,0.01,0.09,-1.99,0.05,-0.18
b_range_bev,0.52,0.08,6.28,0.00,0.11,4.94,0.00,0.54
b_mileage,-0.22,0.02,-11.04,0.00,0.02,-9.55,0.00,-0.22
b_age,-0.08,0.01,-6.90,0.00,0.01,-6.56,0.00,-0.08
b_operating_cost,-0.71,0.08,-8.51,0.00,0.09,-8.07,0.00,-0.73
b_price,-0.96,0.05,-21.02,0.00,0.06,-15.49,0.00,-1.00
