"b_no_choice_a","b_powertrainbev_a","b_powertrainhev_a","b_range_bev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainhev_b","b_range_bev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainhev_c","b_range_bev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_hhincome_b","gamma_ev_neighbor_b","gamma_knowledge_ev_b","gamma_risk_taking_b","gamma_evb_environment_positive_b","gamma_evb_function_negative_b","delta_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","gamma_hhincome_c","gamma_ev_neighbor_c","gamma_knowledge_ev_c","gamma_risk_taking_c","gamma_evb_environment_positive_c","gamma_evb_function_negative_c","logLike"
-5.23739364252466,-4.09654935033697,-2.08664476680004,0.274034986362686,-0.269914932171549,-0.0433776377505273,-0.588747052167326,-1.29702427876072,-7.22981024533138,0.173269562998026,1.10051906547778,0.880892696958506,-0.229495865170152,-0.106376227816293,-1.29125827720749,-1.57263022088434,-7.71214696817734,-2.9828319467233,-0.0204837653301092,0.46721722742041,-0.268282999985337,-0.109868440357245,-0.860290276922155,-1.19251494984028,-1.50877910239283,1.56830938096082,-0.553316653956176,0.0351672969380669,0.413438469196855,-0.612898991983686,0,0,0,-0.113554319805483,0.381070081293424,-0.113293775264132,0.0240528337576135,0.346369826853578,-0.53560735864603,0,0,0,-8497.86914242071
-5.24637560754213,-4.04252827235867,-1.96609004664948,0.324961753469439,-0.271384244633969,-0.0505624240854077,-0.597097801144669,-1.2623022137675,-7.23502192247242,0.159207704762571,1.11043817817547,0.832604836325418,-0.228861569694701,-0.109378585104089,-1.26650050895315,-1.55002682035625,-7.73528434680965,-3.00931252037786,0.0223258706130459,0.456842223794582,-0.268154816068748,-0.110706341005108,-0.827886513148873,-1.18279837611047,-1.37761808044594,1.64676313157061,-0.528498212833406,0.0461801815517022,0.551751903845465,-0.446340623642956,0.0480006027039289,0.0418949206785844,0.0422392692002417,0.0421743201808474,0.407506238918692,-0.095457888225965,0.0358800565610403,0.501928467852892,-0.404668661844704,0.0472477114894335,0.0414924116350419,0.0408750199671119,-8332.2704625862
-5.21353004198438,-4.0834809038796,-1.88771602070456,0.400958215108347,-0.286280735143326,-0.0714800417289987,-0.643489731392497,-1.16131885172134,-7.15939041726308,0.190851293568921,1.04653979880793,0.675925087165203,-0.224669766856933,-0.11577042079311,-1.22866711108701,-1.468170411572,-7.76285123435063,-3.07325503062014,0.105792104686111,0.434254298933585,-0.279832340667606,-0.11459012940604,-0.742077340099016,-1.16658887427238,-1.3784271263528,1.54421240184992,-0.441787039395771,0.0495019386308252,0.604165719499412,-0.278946344814573,0.102097603101225,0.0887417348593777,0.0583042012105157,0.13244766525892,0.411333652289649,-0.061135251785513,0.040102572051049,0.546888778639316,-0.373030809132692,0.073877852638562,0.0599238979974841,0.0339721540208899,-8265.27378427337
-5.00025308826264,-4.17948948846846,-1.78438900475859,0.526891644048465,-0.306413653599977,-0.0980884799686603,-0.745061429231106,-0.930929121433166,-6.79580591543585,0.291233724576999,0.899614877811621,0.353712442036051,-0.211583095039721,-0.116650910760465,-1.13056784673059,-1.27097314059589,-7.8824684525842,-3.32416447197503,0.173898076220158,0.399856281993386,-0.305222019580822,-0.116028670799815,-0.612644424429908,-1.1502056391186,-1.66030769987887,1.35589241010929,-0.337251536992482,0.050096729629284,0.697068290544453,-0.111907906337444,0.204353446705332,0.207422748351637,0.0434976584243478,0.213343635257461,0.356230678052878,0.00537754623550656,0.0429455264377941,0.582742993889554,-0.402059258579451,0.124913015918711,0.106792157027114,-0.0660898795395848,-8207.08239401041
-4.74769192731297,-4.13318189918364,-1.74054329604619,0.508622531519848,-0.305176515971,-0.100830489486393,-0.736201388643825,-0.824715470615026,-6.60089465595083,0.257425399783594,0.893254216004602,0.337507259039032,-0.216474954638029,-0.110541015967199,-1.05809928062967,-1.21078616618128,-8.11660161368943,-3.58581531416075,0.139979949760994,0.383260655782725,-0.32083372721583,-0.116831557618922,-0.581605226258004,-1.16786375676676,-1.86387694672842,1.28024685828391,-0.303160094685498,0.0474382466558662,0.725448097488128,-0.12521281704157,0.26138582481559,0.261338481222987,0.0113764270076718,-0.0326747035336928,0.256456667324515,0.0378854269328967,0.041275835628301,0.560691836443213,-0.440213950783387,0.147169836321141,0.183544132606924,-0.129108300761824,-8189.48943245856
-4.53715859642677,-3.96730504012449,-1.71063338490961,0.422547932763264,-0.305258277018474,-0.105147808478733,-0.724395049056592,-0.732933580021188,-6.42373326582267,0.190492476621952,0.881666646475035,0.336139868944328,-0.21876605166694,-0.105102383904691,-0.998334119578323,-1.15004931199823,-8.42704917559206,-3.97800263320031,0.0503504561000001,0.387765635220885,-0.336691075818587,-0.11840863701517,-0.590369540155977,-1.18769649641352,-1.82747409115334,1.20300218775833,-0.269474991733183,0.0375264244136941,0.763257320922357,-0.15554531745148,0.278418639274212,0.270577540495711,-0.0136371873869542,-0.241900171301444,0.141380330605368,0.0735301064663027,0.0355209405832052,0.539136325841997,-0.499822658955005,0.141812078932996,0.222082400420452,-0.142133491553658,-8180.26902741087
-4.48264314595749,-3.87089329314855,-1.6914770701687,0.388459826334438,-0.30605975873877,-0.106319731419868,-0.699858163235791,-0.723859221712662,-6.41975179197533,0.151931532298335,0.8730548378033,0.339878816481066,-0.217647434874508,-0.104243020409871,-0.989603030753874,-1.14274173562422,-8.5716960020978,-4.20755644263029,-0.0107267732168767,0.411589046005071,-0.342952235679214,-0.119680018219237,-0.616032525297484,-1.19554275658089,-1.73984283457682,1.17752865627809,-0.261412088977676,0.0358252073387945,0.756426747533658,-0.172707699785183,0.269857147289235,0.260728501238934,-0.016049738483201,-0.29737840850839,0.120222245672999,0.0777423082585115,0.0347906834107387,0.516740225113669,-0.514576847026942,0.131212915318113,0.218726026222231,-0.12296052320116,-8178.78360287312
-4.45167188665218,-3.78185496959433,-1.67290283963678,0.367595363137921,-0.307035133465342,-0.106804177405246,-0.674746065581589,-0.730818362284488,-6.45314052569136,0.110904104491849,0.865160285664602,0.344679465773757,-0.216070166590243,-0.103706939150972,-0.986696638963656,-1.1468842617835,-8.67351155287355,-4.4357974807373,-0.073672486737408,0.448460548452497,-0.346821791857486,-0.121613540934743,-0.643451872162656,-1.19826688626148,-1.6312587365088,1.15865053566453,-0.256779417774333,0.0353647315107829,0.747404446748049,-0.199544051946984,0.261117080782199,0.246455432490258,-0.017660917260578,-0.314601876984423,0.100731184599863,0.0755582738588016,0.0353935356386198,0.501098624601063,-0.539948628244927,0.121226185939631,0.207669928804669,-0.10189693503952,-8177.95045531145
-4.4474955594593,-3.73787752020971,-1.65545983283315,0.368013218599973,-0.307557269691942,-0.106906807319167,-0.660246746366299,-0.745591459728227,-6.49681040773604,0.0846789296924822,0.860833023442427,0.347620741381179,-0.215299382835502,-0.103395836945195,-0.98702123827006,-1.15599816742481,-8.70809091613797,-4.56677715232252,-0.112373149655614,0.472749783920686,-0.348515788120351,-0.122981512186203,-0.656821818604467,-1.19586721463773,-1.55892147285294,1.14740615441574,-0.255247430779154,0.0360426904229245,0.742375132727462,-0.21700267704441,0.254775656737499,0.237633252598947,-0.0180364363801785,-0.306709697338909,0.0905883636887647,0.0706426065914985,0.0365246541719525,0.496515802938877,-0.55672153993238,0.115956766841154,0.199061194355882,-0.0907915753640281,-8177.56289658306
-4.45425404573911,-3.71735809376567,-1.63547603970099,0.380429433329367,-0.307844844602281,-0.106645357805899,-0.651758047298731,-0.7641276475236,-6.54589842337578,0.065079363288988,0.858252330431335,0.349591017187724,-0.214878350383591,-0.103158183472639,-0.988586709106889,-1.16733018753533,-8.70414686084913,-4.6447227554336,-0.140230806848847,0.489189783657966,-0.348972932527621,-0.124057436704491,-0.662113137983497,-1.18981171242542,-1.50502148613921,1.13962617981461,-0.25517538771816,0.0371246085111147,0.738140823272891,-0.231171481014443,0.2505626995764,0.231211073409346,-0.0185840678856341,-0.288822160142207,0.0815963929268951,0.0644921779197091,0.0378789047883633,0.494393040582025,-0.570638412062581,0.113201066602682,0.191392436721046,-0.0846124808824166,-8177.31175192741
