"b_no_choice_a","b_powertrainbev_a","b_powertrainhev_a","b_range_bev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainhev_b","b_range_bev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainhev_c","b_range_bev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_hhincome_b","gamma_ev_charge_b","gamma_ev_neighbor_b","gamma_knowledge_ev_b","gamma_knowledge_subsidy_b","delta_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","gamma_ev_charge_c","gamma_hhincome_c","gamma_ev_neighbor_c","gamma_knowledge_ev_c","gamma_knowledge_subsidy_c","logLike"
-6.51,-3.57,-2.81,-0.87,-0.4,-0.06,-0.57,-1.6,-5.24,-0.48,0.28,0.35,-0.1,-0.11,-0.7,-0.94,-9.22,-6.23,-0.29,1.05,-0.31,-0.12,-1.58,-1.43,-0.23,1.38,-0.59,0.04,0.53,1.21,0.02,1.02,-0.22,0.4,0.06,0.53,0.11,0.66,-0.58,1.23,-3687.49972952545
-6.4787637885328,-3.42275693537727,-2.73249188652653,-0.730573470508338,-0.395931628373835,-0.0609395539905689,-0.616822819701729,-1.59902018694963,-5.17876023103534,-0.476350802876526,0.192232477264788,0.332797876941658,-0.0978315891135109,-0.102293852505017,-0.666448907821606,-0.907033308337062,-9.18001542555846,-6.15378636149079,-0.347441849462789,1.06971427947138,-0.310825388167487,-0.120942211489175,-1.58235626073645,-1.40467619780287,-0.0596064434627661,1.30788082719045,-0.516613819826804,0.0493734410034927,0.550428246082902,1.2799105967674,0.127684495990165,1.03110462285349,-0.308562919488864,0.346937061510098,0.0344034178379049,0.475125612346537,0.103589588359675,0.568830816212271,-0.665251656128411,1.16779123578798,-3642.20593609282
-6.36837942405569,-3.24393641935757,-2.63146890481352,-0.643629533912393,-0.372426341323826,-0.0612020302549364,-0.723013980087254,-1.55388986938129,-4.84929632378125,-0.451022212144284,0.0651415405738692,0.267024916175367,-0.0864287899003737,-0.0875283694087631,-0.61108312241841,-0.798462319738217,-9.05939045918724,-6.22160483227732,-0.390399893951838,1.00830347162756,-0.304303695328142,-0.11670339778718,-1.60138084696546,-1.36786336544937,0.225731279615935,1.13137464068539,-0.401611932613138,0.0538324310207485,0.391249691905852,1.20733701545506,0.138725320083914,0.908385888456986,-0.326763708250917,0.279372603247581,0.0244525890681765,0.57134800771663,0.10113242575031,0.584230482447818,-0.712007510106423,1.14713090427845,-3599.55623679069
-5.20531429393465,-2.59024704475259,-2.31963323929386,-0.713142657080827,-0.291588547482774,-0.0270241056004206,-0.619990818960351,-1.3440467059248,-3.51996225184259,-0.196124804745506,0.00113093763922421,0.0814255768073514,-0.0514795011952165,-0.0462619333663435,-0.334825896130694,-0.486673096683506,-9.24077722811422,-6.50620903485087,-0.562385033116843,1.0060862104861,-0.293674797240779,-0.123044683221247,-1.76991767642601,-1.3585093057747,0.931458692213075,0.969825239306327,-0.236377345907174,0.0580951162699502,0.068506912921736,1.04665841901625,-0.274077835711659,0.790676566479428,-0.216619320341048,0.258179142714355,0.152497741679858,0.491247275880314,0.105293997199302,0.207632355847304,-0.98603342274106,0.949626156531696,-3545.72192752766
-4.72875038735029,-2.72441041665154,-2.163436066462,-0.493510761586748,-0.240784579488693,-0.0305949899602521,-0.669533276618174,-1.17130718738552,-3.07223847586151,-0.0402409116771496,0.0619964914387914,0.0269705322015058,-0.0379373595750346,-0.0416124668646182,-0.232529569737273,-0.393412967461351,-9.13326794087879,-6.5761345993027,-0.45990302404323,1.16913179882741,-0.279537397276178,-0.12302588511259,-1.69748550318458,-1.35993398091633,0.810679717598015,0.920936124742439,-0.211805450324734,0.0534114403457979,0.155039187341467,1.04714423557119,-0.277377922357517,0.721696654601938,-0.207721920256842,0.27571343523989,0.114611365894125,0.566888956446274,0.0916410915010987,0.353918147254478,-0.876918974775445,0.924848111401977,-3539.04385622494
-4.1685234162478,-2.60092468963204,-2.07650024787927,-0.434098884207866,-0.202819141254454,-0.0172886501630562,-0.590588632310641,-1.07890262447368,-2.84092505731779,0.037819615851898,0.096328902329994,0.00270554975100177,-0.0285289161551305,-0.0410912574896913,-0.18130495982429,-0.338463050092933,-9.51638880346618,-6.74378314587375,-0.462692589223572,1.28960533796369,-0.289908879473761,-0.12891376353746,-1.75797347288985,-1.43538341490815,0.831208460658201,0.901370765957739,-0.191821406108344,0.0386451003307277,0.137547088707359,0.95215723980464,-0.315278157632856,0.687254877352167,-0.0620473424526214,0.300808843942669,0.135865829292823,0.402081289002565,0.0788084515647779,0.241116179661311,-0.875446335000742,0.87787408331475,-3536.56818474257
-3.8829091259495,-2.64846444648684,-1.9709192692797,-0.23485989097979,-0.183439321079056,-0.0153400460223227,-0.601983967160342,-0.984707589247171,-2.85705967819693,0.0616173202412008,0.108128232684,-0.00424422457859204,-0.0265718718725507,-0.0419255113526863,-0.170007387611653,-0.328704961633247,-9.79700438345877,-6.79966237441507,-0.433529314820976,1.33495538134285,-0.294978985959259,-0.135087731955715,-1.79299438462135,-1.50106875496481,0.740369313659383,0.883940372873543,-0.187457812916907,0.0349624384887583,0.200107479503374,0.847043552487463,-0.304916843586939,0.643102241952781,-0.0843055785357794,0.29387446605983,0.13938483077114,0.425582146485999,0.0728075221402722,0.0994786340650954,-0.833415638717462,0.829805210965645,-3535.0851640709
-3.37122072353925,-2.61973083275093,-1.76104691416087,0.0449750004997928,-0.154387611854498,-0.0102366754667447,-0.574728505404286,-0.851833199782964,-2.98220052677095,0.0885562158892062,0.115795643025323,-0.0135136873345059,-0.0254830944696283,-0.0438272360937018,-0.161088648353362,-0.320590807487715,-10.1209076881115,-6.77989089458629,-0.3888300804474,1.36190412576202,-0.302402844728055,-0.140387505983861,-1.81979624031767,-1.5866690169091,0.635779757840491,0.835830622964383,-0.196706665281544,0.0253561426304696,0.21510927965439,0.703726644589057,-0.291813114222699,0.582023133242592,-0.0776498718127183,0.261260493062169,0.123164325467599,0.385393246319454,0.0611117706649861,-0.08954193998517,-0.798657682607775,0.756198484878633,-3532.89509142144
-3.21015282728834,-2.50889115915773,-1.65997380409846,0.0318413723683332,-0.149112150731652,-0.00855750198342252,-0.56550017122911,-0.808035336290632,-3.08805957143322,0.0796422620971512,0.109792509194605,-0.0075690565679837,-0.0266236011776131,-0.0447033962622964,-0.162678830277641,-0.323554815961875,-10.1730061485873,-6.70526333752081,-0.398388182076515,1.32861620303281,-0.303042416381126,-0.138553104164283,-1.82803342251962,-1.60211376951942,0.622752830496278,0.812247529634859,-0.218078718772427,0.026491886444855,0.227392342741261,0.654106900509593,-0.343711901272047,0.549539671675835,-0.0844286272327188,0.228544371427533,0.111899155610876,0.420527020019994,0.0621781106130228,-0.187674377701008,-0.84139717806,0.720317329005081,-3531.86558369348
-2.86283800583646,-2.21479226994208,-1.39386802195262,0.00885943758976032,-0.144139113490335,-0.00710726637274898,-0.526970032014919,-0.7101496027288,-3.38073319747742,0.0567517100119901,0.0884030839516398,0.00406755947267825,-0.0283945047346186,-0.0471615714255294,-0.174495152641268,-0.333815662940544,-10.2251396012187,-6.47885586212206,-0.423151321773305,1.21681453558869,-0.302768865581302,-0.132150641416945,-1.81902536596673,-1.62854623259351,0.597101524960187,0.780671482012002,-0.258936771320158,0.0264075780480269,0.18738139742191,0.595625856246486,-0.423741281373804,0.415087713022076,-0.0937604343751137,0.167060428567448,0.090985249215941,0.451430710029885,0.0604185445194138,-0.328498453355826,-0.909862199014478,0.591863279394093,-3530.3140536233
