"asc_1","beta_tt_a","beta_tt_b","beta_tc_a","beta_tc_b","beta_hw_a","beta_hw_b","beta_ch_a","beta_ch_b","delta_a","gamma_commute_a","gamma_car_av_a","logLike"
0,-0.1,-0.05,-0.5,-0.25,-0.1,-0.05,-1,-0.5,0,0,0,-2067.40005969297
-0.000106838189439253,-0.104224431077383,-0.051316508255664,-0.481658546931556,-0.247062548558881,-0.0945677321758117,-0.048176644049384,-1.14672576246905,-0.540286532935769,-0.19605485412417,-0.000378051660879696,-0.144096854660101,-1986.98944998764
-0.003843793883407,-0.141697451860157,-0.0530826568355502,-0.568409090374715,-0.23969667243932,-0.115178233383217,-0.0427976755682982,-1.93526641474681,-0.580450596035471,-0.945302676467202,0.781491766744,-0.097677079746301,-1855.91424926298
-0.0411399354520678,-0.185703133033677,-0.0584458286317968,-0.624582332397161,-0.213987614379565,-0.120497448187759,-0.0281676159486644,-2.79612623623388,-0.785815497638303,-1.06014224799293,0.906290659217317,0.319658860674657,-1681.91453771612
-0.0608777701541064,-0.287123315625257,-0.060605705861718,-0.904417200136955,-0.190428408757392,-0.147964592795808,-0.0227804244876786,-4.03361767996848,-0.922316047647635,-0.930937645360048,0.732684868263045,0.381256826146141,-1648.85187744457
-0.00980575558928856,-0.206435816355028,-0.0549346665489823,-0.667865790945983,-0.16504697033945,-0.0931708233178297,-0.0239038385368116,-2.88470623279024,-0.831086655795469,-0.514571226246626,0.636662861078145,0.239050785301735,-1625.85303308811
-0.00196662412168171,-0.207991612278146,-0.0484650594264438,-0.701669016206782,-0.137021290513521,-0.081577688308717,-0.024411202804424,-2.77548676454977,-0.73294051256094,-0.199852216589771,0.679925462223265,0.0880742434099118,-1604.06679743265
-0.0066815971833493,-0.212154972761808,-0.042462295467391,-0.735905152319318,-0.110012115753141,-0.0716073734841267,-0.025771819450366,-2.71559932921662,-0.657978789511402,-0.00722672970210603,0.677790784193431,-0.0897383036768687,-1584.69957448555
-0.0300942748206492,-0.279371377559419,-0.0390077903258806,-0.990992496909383,-0.0586751112319094,-0.0605605387757731,-0.0290738493130473,-3.42664455070259,-0.786911403595252,0.0266734629346112,0.205346385382629,-0.532475146249188,-1569.53370715888
-0.0476240276290153,-0.248668328882284,-0.0340358408139234,-0.904981240135786,-0.053984979039894,-0.0597873248417038,-0.0325473453664047,-2.75013680354166,-0.626028926524751,0.139218052881055,0.458507984667446,-0.557427425778949,-1561.52914782014
-0.0345230430684836,-0.230256543222834,-0.0333891279865812,-0.826360497465386,-0.0470302678108935,-0.0557528481587446,-0.0331924773567301,-2.71571528907334,-0.62536308738317,0.141650644840353,0.549810035449478,-0.57699831963641,-1559.82352025204
-0.0315676908384398,-0.222240581056422,-0.0337946179821985,-0.798651509977071,-0.0455247988406634,-0.0550047340518098,-0.0334821290748752,-2.71035390508664,-0.620293734889074,0.173371773219181,0.496513021084502,-0.587689323358939,-1559.44219230826
-0.0312656289413676,-0.214354784715148,-0.0347626578962952,-0.776142189811989,-0.0457907437531363,-0.0547408368486471,-0.0337466429967554,-2.70220094996691,-0.610986923436466,0.204766542554162,0.44544667419413,-0.591945928918603,-1559.19266904221
-0.032868035233916,-0.210743199777588,-0.0356374017827658,-0.769282996075807,-0.0470582749612764,-0.0548129968534784,-0.0338702994645157,-2.69364193071735,-0.605635733108457,0.216839800837793,0.42696625267588,-0.591264763953813,-1559.09506949762
-0.0349321918852496,-0.208370903933376,-0.0365317844496416,-0.7673617910083,-0.0486333279128088,-0.0548980722753681,-0.0339794664063865,-2.68159037975487,-0.602601608908385,0.222047537269319,0.42191644648041,-0.589724217523022,-1559.04331462917
