"wtp_mileage","wtp_range_year0","wtp_degradation","wtp_packreplace","wtp_cellreplace","asc_no_choice","b_price","logLike"
0,0,0,0,0,0,1,-13390.110202405
-0.0117509011273188,-0.0148946831767849,-0.0077288911065712,-0.0470238829863281,-0.046002409069588,0.00825304865971344,0.983747867269897,-13273.4962685716
-0.064265437299879,-0.067047707999939,-0.0321371461509487,-0.279652587980915,-0.231444323051875,-0.984181414433251,0.640953598672218,-12615.8643513496
-0.115980213218572,-0.12995666153269,-0.0860109133223605,-0.618600761006657,-0.528666110768989,-0.711580254536922,0.561283875232787,-12349.5302235868
-0.107727247186178,-0.110344789810475,-0.0966821995405966,-0.725315028646384,-0.583126500972002,-0.987997443465784,0.404332013976714,-12204.3331666859
-0.113549571171198,0.116946104615294,-0.180953121378772,-1.20104230990152,-0.943050553633257,-2.00340120139964,0.184244441123093,-12089.6412514896
-0.0120239189371344,0.263817823191072,-0.115792487179881,-0.917713157933497,-0.617252339760499,-2.58851998115688,0.195248690795755,-12059.465133184
-0.0281071925809414,0.302661399009993,-0.208521506032251,-1.55012763219959,-1.1045253831339,-3.57994832594534,0.166116402406262,-12029.0963926433
-0.0102886583722505,0.743073165198551,-0.348535582461352,-2.50469077217148,-1.78588996427296,-5.83385935350909,0.093509432536865,-12010.3782337986
0.0794654011448821,0.872402025176964,-0.298449170561221,-2.27142114842953,-1.50772061413198,-6.30066228894998,0.0961349548224561,-12002.1829741471
0.0382293427257103,0.909924825144568,-0.444075646232881,-3.15422054457487,-2.24198436595893,-7.30747474090997,0.095475111085875,-11993.2771935361
0.0481470677922751,1.29661797269035,-0.673494962492102,-4.35491615482169,-3.2085546730643,-9.57918154096404,0.0781004355376394,-11984.8011304611
0.0262416411879771,1.97458877148195,-0.90805734458965,-5.60310191767229,-4.13074667238332,-12.2701082592877,0.0613997126556399,-11979.6092878952
0.0982622574799267,2.33417610295293,-0.913772142918591,-5.94549943405066,-4.22277756721414,-14.1017797573231,0.0544386603399316,-11978.1090085971
0.06735525828766,2.71094681779812,-1.21032953186501,-7.42787549550933,-5.50875866942703,-16.2116365622736,0.0499364706987341,-11974.8798337929
0.118632514459622,3.59454737069963,-1.51758384696206,-9.25715412812848,-6.82196017433245,-20.2505337547964,0.0379186347667289,-11973.4802015346
0.119858564843783,4.28894334564202,-1.76485821577574,-10.5024854701139,-7.76180851799702,-23.1650707620479,0.0352824235046544,-11971.1987978529
0.149873911737494,5.61322925512633,-2.28393107126763,-13.6087246574433,-10.1056001084062,-29.446462197985,0.0265727471477406,-11970.6586489767
0.204562684408827,6.92963483127207,-2.7557796284556,-16.6931449501395,-12.2918519511889,-35.5741899118305,0.0237378878820332,-11968.4808888396
0.206706362109643,7.68466375179678,-3.05801305149182,-18.1998498930936,-13.5209883897936,-39.0216126867132,0.021365934413152,-11968.0297064732
0.345163102612439,9.35591073547401,-3.63439451547342,-22.1352799957299,-16.2474422317461,-47.2999872004149,0.0173672321455854,-11967.4303200475
0.352024518341191,11.6555863179626,-4.50322413058955,-26.7286306757952,-19.8297346089521,-57.6398140126427,0.0140742574394119,-11967.1732343182
0.426333037158765,14.5029421517248,-5.54633493530993,-32.7519448471059,-24.3354241743441,-70.8129161767118,0.0114767561652544,-11966.6897656467
0.533823168837655,17.9785283913101,-6.81402308867724,-40.1921911859634,-29.860861101991,-86.9918553474832,0.00935474706920335,-11966.3010209698
0.670086955329597,22.2396367759369,-8.36785236332244,-49.3279227275865,-36.6395540503717,-106.848362959494,0.00762512136972049,-11965.9871496916
0.838982292223953,27.4655912514309,-10.2735263895835,-60.5359361578162,-44.9543912920811,-131.210332082367,0.00621512455614553,-11965.7357039228
1.04717451353832,33.8760081745851,-12.6111281546242,-74.2857263470627,-55.1542815707018,-161.099853548457,0.00506578261459961,-11965.5337384622
1.30330245707939,41.7399548594236,-15.478756967258,-91.1541678503757,-67.6672574398453,-197.77116177988,0.00412894541739017,-11965.3711318148
1.61808867343399,51.3874703393206,-18.9967555463554,-111.849141981228,-83.0184441509659,-242.763185259816,0.0033653418299254,-11965.2399315737
2.00473523201414,63.2234303044926,-23.3127599673762,-137.239130783789,-101.852071862513,-297.96404611231,0.00274294858419197,-11965.1338813649
2.47946474897272,77.7445463800477,-28.6078955829916,-168.389649004138,-124.958512921465,-365.690293139724,0.00223565725830795,-11965.048032216
3.0621979622708,95.5602130636755,-35.1043777785646,-206.607956877345,-153.307451032086,-448.78411553851,0.00182218410191892,-11964.9784505269
3.77738878802707,117.418082434193,-43.0748374084582,-253.49792027426,-188.088575337933,-550.732617259879,0.00148517969334757,-11964.921996618
4.23097836191252,131.159562223698,-48.0915477452369,-282.98661083116,-209.968261658737,-614.821370057703,0.00137485221617583,-11964.3584781535
4.76365225819184,144.284467807518,-52.8499963986225,-312.019906195349,-231.20572232727,-677.243427832198,0.00124606727620102,-11964.3478688445
4.86964477704583,148.269735529475,-54.2973281234133,-320.755238994057,-237.625107579501,-695.594233616624,0.00122462652092866,-11964.311918387
5.06599329528919,152.443023496542,-55.8168952193862,-329.81690638803,-244.306015450393,-715.546676605574,0.00118962956071219,-11964.3065589388
5.35582436146746,161.206580815145,-59.0089908275886,-348.724651615744,-258.294225146501,-756.44965812281,0.00112278986541971,-11964.2991626366
5.67130706097775,170.066069999618,-62.2316777597072,-367.940276199905,-272.479464752743,-798.00640454285,0.0010651628881095,-11964.2882621881
6.05869417039338,180.381407646469,-65.98139826826,-390.405454788074,-289.031686516982,-846.538449622803,0.00100377412267557,-11964.2789306343
