"b_mileage_a","b_mileage_b","b_range_year0_a","b_range_year0_b","b_degradation_a","b_degradation_b","b_packreplace_a","b_packreplace_b","b_cellreplace_a","b_cellreplace_b","b_price_a","b_price_b","delta_b","gamma_EVB_environ_b","gamma_EVB_function_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_knowledge_gas_b","gamma_knowledge_plugin_b","gamma_knowledge_ev_b","gamma_knowledge_subsidy_b","logLike"
-0.025468653257466,-0.385773102329307,0.969870674558618,0.911656459557893,-0.214947857764388,-0.275694224953161,-0.07447111883156,-0.93323495002826,-0.190530544246732,-1.10148249495141,-0.088540522398056,-0.36643539950042,-0.688235454015302,-0.401092914724582,0.222140850489599,-0.406834968474276,0.503079988663907,-0.503059313982141,0.308215957382503,-0.346372503236593,0.436085321677887,-1907.6815063233
-0.0256225612058094,-0.382041089139485,0.971020236034814,0.910692954454845,-0.21541340929188,-0.270348082310419,-0.0715380828349883,-0.955500553102974,-0.187916673441252,-1.12142880182937,-0.0890184773046864,-0.369405744878547,-0.638804113845697,-0.410886630270767,0.225644319992498,-0.409698241615962,0.497306802173445,-0.506233540012789,0.302151071210662,-0.353114966301598,0.421027700430057,-1907.6615740213
-0.0258170637062999,-0.379004698107646,0.971593326513365,0.911135905698117,-0.215841656069331,-0.267106658513217,-0.0692901538245743,-0.978244641665236,-0.185812373286791,-1.14637485364423,-0.0897469061148763,-0.372858239421962,-0.609799080774422,-0.416884691686612,0.22629913253763,-0.407258251566902,0.495642648705306,-0.512002048940358,0.30310235038646,-0.358006225890368,0.414951070531259,-1907.65177204322
-0.0257549533271829,-0.377738153712082,0.97171400966247,0.911781811008558,-0.21609952472313,-0.265854302315638,-0.0681173568286313,-0.989593241153721,-0.184731017834278,-1.15960782367152,-0.090446611241347,-0.374581076534208,-0.601453991614005,-0.424586065973371,0.228978846996388,-0.411248651650699,0.494147984975415,-0.512549907409094,0.305934400020843,-0.359656055917554,0.421964691705515,-1907.64845984766
-0.0257811333498974,-0.37782874051059,0.971668527706588,0.912261762367854,-0.216161286933245,-0.265873960576772,-0.067896622525104,-0.994907478312672,-0.184522793399044,-1.16462674910902,-0.0907894011050332,-0.375252518224208,-0.608580592519956,-0.423433394521924,0.228449367517058,-0.410855602007806,0.494181642880943,-0.513226383980928,0.30629361748143,-0.359084147057889,0.429234514739909,-1907.64759766273
-0.0257663896383786,-0.37814351836177,0.971540798161558,0.912824132934157,-0.216192422223109,-0.266206208706814,-0.0681257480954844,-0.994129420767628,-0.184623458299067,-1.16639417435801,-0.0909057062078281,-0.375626105392871,-0.61235473931199,-0.425773410864533,0.229263841553436,-0.412735176260631,0.494654817040295,-0.512124940515139,0.30885944368544,-0.359424963560054,0.432831559661339,-1907.64751557752
-0.0257487869331318,-0.378409049193934,0.971551199987533,0.912573095916127,-0.216179090864076,-0.26620165539367,-0.0680757833527493,-0.994501206994667,-0.184617424588605,-1.16506444098637,-0.0909294986279543,-0.375028683334354,-0.611051092519219,-0.423869030746402,0.227931225221544,-0.412207608543521,0.49485093192629,-0.513222194060485,0.307604065026743,-0.359561786350467,0.43259680152157,-1907.64737761219
-0.0257309689692403,-0.378681111177937,0.971574133868575,0.912365113721704,-0.216174919587693,-0.266237997639881,-0.0681416638535754,-0.993863588806567,-0.184673266199565,-1.16432885039441,-0.0909617028093382,-0.374658582670723,-0.611638441982327,-0.422938096917524,0.227377460185738,-0.412225867247096,0.495181597642662,-0.513586814858134,0.307375870731297,-0.359558815540349,0.432364369395627,-1907.6473408292
-0.0257234346478317,-0.378955841057342,0.971579469298064,0.912258617179539,-0.21617326840395,-0.266287962908132,-0.0682432903155792,-0.993190766398404,-0.18475349817553,-1.16366245280215,-0.0909771466181144,-0.374444776299468,-0.612488764436027,-0.422470662234917,0.22708806605235,-0.412454155206016,0.495292568783233,-0.513615888101621,0.307231819021262,-0.359399869151809,0.432687085139631,-1907.64732509348
-0.025724781456667,-0.379061095415806,0.971576498376439,0.912227832056493,-0.216173088859339,-0.266331799067237,-0.0683122001486086,-0.99273895610224,-0.18480451844712,-1.16343783218209,-0.0909734322056407,-0.374395703836741,-0.612856871040826,-0.422433621188683,0.227019698834554,-0.412488005202293,0.495369393168658,-0.513575297787349,0.307372601989776,-0.3593481277619,0.432778509435512,-1907.64732060135
-0.0257260692268456,-0.379080880983786,0.971571622486836,0.912231476819414,-0.216171999002488,-0.266355123292902,-0.0683400128628091,-0.992531518901921,-0.184829861172421,-1.1632894608273,-0.0909647646616487,-0.374415231068269,-0.613071531047632,-0.422552010047337,0.227095486997667,-0.412541312792375,0.495322159511153,-0.51346425677824,0.307422818481758,-0.359254498239642,0.432952601543968,-1907.64731925953
-0.0257275159952664,-0.3790615850212,0.971566904110904,0.912247260182334,-0.216170712322361,-0.266370124954301,-0.0683452560990187,-0.992475183919374,-0.184835731360411,-1.16327300793631,-0.0909573059410798,-0.374442468105412,-0.613134426546975,-0.422625300380717,0.227153046038535,-0.412500322822398,0.495305800410408,-0.513422153428986,0.307478242850063,-0.359237082353731,0.432963872578583,-1907.64731889851
-0.025727469390899,-0.379040691038184,0.971564020685882,0.912257539774448,-0.216169230076326,-0.266378443486727,-0.0683419419040971,-0.992465568932848,-0.184835374716154,-1.16324668745523,-0.0909529030080546,-0.374457564469272,-0.613183991125495,-0.422663444690321,0.227199540776081,-0.412477407596181,0.495286509588184,-0.513393685705488,0.307485469052618,-0.359214827285436,0.432977364875698,-1907.64731877629
