"b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","b_mileage_d","b_range_year0_d","b_degradation_d","b_packreplace_d","b_cellreplace_d","b_price_d","delta_b","delta_c","delta_d","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3094.20901401957
0.0117740981325795,0.0714558414919346,-0.0299546953492979,0.000604699032303351,-0.0302974292853625,0.0178236594425693,0.0117740981325796,0.0714558414919346,-0.0299546953492979,0.00060469903230345,-0.0302974292853626,0.0178236594425693,0.0117740981325796,0.0714558414919346,-0.0299546953492979,0.000604699032303457,-0.0302974292853626,0.0178236594425693,0.0117740981325796,0.0714558414919346,-0.0299546953492979,0.000604699032303443,-0.0302974292853626,0.0178236594425693,-3.18250454363195e-15,-1.59125227181598e-15,0,-3008.52980605304
-0.0402869672938856,0.329482745563984,-0.0924630890351844,-0.102638916567232,-0.169963289972063,-0.0145321896699615,-0.0402869672938163,0.329482745564016,-0.0924630890351743,-0.102638916566661,-0.169963289971784,-0.0145321896699383,-0.0402869672938196,0.329482745564025,-0.092463089035176,-0.102638916566575,-0.169963289971856,-0.0145321896699232,-0.0402869672937819,0.329482745564088,-0.0924630890351255,-0.102638916566583,-0.169963289971753,-0.0145321896698873,2.3175146895644e-12,6.88594613149666e-12,5.21865024183753e-12,-2863.79290690195
-0.0931456428430322,0.699953609498456,-0.188237909322809,-0.230048985504268,-0.31834458596268,-0.0565133258743102,-0.093144224050607,0.699955677229227,-0.188237362743608,-0.2300446760358,-0.318340869096212,-0.0565118012852354,-0.0931437819155758,0.699956904485223,-0.188237586768509,-0.230043757827316,-0.318340394493666,-0.0565112146641532,-0.0931428681428922,0.699957810245647,-0.18823678775812,-0.230041328358538,-0.318337869403178,-0.0565102248028967,-1.17364226843085e-07,1.69790484482282e-06,7.64616135937691e-06,-2762.21178552312
-0.0893104083732172,0.773201623887435,-0.212187687249553,-0.236048199454106,-0.31562303324247,-0.0633681578966519,-0.0891656304185838,0.773400652125579,-0.212106747108034,-0.235654613015336,-0.315242642970888,-0.063207259144305,-0.0891206915308768,0.77346244954927,-0.212085213562229,-0.235534579675482,-0.315128202255606,-0.0631574758587466,-0.0890264203751552,0.773591989302036,-0.212027345281621,-0.23528242196338,-0.314880617683467,-0.0630508586135009,0.000205367107822856,-0.000673886242394396,-0.00246871813545172,-2756.63792721724
-0.134975819266529,0.724410587577526,-0.244327842708206,-0.355993555990512,-0.428241832560968,-0.118682729512877,-0.0903333766365487,0.784258798572708,-0.220732687541656,-0.232842278891184,-0.309310722856213,-0.0680287255690129,-0.0763744354323761,0.803031422267243,-0.213587016666574,-0.194700276776185,-0.272565367665654,-0.052248620797532,-0.0457748695289626,0.844358801210685,-0.197595825654602,-0.111904901649917,-0.192483076546944,-0.0174643939019661,0.0311042058982412,-0.257145917114404,-0.836733115143779,-2729.17102566384
-0.12289910661174,0.747000598213281,-0.253248458568107,-0.334483476554877,-0.375853260759482,-0.107886011184109,-0.00486236973750451,0.996236927885174,-0.226871557064022,-0.147801607326273,-0.185717908900782,0.0324595245357826,0.116256227728416,1.3026820160029,-0.216423803542324,0.00270351660371426,-0.0342077267640901,0.209339767120835,0.288283502667181,1.4168118111978,-0.191379776389684,0.491223221187152,0.469500405243512,0.339375893629135,-0.654965443709213,-1.24693149283389,-1.97206504135409,-2718.03237991419
-0.147039905837255,0.730598861164392,-0.261353483029201,-0.491182201379488,-0.481256798263082,-0.13809663126702,0.0152496533603039,1.00359924613124,-0.181868508478727,-0.0948932867588941,-0.122449030818272,0.0634958733376795,-0.159018266276994,0.801010487386088,-0.321097842453288,-0.0765289582376985,-0.248033848512527,-0.17426906776532,0.108409613254042,1.05073544569161,-0.308271065214548,0.690647025319438,0.214231377037186,0.156613552982114,1.09905994736084,-1.38014698123475,-2.83347755213362,-2681.20746726817
-0.190110977794091,0.735570064515345,-0.259050636951219,-1.1662274456079,-0.83888280954975,-0.225453727444281,-0.0839952769918299,0.837813407879786,-0.195589395604785,-0.189791315074236,-0.255122562861179,-0.0594279400769389,-0.217456019477146,0.915492429059743,-0.599520568034838,2.31840351238308,1.7226819989803,-0.241019178629897,0.349300241592596,0.789046497755691,-1.07263554249738,1.02098862581201,0.0791433812325231,-0.0615527787099827,1.72823142604844,-2.38163190421329,-0.746590864033434,-2657.76071641802
-0.201301795233555,0.723574814453719,-0.264442983163619,-1.23679447934055,-0.92613176097012,-0.242423934905274,-0.0706423252403409,0.866478753673552,-0.1896699770126,-0.177368453043835,-0.234148954688496,-0.0414740567351308,-0.202576957622913,0.930598128863808,-0.590123938079006,2.32054793221147,1.89931613207022,-0.230626377789234,0.356549721930441,0.799514553358474,-1.06830838725223,1.10127826730026,0.0864106292673453,-0.0482836573682138,1.71422710189602,-2.25776033530687,-0.742632411984025,-2637.46459089413
