"b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","b_mileage_d","b_range_year0_d","b_degradation_d","b_packreplace_d","b_cellreplace_d","b_price_d","b_mileage_e","b_range_year0_e","b_degradation_e","b_packreplace_e","b_cellreplace_e","b_price_e","b_mileage_f","b_range_year0_f","b_degradation_f","b_packreplace_f","b_cellreplace_f","b_price_f","b_mileage_g","b_range_year0_g","b_degradation_g","b_packreplace_g","b_cellreplace_g","b_price_g","b_mileage_h","b_range_year0_h","b_degradation_h","b_packreplace_h","b_cellreplace_h","b_price_h","delta_b","delta_c","delta_d","delta_e","delta_f","delta_g","delta_h","logLike"
-0.382341582664997,3.95494944967106,-0.61557087033429,-0.292928913457397,0.0519253606621546,-1.70566498826813,-0.0290382889776799,1.23122946772871,-0.146809540524878,-3.52557371816268,-3.12992729167894,-0.183609681250596,160.860429910069,184.504287845903,-332.871310382891,460.907062741453,6.2036215549069,-271.238311334101,0.783298417530189,-0.401046722115925,-0.486291330771535,-2.49451913298548,1.99685982129126,0.231964528614965,-0.192917632680444,0.632501997582643,-0.0047595752441273,0.211434556403889,0.0116270537857148,0.168546944562533,0.20059417663273,1.16196913441552,-0.595373314000843,0.188082425631733,-0.0483792964321299,0.151257113633821,-0.440168055348827,0.565460155696984,-0.265069828480881,-0.554850496743838,-0.55258689940885,-0.0740565392599774,0,0,0,0,0,0,-0.223353202017751,-1.37168830929964,-1.71356457280009,1.08936248740908,0.939949994196946,0.0441392409254457,0,-2512.003672946
-0.38268733985172,3.95546915903214,-0.616131868294655,-0.295808580604946,0.0518887978504528,-1.70579808663301,-0.0290866043618941,1.23347716919597,-0.147036930554088,-3.53889714772706,-3.1329842753865,-0.182001656737092,160.860429904599,184.504287842977,-332.871310386782,460.907062741453,6.20362155477798,-271.23831133549,0.784844581245293,-0.397682293196683,-0.486433577084054,-2.53999945251533,2.00342778252457,0.234116365994583,-0.194420980548981,0.654974194276154,-0.00494157120172856,0.213019153638572,0.0112280910750437,0.189717383586264,0.200306611050675,1.16578391581107,-0.596658169997153,0.186500095033925,-0.0481077999617938,0.153329592224935,-0.446849384902405,0.562979321783117,-0.270190385824019,-0.589570385392724,-0.575878105397754,-0.0843525523389825,0.0167771912172038,0.0409707217675912,0.000897213304818684,0.087076174788752,0.0147978451017949,-0.0137523339505462,-0.209648874135313,-1.3544949811976,-1.71413781842853,1.08629478767004,0.964828357190883,0.0343980717852789,-0.313483903834974,-2507.09068966427
-0.383308010102509,3.95782142928046,-0.616503954401016,-0.302338078045447,0.0516620127583574,-1.70630851162209,-0.0326014796810311,1.23568914310845,-0.147835406311386,-3.55242046354869,-3.13057576918187,-0.178977327770436,160.860429883549,184.504287831675,-332.871310401747,460.907062741453,6.20362155426738,-271.238311340869,0.786744240000217,-0.395034792800921,-0.48652602677734,-2.59252644347581,1.9996355640936,0.235398013785932,-0.207202211946858,0.653047318984398,-0.00765238690658814,0.200840071976367,0.00309738603992508,0.211495870862016,0.198467655493788,1.16932851504044,-0.598525399805313,0.182182711300371,-0.0509588825532376,0.152116554426857,-0.448660780970971,0.573789716282585,-0.272857635611037,-0.640084513299285,-0.593956655506276,-0.0901215744857837,0.0611691083678832,0.117906398909265,-0.00454136429320609,0.343085007738777,0.101535041207511,-0.10229924835534,-0.185664294155188,-1.33416258679038,-1.69559973722161,1.07845998689924,0.986230003012162,0.02957515619191,-0.890300329514976,-2503.10548716669
-0.383282294881637,3.96435798806665,-0.616965736338058,-0.308103089196298,0.0483032144448511,-1.70857213647131,-0.0382572672318359,1.2413947076821,-0.148321542624282,-3.54945683458222,-3.12945216619852,-0.174359243583836,160.860429820044,184.504287797519,-332.871310446899,460.907062741454,6.20362155270853,-271.238311357127,0.783507668587106,-0.388397835672329,-0.487832405914073,-2.58804188319508,1.98889179374452,0.230640607616516,-0.22792738552441,0.663857539449224,-0.00856333875945736,0.176819166283538,-0.0194697697081615,0.250261085183442,0.196271129321172,1.1754226826856,-0.599860830520301,0.177254587228663,-0.0578584456310524,0.147994721085263,-0.451068761086795,0.601179229248176,-0.275880699739521,-0.683361304973999,-0.644022687188768,-0.101151073437055,0.145909317912092,0.209406515328439,-3.52692242554424e-05,0.6853300497179,0.40664799797779,-0.270476435542716,-0.186898058847587,-1.33105510551387,-1.67721204251239,1.03309484773819,0.98068896227853,0.0139970513305766,-0.854491439805001,-2500.23756410571
-0.387312035927261,4.01773516982325,-0.61868584531329,-0.331422163026105,0.0227800656668028,-1.72884194470453,-0.0625048186117638,1.31110139913678,-0.159842826165923,-3.67212222797143,-3.20804698361331,-0.160670679579243,160.860429160825,184.504287441134,-332.871310911914,460.907062741459,6.20362153486678,-271.238311530302,0.643730800570708,-0.305134722598855,-0.427900446725201,-2.40851402354943,1.64501766575848,0.21178504088846,-0.293634018718896,0.653652865993668,-0.0185978691280429,0.0783375964566533,-0.065671565586787,0.347971034519315,0.190410630819519,1.20188153488181,-0.607570317455055,0.167257455236617,-0.0587569435104125,0.142107802401628,-0.479596832048451,0.72793654741679,-0.294376433528506,-0.839018417461515,-0.827296760231879,-0.184315574571368,0.365538474290091,0.648923124631024,0.0209619205669041,1.35180953906804,0.385944359072636,-0.853677377584012,-0.249850769929575,-1.34056789348941,-1.51272572058496,0.921254829297903,0.949287051840165,-0.0832992966249376,-0.516208278735214,-2497.91842906588
-0.387790697600053,4.01977905369514,-0.61971574267708,-0.327884190432762,0.0242128623940705,-1.72926513927332,-0.0589688765915607,1.31356240129388,-0.15799843899741,-3.67641533482593,-3.22044042211423,-0.158051264169743,160.860429123027,184.504287420619,-332.871310938703,460.907062741459,6.20362153386433,-271.23831154017,0.645822126617682,-0.297253994206696,-0.431150651168546,-2.37813213072489,1.67199850336686,0.208473234730414,-0.283716897457519,0.662982392295114,-0.0140211966733352,0.0859463049227117,-0.0572130227541805,0.346371563018306,0.188157172609651,1.19614726505112,-0.609215661582664,0.16557434793112,-0.0532193601058477,0.143624337575903,-0.477246600740483,0.735194672425608,-0.292728490391945,-0.823827461778496,-0.837404259489088,-0.183848184337066,0.339883868437568,0.634292401468496,0.0106696502100955,1.16071265697352,0.349514745496849,-0.812547919628492,-0.261805448101798,-1.35289179678215,-1.5274048393883,0.942424456022014,0.939729657738508,-0.0561741947220798,-0.519110564634806,-2497.03889981689
-0.388436719942361,4.02579793324801,-0.620616434519754,-0.325853790257214,0.0251037445856557,-1.73093224396886,-0.053968839785851,1.3210686426344,-0.15967076831904,-3.72800359069227,-3.25300018851113,-0.149260145180331,160.860429025351,184.504287367506,-332.87131100778,460.90706274146,6.20362153120661,-271.238311565869,0.651954915278363,-0.28509776789527,-0.437832417582967,-2.37353358669366,1.70637148418102,0.2011221742268,-0.285297490056991,0.651327594577,-0.0141528785879831,0.0939468073403448,-0.0497189574114593,0.316642829907001,0.186935128815139,1.20084711712068,-0.611838986533727,0.16758632918911,-0.0451895470675628,0.153802369860474,-0.47762431429675,0.748364455051906,-0.294792646580168,-0.849148988497501,-0.85666986379867,-0.197605610635738,0.286926532438207,0.589549476330337,-0.0110732266898219,0.864220493897017,0.205364356290624,-0.688986779039517,-0.278914987879316,-1.35466287775175,-1.53601574672272,0.954308091571126,0.934921269970262,-0.0422068514269918,-0.447687526000685,-2496.2274696168
-0.392530910974416,4.0501887184303,-0.624111836850714,-0.329905670344316,0.0217246337691364,-1.74015756972058,-0.0608266973230308,1.3493590627044,-0.171594069056179,-3.82399197690288,-3.32204390893025,-0.122728713540765,160.860428566537,184.504287117196,-332.871311332334,460.907062741463,6.20362151859204,-271.238311687083,0.657028645561111,-0.266277721425801,-0.436812674006354,-2.52786610656375,1.66604476703291,0.20449468561926,-0.288785141004498,0.672838791308937,-0.0102303551060585,0.110381182761579,-0.0453552214423738,0.330661121047571,0.181960006123858,1.20862108386609,-0.617601710980637,0.1654542481335,-0.0413344079311771,0.155342301732313,-0.483751530390258,0.782797386975721,-0.297612014695129,-0.87720808788398,-0.89925714458232,-0.219768020948269,0.283537007746148,0.518101888178797,-0.0272262346698837,0.673206240790348,0.156698791660163,-0.583311848977107,-0.291036114047193,-1.34370098093624,-1.52888034487104,0.951086838634442,0.940817737234272,-0.0152324248589472,-0.291084980165295,-2495.86689633406
-0.392507339698956,4.06611181723919,-0.625390298398682,-0.330413895436491,0.0248705622828116,-1.74884828216121,-0.0593655389046915,1.36401385980038,-0.171374501060845,-3.87405479927424,-3.38029608818361,-0.111758883355657,160.860428198024,184.504286916002,-332.871311593723,460.907062741466,6.20362150863588,-271.238311783884,0.670925799176378,-0.215691670392825,-0.454464190205925,-2.43773734449354,1.7297349615312,0.160472014556532,-0.291328877631261,0.672052612113334,-0.0117322261859341,0.114184454435441,-0.0343109198019068,0.327684764949499,0.180679280163516,1.2151610622091,-0.619074605821199,0.166871599060225,-0.0398461921996055,0.154090289493699,-0.48617343671199,0.791510611904486,-0.298216648174418,-0.897850264086931,-0.90184520396545,-0.210616775313112,0.286417165647882,0.502583440252464,-0.0191778845561984,0.666824051143333,0.0803073277412638,-0.580366017184851,-0.299794529098891,-1.33518938224588,-1.52062135356166,0.95753985876853,0.945975405117946,0.0046040994174836,-0.25631516221621,-2495.73469362244
-0.396163628022786,4.10571441072758,-0.629544011646582,-0.329928950781075,0.0339986251627203,-1.76997045287872,-0.0639878187105589,1.38383229798843,-0.173377933309676,-3.92541576415619,-3.44395320723481,-0.0964165395525115,160.860426985588,184.504286252869,-332.871312453471,460.907062741475,6.20362147558211,-271.238312103396,0.657268077322934,-0.193140351154948,-0.457612887606217,-2.59102789987142,1.64298057349555,0.190767163420417,-0.296586599808093,0.67129096116545,-0.0135496712497025,0.11835827352237,-0.0249026360605361,0.326820654601925,0.179173730294712,1.22062311891412,-0.619718761153907,0.170566088038099,-0.0402967591442998,0.150730184558409,-0.487385273100575,0.80115590174891,-0.299436051740717,-0.915200716908282,-0.914780509938431,-0.209975576114675,0.288267873930076,0.505285595478824,-0.011386797718198,0.633451563103781,0.0293388564711804,-0.583986633145563,-0.302275528211594,-1.32144701921031,-1.50274922749297,0.96639394705318,0.960184684034167,0.0256300133970272,-0.205509690601115,-2495.63733945198
