resp_removed,max_abs_coef_change,max_abs_se_change
120,8.2e-4,0.00112
141,8.2e-4,1.3e-4
171,8.2e-4,6e-5
314,8.2e-4,9.5e-4
262,8.1e-4,8.2e-4
327,8.1e-4,1.2e-4
1,8e-4,6.5e-4
34,8e-4,0.00106
65,7.9e-4,4.6e-4
188,7.9e-4,4.5e-4
50,7.8e-4,5.1e-4
183,7.8e-4,1.4e-4
8,7.7e-4,0.0011
60,7.7e-4,4.4e-4
162,7.7e-4,4.4e-4
290,7.6e-4,3.1e-4
82,7.5e-4,3.6e-4
286,7.5e-4,9.1e-4
117,7.4e-4,9.4e-4
309,7.4e-4,2.2e-4
240,7.3e-4,4.8e-4
277,7.3e-4,1.9e-4
150,7.2e-4,8.8e-4
15,7.1e-4,6.5e-4
21,7.1e-4,5.7e-4
312,7e-4,3.3e-4
105,6.9e-4,7.8e-4
293,6.9e-4,6.1e-4
328,6.9e-4,1.9e-4
152,6.8e-4,7e-5
279,6.7e-4,2.7e-4
218,6.6e-4,6.1e-4
291,6.6e-4,3e-4
307,6.6e-4,7.3e-4
222,6.5e-4,2.4e-4
208,6.4e-4,6.7e-4
99,6.3e-4,3.1e-4
75,6.2e-4,6.4e-4
234,6.2e-4,4.7e-4
133,6.1e-4,2.3e-4
225,6.1e-4,0.00113
294,6.1e-4,1.6e-4
96,6e-4,7e-4
169,6e-4,6e-4
185,6e-4,7.3e-4
26,5.9e-4,7.1e-4
41,5.9e-4,2e-4
146,5.9e-4,4.7e-4
282,5.9e-4,3e-4
55,5.8e-4,3.8e-4
114,5.8e-4,8.3e-4
100,5.7e-4,5e-5
125,5.7e-4,5.6e-4
128,5.5e-4,1.6e-4
157,5.5e-4,8e-4
158,5.5e-4,4.9e-4
209,5.5e-4,8.4e-4
212,5.5e-4,2.6e-4
19,5.4e-4,3.9e-4
72,5.4e-4,6.7e-4
78,5.4e-4,3.4e-4
112,5.4e-4,0.00163
14,5.3e-4,5.5e-4
281,5.3e-4,7.6e-4
181,5.2e-4,7.8e-4
276,5.2e-4,4.3e-4
320,5.2e-4,4.1e-4
207,5.1e-4,5.9e-4
91,5e-4,4.8e-4
289,5e-4,5.3e-4
235,4.9e-4,4.8e-4
70,4.8e-4,3.5e-4
113,4.8e-4,7.3e-4
258,4.8e-4,5.3e-4
264,4.8e-4,3.8e-4
265,4.8e-4,3.4e-4
323,4.8e-4,5.1e-4
18,4.7e-4,5.8e-4
174,4.7e-4,5.7e-4
127,4.6e-4,7e-4
229,4.6e-4,5.9e-4
236,4.6e-4,4.7e-4
298,4.6e-4,2.6e-4
179,4.5e-4,6.3e-4
213,4.5e-4,3.3e-4
251,4.4e-4,6.6e-4
39,4.3e-4,5.5e-4
149,4.3e-4,6.1e-4
168,4.3e-4,4e-4
308,4.3e-4,4.6e-4
77,4.2e-4,6.5e-4
315,4.2e-4,6.3e-4
210,4.1e-4,7.1e-4
6,3.9e-4,4.8e-4
118,3.9e-4,4.3e-4
322,3.8e-4,3.7e-4
81,3.7e-4,3.9e-4
228,3.3e-4,0.00142
220,2.3e-4,6e-4
