"b_no_choice_a","b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_b","gamma_used_bev_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","delta_c","gamma_used_bev_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","logLike"
0.322792977775242,-0.321019076353064,-0.738490336920907,-0.54247140409623,0.084105387812286,-0.321125940675099,-1.0849612132585,-0.0827448072795375,0.594858049378233,-0.690305013436205,0.913495738730865,-0.240067617097836,-0.689496164894007,0.124871238110698,-0.609863262664861,0.297664875485398,-0.755083729312435,-0.457423700067593,0.645710436849595,0.0687509004727793,-0.238116779598114,1.4956408196815,0.0571774046869629,0.294953719952314,0.386748183960325,0.270859008568489,-0.417411917613168,0.30989441139781,0.473982173079294,-5663.47170327184
-0.521051257216016,-0.156475221476652,-0.495525193650927,-0.231869886114694,2.6705628363492,5.67826403132086,-0.384836862080794,-0.0369214032031571,0.572230574937873,-0.656409890805998,0.898842917368179,-0.249015981949321,-0.688648379389094,0.0984144258153305,-0.630277131551442,0.30389137985894,-0.748209535939304,-0.450636288330936,0.676179559281397,0.100976709465571,-0.233066529596023,1.43470099072809,0.0434739587858524,0.301229487500504,0.349375720456178,0.362034088873687,-0.392609731628044,0.300298871472453,0.478263220813345,-4978.89947714679
-0.732861878164575,-0.164311870616785,-0.491532405965585,-0.237639437931039,2.65510240341204,5.55463930526304,-0.404737127286873,-0.321149785336217,0.523213853443239,-0.584463291691497,0.79504684839176,-0.206638675997899,-0.614864766225966,0.0159251099817893,-0.646549439619093,0.30289623001027,-0.739584514027602,-0.454635776757666,0.662335559070431,0.103745734080513,-0.238883194937591,0.368575255302793,0.0917999241666496,0.278960422914438,0.348291030381544,0.642611082629087,-0.403960865372308,0.236081586461455,0.452407648833802,-4676.40893529906
-1.2295927873609,-0.182897610778151,-0.46730717497807,-0.249854749664728,2.59144216023114,5.24293779677605,-0.451386978409472,-0.623544669270678,0.471720889691923,-0.511284515275301,0.689581681961894,-0.171234502933661,-0.527992248051335,-0.0641012928624383,-0.61295789982739,0.292536138111587,-0.66790650838827,-0.45139602781774,0.615047437066303,0.0910234021380393,-0.253416969169788,-0.247043720202234,0.132110130760298,0.186611554660812,0.292062995717522,1.0365590999515,-0.413843294647364,0.10142845945419,0.446391705424626,-4381.69838849448
-2.40124995597883,-0.227257109174987,-0.400061772955387,-0.271600626297054,2.33076861678711,4.26090333518483,-0.49623265442351,-1.54827707213101,0.340561118461858,-0.354565792843575,0.426503129766307,-0.0488369311966386,-0.310068325598504,-0.266293210763769,-0.43712345708688,0.225126010305588,-0.265753217950353,-0.424441419528966,0.330844974356671,-0.105312363878212,-0.298659116279447,-1.38614537315709,0.210448109283018,0.095085962389765,0.190019547178793,0.521160791504905,-0.322263983308559,-0.311705420277743,0.412954437695728,-3648.50341304457
-3.69767418300761,-0.286874103309111,-0.258421946740545,-0.294194581053232,1.91818973292397,3.22007140582187,-0.584232037239903,-2.30508795910009,0.273090992395004,-0.272525628117271,0.330305283248834,-0.0499625846941984,-0.248891873451807,-0.367113186766305,-0.331609781118747,0.16304209320407,-0.00374628717015774,-0.395826407228139,0.134299304343497,-0.323139668538353,-0.351665907077441,-0.703249502077359,0.254733569210406,0.0294900020737272,0.156528134542604,1.26675039299238,-0.303351482416722,-0.362081628572946,0.369841837435487,-3242.52939485714
-4.25389020341704,-0.287469703240142,-0.0989842100249802,-0.297825824944853,1.47301652701472,2.16529303295962,-0.607968782908644,-4.22435642392027,0.122527512133876,-0.124668824733749,0.137767441833492,-0.0591448825093302,-0.222539010313655,-0.545439350271281,-0.371476756449518,0.0130809312669954,0.517880954373614,-0.36610572913107,-0.347607587035228,-0.754630580809675,-0.474734083093973,-0.940787937194847,0.194422641328901,-0.178957055963439,0.0804403072485624,0.661747398585828,-0.387752757109399,-0.501725374683778,0.411230172725963,-2790.03112239379
-5.91721770117813,-0.308147737509237,0.282176311518092,-0.337566903933407,0.608889215306645,0.797286561943369,-0.820107869541761,-4.95976295912173,0.0103073703769614,0.0305079943983231,0.049293019013325,-0.1726461539279,-0.334360030440909,-0.626227366210501,-0.908463087346525,-0.119248708204184,0.734823571641006,-0.353109324604802,-0.7145596858766,-1.20255487910492,-0.610757776219653,-0.385172091250168,0.256728431956767,-0.263702886962538,-0.0399296675716257,0.716266956189363,-0.240943719241919,-0.357628446208938,0.377232505921333,-2556.42127977283
-6.15047807031909,-0.250456273818016,0.59237085606916,-0.42454921660564,0.404317408717861,0.382502132608656,-0.966744935585769,-6.79085934391434,-0.223027580426267,0.242630997504387,-0.12269781171291,-0.37696060301639,-0.528464718999692,-0.730833681347202,-1.59105299076996,-0.221212078670376,0.717656351618936,-0.355535920759187,-1.09635881304368,-1.25389996813354,-0.632906706882552,-0.458782141423133,0.225302884494965,-0.4757531279788,-0.113593029602035,0.477043398075519,-0.274521822715957,-0.439386756346843,0.304715081999326,-2473.6161170589
-5.7118720912016,-0.14009962633638,0.802620012596726,-0.479169555657907,-0.096823074091412,-0.024706252726846,-0.954971198288055,-7.51503542614464,-0.264519634565189,0.181437811290293,-0.0676760657006139,-0.355263595675623,-0.613720675080635,-0.711398935307073,-1.62409033828197,-0.209355216740257,0.629361064471643,-0.329686290979862,-1.19214345118238,-1.28827523777502,-0.601226680692986,-0.555535310982909,0.0732298338939951,-0.130836693772709,-0.365926393050484,0.586572084704197,-0.520051843159407,-0.16274213510432,0.163099818133265,-2447.90328654052
