"b_no_choice_a","b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_b","gamma_used_bev_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","delta_c","gamma_used_bev_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","logLike"
-4.44728494419673,-0.0172937275326903,0.997398382519434,-0.537077489244284,-0.101956826104595,-0.173031946683848,-0.848773954448891,-8.02570893428397,-0.344574868907812,0.0195317104280326,-0.0524542074497312,-0.25091133832266,-0.387982496206486,-0.670992682544771,-1.45022487590795,-0.23772899932357,0.498774105836736,-0.296278644133513,-1.20251002094489,-1.2394851586436,-0.48089628969934,-0.281537055492656,-0.00229658175689341,-0.0407688702534957,-0.269235126191528,0.396072802765773,-0.488167967670802,-0.29001868899402,0.210697059662984,-2503.23761485766
-4.16562408964373,-0.0157623839868146,0.974346880669751,-0.544335976662293,-0.0785211550697259,-0.203841531859156,-1.23420647817189,-8.12579506749838,-0.343335096948349,0.0164841586269389,-0.0489700611057758,-0.246443911050058,-0.372527309583933,-1.3755195621568,-1.40884930075919,-0.247705972319949,0.4878241648727,-0.302337082791183,-1.21994233479535,-1.22177981458728,-0.53144844698461,-0.286486041304708,-0.01001598412378,-0.0323071713562637,-0.241111778858408,0.526747909180906,-0.443874524855498,-0.306711498319782,0.240451322225657,-2465.35488142729
-4.4213744208293,0.0703992972111757,1.14909507031073,-0.628579776328698,-0.0121383487705435,-0.178816840203554,-2.3515805229807,-9.31400303379992,-0.327423405032752,0.0979596297061153,-0.0857854277051742,-0.269926634530695,-0.368460941104053,-2.57443375901317,-1.1992731414713,-0.261542992685792,0.520066821114189,-0.296655875200207,-1.21212322644139,-1.14122306128687,-0.649515390319932,0.320258177583617,-0.0831588333896416,0.032501482611121,-0.185986541726999,0.766445733586954,-0.415355086475549,-0.32896599056971,0.265331414395494,-2433.4496576602
-4.72169953716482,0.0311735106131641,1.05899641299058,-0.582153395236919,-0.0873464767441456,-0.242516538446422,-2.75223539318565,-10.1049778140085,-0.352409964984297,0.0543261088914652,-0.0622670848225372,-0.245889546424433,-0.348675184474,-3.35617834317604,-0.999864141956076,-0.249319015527243,0.506028888119304,-0.289459650563017,-1.19653232129912,-1.08072947212419,-0.78475736485282,0.168333741290506,-0.0999174423679364,-0.0409403115641066,-0.210519077921044,0.641690654686592,-0.452698840008249,-0.30951012228604,0.259594103535928,-2423.68582341926
-5.059896741344,0.0200096069895793,1.0436597242647,-0.565682648315522,-0.0944324816516245,-0.194752513789334,-2.96179988787561,-9.78241575873598,-0.352668347673356,0.0512751306833337,-0.0590532461244571,-0.235089103273594,-0.372230626898423,-3.38058726070904,-0.916991495560771,-0.24119819896958,0.512388682290966,-0.297044187727904,-1.17221833992611,-1.11505519683377,-0.835833544674175,-0.11197744122298,-0.0244242612153906,-0.0497147992963969,-0.224742156956626,0.530613152114542,-0.454907651246466,-0.288653669430232,0.211758438397065,-2422.00394192955
-5.20438887623999,0.0132034315061895,1.03288997636509,-0.554695099025066,-0.099723717036317,-0.177059439462956,-3.06946299022278,-9.43508691661535,-0.355470291105655,0.0334285376030552,-0.0562662946802441,-0.23341138614583,-0.384368404191112,-3.23198923464178,-0.882778719472072,-0.237839035448456,0.516820470532422,-0.302901394231023,-1.13613446769408,-1.14154669315055,-0.856526352417628,-0.171366583045896,-0.0135063780500501,-0.0712346097579609,-0.226461379141378,0.530470460770051,-0.483026678916719,-0.283377246039927,0.221046729218227,-2421.6457810312
-5.23963488471324,0.0114085412712774,1.0295763169781,-0.550442981276714,-0.106961911589751,-0.180965193973858,-3.1011741340078,-9.34439259584835,-0.355297798632206,0.0304015933700193,-0.0549894061511135,-0.24319372369518,-0.390075558910835,-3.17012549559552,-0.8702405492397,-0.239548251023859,0.522217367360305,-0.305789347522444,-1.11756827933636,-1.14421449929718,-0.858278006165675,-0.190614115140645,-0.011756581546197,-0.0642640777653345,-0.235664163577629,0.5148539714197,-0.484497584770887,-0.277282830484194,0.231262494036731,-2421.57779015574
-5.26199898427378,0.0113148549080529,1.02840687659782,-0.548203172038137,-0.111104669045697,-0.184445068167992,-3.12841848445436,-9.32206916584257,-0.355402792256676,0.0281354368610013,-0.0545917402828038,-0.251828740177733,-0.394174488473083,-3.11818463216368,-0.860202065635803,-0.241485222054542,0.528245377970887,-0.308388940939037,-1.10621308545412,-1.1415118582003,-0.854332028942252,-0.189441270082917,-0.0149221261463203,-0.056745688975591,-0.240557615886107,0.510826510975137,-0.484756641717161,-0.273235132767747,0.234380672954709,-2421.55100658451
-5.28213976225101,0.0113542411459994,1.02707356354323,-0.547439825201862,-0.112160529647019,-0.185920985589618,-3.14376443339003,-9.35018492398509,-0.355659897193388,0.0278166233499752,-0.054365237822745,-0.25317999189516,-0.395323466163914,-3.10254130036471,-0.858536314021208,-0.24207877847383,0.529285006144937,-0.308961646387056,-1.10320298719562,-1.13595868493998,-0.851351271106102,-0.18942620173349,-0.0165896666850051,-0.0510267135390829,-0.242297789300556,0.508269144562543,-0.482984647192423,-0.269314669636152,0.236093898919781,-2421.54413710647
-5.299784489582,0.0116617264620328,1.02558741587927,-0.547187083962819,-0.112055543097926,-0.186615605156216,-3.15599356255658,-9.38145999310748,-0.355807687175939,0.0284453180017469,-0.0543881869076685,-0.252297826212769,-0.395042981852274,-3.09497761886545,-0.857152809643466,-0.242263199293453,0.530027683093355,-0.309197947682093,-1.10282045799598,-1.13176623556826,-0.849014971857054,-0.18784545627645,-0.0178300646156994,-0.047998793011755,-0.243169292617961,0.510470554967513,-0.482564215404138,-0.268056199249802,0.233875753880903,-2421.54119165097
