Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Car usage,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6942d86a965683fb9f1efb8b,5f32aab12a9f82000854c3ea,RETURNED,Not Applicable,2025-12-17T16:23:12.435000Z,,,2025-12-17T21:55:58.035492Z,,,6845,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6942d876229f194a187c1af9,5e84bd7c34d5d9072128fac1,APPROVED,Not Applicable,2025-12-17T16:21:12.566000Z,2025-12-17T16:33:41.479000Z,2025-12-17T22:05:24.392000Z,2025-12-17T16:33:42.528118Z,749.0,4929173793,9378,English,Yes,38,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6942d8874a5703f0dc0c5f92,672675b43041ee0d6eb749f8,SCREENED OUT,Not Applicable,2025-12-17T16:21:30.811000Z,2025-12-17T16:22:14.777000Z,,2025-12-17T16:22:15.011995Z,44.0,C1N42823,6347,English,Yes,36,Male,White,United States,United States,United States,English,No,Full-Time
6942dcc4260519d321b1f6e7,642f6ac1b10ead55a45175ab,SCREENED OUT,Not Applicable,2025-12-17T16:39:39.104000Z,2025-12-17T16:40:34.707000Z,,2025-12-17T16:40:34.944470Z,56.0,C1N42823,3667,English,Yes,63,Male,White,Austria,United States,United States,German,No,Part-Time
6942de65edacfc1a6f53843c,654bc148c95bca00d541ec33,APPROVED,Not Applicable,2025-12-17T16:46:33.280000Z,2025-12-17T16:58:04.308000Z,2025-12-17T22:05:24.662000Z,2025-12-17T16:58:04.681892Z,692.0,7078998009,5958,English,Yes,54,Female,White,United States,United States,United States,English,No,Full-Time
6942df1d65293c4fa7c55b8c,6631b0ab30153f0b76483e0a,RETURNED,Not Applicable,2025-12-17T16:49:39.665000Z,,,2025-12-17T21:55:58.036870Z,,,1791,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6942dfc90c16615381b1966b,5397a6bbfdf99b1ccc3f1219,APPROVED,Not Applicable,2025-12-17T16:52:29.578000Z,2025-12-17T17:16:50.437000Z,2025-12-17T22:05:24.920000Z,2025-12-17T17:16:50.778791Z,1461.0,1743021767,2616,English,Yes,31,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6942e1a51258ee3608de1ae0,677bccba65784d9a5a876468,APPROVED,Not Applicable,2025-12-17T17:00:24.888000Z,2025-12-17T17:09:46.563000Z,2025-12-17T22:05:25.224000Z,2025-12-17T17:09:46.934829Z,562.0,8570226306,643,English,Yes,24,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6942e1dbe887cf23afb88c2f,66bcbbd35d182838b25ff7df,SCREENED OUT,Not Applicable,2025-12-17T17:01:20.310000Z,2025-12-17T17:03:04.379000Z,,2025-12-17T17:03:04.635577Z,105.0,C1N42823,651,English,Yes,63,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6942e2794989845e4ebda02c,63fd0a7da4c0df409be0a784,SCREENED OUT,Not Applicable,2025-12-17T17:03:57.895000Z,2025-12-17T17:04:29.856000Z,,2025-12-17T17:04:30.123010Z,32.0,C1N42823,2405,English,Yes,45,Male,Black,United States,United States,United States,English,No,Full-Time
6942e2c164761dbc586bce37,65203a2c6b6a29564f73d405,SCREENED OUT,Not Applicable,2025-12-17T17:05:09.383000Z,2025-12-17T17:05:23.016000Z,,2025-12-17T17:05:23.257295Z,14.0,C1N42823,2438,English,Yes,67,Female,White,United States,United States,United States,English,No,Part-Time
6942e300947a92fb795244aa,62349dcdec7c3f8e7e1bc90b,SCREENED OUT,Not Applicable,2025-12-17T17:06:13.624000Z,2025-12-17T17:06:47.585000Z,,2025-12-17T17:06:47.822329Z,34.0,C1N42823,3327,English,Yes,55,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6942e31b51939dbae4f6705b,5f79bca83a2eb65c0983816d,APPROVED,Not Applicable,2025-12-17T17:06:45.553000Z,2025-12-17T17:16:25.140000Z,2025-12-17T22:12:22.225000Z,2025-12-17T17:16:25.506434Z,580.0,5164402319,11105,English,Yes,36,Male,White,United States,United States,United States,English,No,Full-Time
