"b_no_choice_a","b_powertrainbev_a","b_powertrainphev_a","b_powertrainhev_a","b_range_bev_a","b_range_phev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainphev_b","b_powertrainhev_b","b_range_bev_b","b_range_phev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","delta_b","gamma_used_bev_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","logLike"
-0.402763105928898,0.112499753013253,-0.134586632717401,-0.425402212888002,0.96564699197188,-0.620113760232925,0.878155691549182,-0.59885369008407,-0.383701743558049,0.58879522792995,0.754457699600607,-0.942726570181549,-0.362661969847977,0.49806660041213,-0.828472063876688,0.749843665864319,-0.710191816091537,0.315798961557448,0.196338097564876,0.865195229649544,0.966348809655756,-0.0567806768231094,0.247269571293145,0.522156110499054,-4462.55112677014
-0.442546234186693,0.00857069329599495,-0.102641008705115,-0.394914694271852,0.901805592655624,-0.610748613587163,0.857108993910949,-0.584392781618606,-0.369855257426441,0.56886442347973,0.734453253928601,-0.833001688119998,-0.470139077815421,0.512664956291879,-0.752816156636587,0.707062774093987,-0.672236228469591,0.289644080218227,0.184486817406292,0.83123685833686,0.818424363122174,-0.099498515193319,0.223918294385159,0.466298653902329,-4243.28418250923
-0.752294489139959,-0.0210296609346869,0.0926952147070376,-0.423242988250887,0.787742526307904,-0.635176175132659,0.741855224069017,-0.542668246471401,-0.339764441201066,0.501843183273134,0.471479261570832,-0.842945586078998,-0.49721097703247,0.47236150219676,-0.664552763908048,0.646841388962233,-0.613196731560425,0.245562696810401,0.168586896602225,0.773505933333331,1.03569516755618,-0.134739952152409,0.238576276606693,0.478434884147712,-3972.18323850764
-1.42522460920808,-0.00906872597669171,0.235610463936763,-0.466596381260867,0.519826528838197,-0.584953871380534,0.485269500853521,-0.441910847376371,-0.27834192398992,0.357473167122788,-0.339743452355291,-0.89466776005257,-0.58571859294408,0.333105637160888,-0.415621499232809,0.469323265362605,-0.44897034868889,0.125385330477225,0.12009677298499,0.593233392765887,0.649409920563545,-0.0983803632658164,0.214683388084511,0.400271525220312,-3336.33424715533
-1.99483155811353,-0.155557432582572,0.400386202631777,-0.50360714390914,0.330782382863827,-0.555272521711431,0.259579452181332,-0.35583085177887,-0.210310615284368,0.208161815434946,-0.846808569531241,-0.932341856162765,-0.645605691794617,0.273623539904496,-0.267231321650356,0.360307787482961,-0.367879036227803,0.0602445638308077,0.0904731020375967,0.491185146903937,1.49582476057189,-0.178480555482942,0.263455618140062,0.464450463926303,-2977.51811818039
-2.44938772134327,-0.0432640283939855,0.107673344502678,-0.506209157441122,0.130197480823978,-0.398855426333612,0.0898094302514815,-0.278771875974497,-0.1716384411544,0.0876324734880813,-1.91260632668082,-1.08793117102231,-0.743256178499771,0.105192167992945,-0.00908372042489136,0.14080863684406,-0.21872805998832,-0.0578488583634931,0.0269902927346246,0.277146553752906,0.590147143112819,-0.0521891186017377,0.194566736445098,0.267673490220968,-2642.9970222144
-3.20474903817441,-0.320632252906864,0.0851096667422291,-0.541409203171167,-0.034387390499824,-0.33623748022146,-0.230209274528342,-0.162500383438171,-0.0826011473463432,-0.118495103153395,-2.8353696441295,-1.31363404097836,-0.922176089688929,0.0359769372299166,0.165960793878893,0.0317916047785009,-0.137702725082912,-0.112744672356327,-0.0170077342391527,0.0944442806824724,1.43319841949518,-0.0464663127891062,0.148239081228372,0.285612458863144,-2511.63974266056
-3.1068628565328,-0.0492928452692428,-0.554095908690562,-1.01235245207307,-0.254194359111407,-0.114000330848023,-0.328739729999539,-0.105556063427265,-0.0500668779584817,-0.18986717499913,-3.74720263971138,-1.59313003577627,-0.942611062695701,0.0423057748931519,0.260848442227176,-0.0242636895820085,-0.147556201366304,-0.118060981975849,-0.039502387171282,-0.122114132278896,1.25291549558019,0.144857035132087,-0.0296750847471347,-0.0538640674141084,-2462.2435952991
-3.11485459116869,-0.179828436274912,-0.973047309621001,-1.36310812135194,-0.498069971243802,-0.0707323943815391,-0.468192799166231,-0.0406733921130086,0.0112952735671492,-0.317794902613934,-5.4853096095113,-1.99856865558842,-1.07007059875394,0.121753341519769,0.394953419042493,-0.0589065835573205,-0.144977594613863,-0.129325080927915,-0.0734951808304656,-0.464396314249348,0.780293153509307,0.242284766020745,-0.19127432053431,-0.2396551224515,-2417.54433207313
-3.2644067197504,-0.116293124569448,-2.03528269507681,-1.70999604768966,-0.757482204999673,0.251422318819402,-0.520873938778947,-0.046731299603847,0.038445846155855,-0.450163572354762,-5.66103960202446,-1.83744277999025,-0.947772266924321,0.177456223142378,0.343552960113773,-0.0882428550354614,-0.149523249901473,-0.116825546524879,-0.0748038137271621,-0.544067237723749,0.707563474864158,0.323327929000729,-0.110718535523216,-0.190155833298918,-2383.96918913745
-3.91265593158364,-0.628581367065677,-3.39980511072532,-2.27621064399011,-1.01849500694879,0.48672702938679,-0.698038995961556,-0.0673802741095765,0.110174439210949,-0.784103255344897,-6.04143297898705,-1.56356754310948,-0.787799778054373,0.26780519126483,0.269296176293164,-0.102997120193892,-0.152524292379955,-0.0957857776436199,-0.0802228322394292,-0.711518320053568,0.505581267121275,0.479435251776594,0.0911297346503457,-0.165465962675747,-2352.21835282131
-3.84219902040175,-1.02494987314125,-4.10754388859433,-2.33321144812817,-0.841664622820468,0.630883625595664,-0.576021394346714,-0.143851949077334,0.100195987788748,-0.724483078181195,-5.51485920734021,-1.39200752710424,-0.69346974952938,0.273184356705067,0.235105022431772,-0.0817852659332639,-0.142697446065939,-0.094832448092063,-0.0646757387907833,-0.631780325996297,0.487471471763981,0.434213853393942,0.22689111611479,-0.0274382670497204,-2312.99904505281
-3.75844992796846,-3.37035769861712,-2.18483854998766,-1.83718871471531,0.351442648841395,-0.20948168484636,-0.428624196114021,-0.234452568868314,0.0604138175994702,-0.48861501983486,-5.25333370603867,-1.21535587673983,-0.617414995116578,0.291784261529507,0.202418457592788,-0.0550404719105401,-0.13744221824065,-0.0958502366671638,-0.0538215941969735,-0.585203387929072,1.00960817513426,0.424007503665712,0.50118321934802,-0.0870988444047921,-2282.57100380579
-4.03896489687536,-4.63638831871302,-3.23493148739359,-1.78575515356715,0.970892606363264,0.170726908233027,-0.391145332350508,-0.194845286152195,0.0223655531547725,-0.479909438504401,-5.25486392827831,-1.09649220288688,-0.513305674632971,0.345000152659239,0.184978814539799,-0.055711067151469,-0.13185243536197,-0.0966345413637054,-0.050918897716806,-0.575357534244988,0.0259959803331851,0.553172741621084,0.516803706113981,-0.188839469171077,-2242.67801743903
-4.27203903744922,-5.46481714573553,-3.16385509397278,-1.72414125506753,1.14686499726064,0.0613024587838838,-0.356503175063608,-0.17832317685832,-0.0062948126176818,-0.462088488263808,-5.40311650729207,-0.942304759380676,-0.369055255257666,0.425005933523613,0.168685404597782,-0.0663743653622096,-0.122401323849833,-0.0994612388392933,-0.0509842524975379,-0.592402390138502,-0.57792588953176,0.613006666085232,0.510184118050205,-0.26725864332393,-2220.15441049867
-4.73007870644705,-8.14850204382672,-4.08858516057098,-1.60845088778393,1.96725240038984,0.28793605836245,-0.277194606189812,-0.147336670813816,-0.0607154273212882,-0.437907908639927,-5.42433993403548,-0.48149962197603,-0.0369160692578482,0.59779618432484,0.124443068753462,-0.06591960444867,-0.112438798053229,-0.106261016949903,-0.0457149921928443,-0.567064348482725,-1.65612780106695,0.803531213872203,0.668468874859316,-0.299257503565417,-2199.25153656537
-4.7699779111761,-8.59676553936603,-4.02635320854818,-1.46988315604974,1.97039328026925,0.271131025911939,-0.270191775978124,-0.141448513558279,-0.0594497082224652,-0.43551095510794,-5.43360586792093,-0.461241525906374,-0.0175015042495518,0.575354809761292,0.139111021028521,-0.0572045467266598,-0.126890387330679,-0.106690534973303,-0.0476651808398393,-0.557461124504354,-1.64903108919458,0.810351732605191,0.658663169809128,-0.277424174925257,-2195.46560699358
-4.74826890969346,-8.57563014848746,-3.65924674439799,-1.37046188523962,2.03739811688794,0.151320697973695,-0.279219103017632,-0.144273961690632,-0.0535520418906099,-0.451772277138364,-5.33151995035614,-0.386680510475236,0.035934606661153,0.576188003095078,0.160265393363743,-0.0527527783576096,-0.131156326968463,-0.108908456931108,-0.0464780289469949,-0.527046760512665,-1.65473293488208,0.8375607245615,0.736809762036727,-0.279977124295778,-2192.06342896602
-4.72835765736936,-8.84682467055535,-3.41825084866634,-1.31358374927273,2.24493599869665,0.0893013424329054,-0.280123808229939,-0.139843015710832,-0.0499370034621158,-0.474599709273399,-5.24396482836827,-0.273460116044656,0.117113410143248,0.61352846067223,0.172480891174381,-0.0513215577455545,-0.136876306762627,-0.111278765427529,-0.0463385767196957,-0.495837585421556,-1.73893757671881,0.8583735718974,0.717328892744882,-0.282648259454838,-2190.43648983115
-4.68326912896807,-9.02537598907313,-3.32377235144906,-1.29079842916525,2.36519238881273,0.0739675419464425,-0.274673927415797,-0.136936094799337,-0.047892944117226,-0.482817949162428,-5.22491675383415,-0.225585397258707,0.149657469824739,0.628037735895332,0.161456015657664,-0.054178079249676,-0.142111570685953,-0.11079943294689,-0.0477645287824009,-0.480145503438686,-1.75680263120816,0.849177229869022,0.692668185938264,-0.281567134538255,-2190.15709892938
-4.66460830878858,-9.12810738112645,-3.32819365904748,-1.28080001324731,2.41947090667401,0.0814834596177986,-0.270815381019434,-0.135657822055734,-0.0479807694142102,-0.484145681727276,-5.23246195754326,-0.212892331704747,0.160986543599011,0.632367205219946,0.155972720331603,-0.0554598842796238,-0.141649130063096,-0.11060051940369,-0.0485980452405875,-0.478762882655252,-1.77055288433685,0.842847322135803,0.687930484523656,-0.279392316254291,-2190.10978148528
-4.65091028301008,-9.12998895124229,-3.31982185582378,-1.27281636684956,2.42491788758358,0.0821852409092038,-0.269576747561764,-0.135489254571407,-0.0476244659383413,-0.484216852026286,-5.24668803384169,-0.218405384218514,0.157429814033819,0.629109095410796,0.153921648897836,-0.0551731810289195,-0.142467043592871,-0.110371834837667,-0.0491409130284023,-0.480089588964291,-1.76124425968214,0.834777086683612,0.682557843551461,-0.273020232385767,-2190.09757208959
-4.64980139962588,-9.13912543442886,-3.32479556811809,-1.26929154753948,2.42776278990222,0.0841877104627933,-0.268781553096483,-0.1354393746974,-0.0478946612736477,-0.483956426031896,-5.24978619856122,-0.21731125202086,0.158174222425308,0.629159388601548,0.15311818678224,-0.0549763962878891,-0.142120841014002,-0.110368043262174,-0.0490596714583567,-0.480916899997114,-1.7654869999709,0.834417703688631,0.688094744639552,-0.271613523225371,-2190.09349681631
-4.65000351686173,-9.13087129440052,-3.32570564365131,-1.26676269252829,2.42381118182268,0.0842523159090132,-0.268537038593656,-0.13545760020143,-0.0480173833443287,-0.483902370747921,-5.25277542807889,-0.218367612172307,0.157249869939013,0.628935008175586,0.153410520171176,-0.0545585394894421,-0.141945554083994,-0.110446122514206,-0.0489250847888301,-0.482083743678572,-1.76645978923376,0.834242004819864,0.691319658553632,-0.270229119933832,-2190.09122198861
-4.65043717892993,-9.11423326641892,-3.32519518640179,-1.26453430663734,2.41686056221821,0.0836872778965652,-0.268326231558402,-0.135464825215197,-0.0481052218783101,-0.48398206077445,-5.25503506763261,-0.21912977808011,0.156207024997773,0.628805499500567,0.153734620005773,-0.0541119457489628,-0.141861988827198,-0.110538702048714,-0.0487671666585858,-0.483063538108292,-1.76713814884602,0.834213077222559,0.694146044909629,-0.268857843098866,-2190.08940558122
-4.65081749943916,-9.09206079699435,-3.32418616215067,-1.26276303142363,2.40795895287466,0.0829417801539766,-0.268124468960375,-0.135446664637684,-0.0481670159307849,-0.484132320188388,-5.25677337636225,-0.219580621941657,0.15539037690443,0.628814690180043,0.154022063707711,-0.0537335661506524,-0.141821661829791,-0.110627280929957,-0.0486320405612832,-0.48384488039831,-1.76781657316651,0.8342562838929,0.696320847849146,-0.267733378189503,-2190.08788897791
-4.65114986422592,-9.06017522999654,-3.32278410004176,-1.26094902363805,2.39527077326017,0.0820122137033091,-0.267875295936206,-0.135409758112858,-0.0482258695042976,-0.484334941557025,-5.25847919212493,-0.219833450231647,0.154642914343631,0.628917222176922,0.154291443210661,-0.0533399408575817,-0.141804523194249,-0.110723611837543,-0.0484937948189305,-0.484603931738352,-1.76871933403824,0.834348264208319,0.698487095858495,-0.266580535293244,-2190.08635372169
-4.65131604047773,-9.02487617605877,-3.32139074913262,-1.2594679670242,2.38125217333835,0.081155071293787,-0.267632674281817,-0.135362648812665,-0.0482702467454081,-0.484529714802541,-5.2598555369469,-0.219840374285784,0.154162567018678,0.629093330527779,0.154480116484895,-0.0530236954733456,-0.141809795493421,-0.110804791205798,-0.0483862871294752,-0.485185494722615,-1.76968811611834,0.834464488874705,0.700183190294617,-0.265679405500275,-2190.08500084224
-4.65134272049091,-8.98021068457961,-3.31979341794895,-1.25799120004667,2.36350749876311,0.0802333090552021,-0.267352300969918,-0.135300077667774,-0.0483107387893829,-0.484742083556448,-5.26123764647964,-0.219637626869185,0.153834691953551,0.629361092693971,0.154628387583229,-0.0527183922743754,-0.141833830363635,-0.110886293379013,-0.0482871937537725,-0.48572143396858,-1.77089479508853,0.83461682328202,0.701788738059502,-0.26484477639063,-2190.0836231043
-4.65119563235424,-8.93555596849357,-3.31835000679588,-1.25683795823896,2.34575003402036,0.0794617354149351,-0.267094517615393,-0.135235618816572,-0.0483380632559854,-0.484920642413093,-5.26235684207266,-0.219260005428181,0.153746428156,0.629666029132316,0.154699800435822,-0.0524934777292553,-0.141871797458065,-0.110949499115755,-0.04821985867746,-0.486094012504624,-1.77208776906521,0.834769846618455,0.702946077252528,-0.26427635500886,-2190.08240476095
-4.65086167030222,-8.88346297840082,-3.31680354339631,-1.25576551305927,2.32501539991081,0.0786978546798483,-0.266813100617926,-0.135159146814506,-0.0483585199018837,-0.485096977246562,-5.26346183615183,-0.218668540888968,0.153852159045958,0.630053762741165,0.154715816372142,-0.0523005945343693,-0.14192792562553,-0.111007221669248,-0.0481690985811427,-0.486390198950632,-1.77346832501428,0.834946579658103,0.703910917649238,-0.263848065163719,-2190.08116976688
-4.65039239720813,-8.834935792963,-3.31548230424278,-1.25500775341851,2.30568175459141,0.078111080272094,-0.266567626247981,-0.135086841233886,-0.0483670376037734,-0.485231235074138,-5.26433258501895,-0.217980284641501,0.154140672434785,0.630444754770163,0.154669493915137,-0.052183466287937,-0.141991149469585,-0.11104645953405,-0.0481471873856257,-0.486543234705755,-1.77474592341974,0.835107708146277,0.704464949085101,-0.263664950260139,-2190.08007820082
-4.6469644658953,-8.68000306426067,-3.32321209121498,-1.26028046010558,2.24093790672828,0.0829152158837234,-0.266924891050606,-0.134425190945729,-0.0481091836816703,-0.485266055825672,-5.26658349880641,-0.214087731110512,0.158195852336498,0.633097685823685,0.153119262235186,-0.0533244695422862,-0.142378297954478,-0.110900520330903,-0.048660443378694,-0.48511709773093,-1.77359186065214,0.834211906817222,0.694511406794447,-0.266930243806771,-2190.06947428054
-4.64444519888103,-8.7302417805029,-3.30998482098398,-1.25984147154097,2.26368748371843,0.0782961475819932,-0.26618975420128,-0.134972439027951,-0.0480991383002874,-0.484703925579166,-5.26384192734832,-0.213275732871281,0.159121775707748,0.632314179575869,0.15251041241597,-0.0537009328272817,-0.142340084309114,-0.110717680959647,-0.0488110127571825,-0.483922949348582,-1.77661657109947,0.83532734036711,0.69608689116564,-0.269666828390957,-2190.06784635985
-4.64545428406096,-8.70166765929601,-3.321236118649,-1.2609462256229,2.25131995720991,0.0825704334861845,-0.266661671587339,-0.134712626432524,-0.0480810784817127,-0.484867442920299,-5.26383354180084,-0.212597673775768,0.160239108224682,0.632443224966923,0.152595776863196,-0.0538782987109881,-0.142425864876017,-0.11071618715591,-0.0488693818300197,-0.483641389917307,-1.77656775231177,0.835174655501071,0.694323306220251,-0.269402359810613,-2190.06741284053
-4.64452116126375,-8.71375018271687,-3.3118347503693,-1.26032577953176,2.25650189491798,0.0791198655646518,-0.26648997525277,-0.13497172031048,-0.0480573002019109,-0.484554518815916,-5.26282857993714,-0.212365786177035,0.160354020338964,0.632325187169942,0.152546719300565,-0.0538532541885401,-0.142437763030969,-0.110679511663387,-0.0488921556738427,-0.483334836854615,-1.77744648344126,0.835479840800916,0.694881008502289,-0.270100963833089,-2190.06727848926
-4.64459618230657,-8.71217944102509,-3.31601644802371,-1.2607216730314,2.25586032143604,0.0807276446628422,-0.266548281995642,-0.134885691667803,-0.0480623219579043,-0.484602313155232,-5.26260669900214,-0.212170951898742,0.160676316479704,0.632341765417666,0.152555626839321,-0.0539143953179606,-0.142458263495918,-0.110676266749494,-0.0489044789931045,-0.483230178126394,-1.77749241069521,0.835464071884796,0.694657339317447,-0.27012710300206,-2190.06716902834
