"b_no_choice_a","b_powertrainbev_a","b_powertrainphev_a","b_powertrainhev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainphev_b","b_powertrainhev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainphev_c","b_powertrainhev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","delta_c","logLike"
-4.64434304355909,-8.71149872624648,-3.31639760392033,-1.26081651450175,-0.266600663134953,-0.134887322473493,-0.0480499079538724,-0.484511678207851,-5.26198470097936,-0.211975757749917,0.160903814106223,0.632342975571385,-0.142480057771725,-0.110672854468091,-0.0489111967202049,-0.483067748742139,0,0,0,0,0,0,0,0,-1.77763624817874,0,-2409.33858049364
-4.6479710307717,-6.95812256081463,-3.2867002943461,-1.27109888767535,-0.265876556715997,-0.135976604423057,-0.0475425476618232,-0.484267379942006,-5.8680816024464,-0.181224450302992,0.139918147745594,0.662582778454217,-0.133011335748005,-0.111922564242292,-0.0472122718722085,-0.448890255519521,-0.115213936306023,0.066037861427271,-0.022602988856273,0.123558071010025,0.0121664243197487,0.00112698602544705,0.00436403020042288,0.0105917205387669,-1.45820400398175,-0.318052194245988,-2348.19644522221
-4.61823648364173,-5.22812638248084,-3.13876152511994,-1.30262170544246,-0.264167139409592,-0.139756155188624,-0.0458345161305076,-0.472619833823714,-5.59491063173082,-0.356184839072435,0.0810922358527738,0.449612213539901,-0.0859708269321896,-0.0728094756135074,-0.0442318116414567,-0.404113468747898,-0.840702855979762,0.561787478093394,0.0186131587145503,0.502987907211903,-0.0517496354647907,-0.0371188371397455,0.00639937652422311,-0.083660824516999,-0.448019430832459,-1.28935965348614,-2270.03952984008
-4.68242151611558,-4.49996176574808,-3.20723826156544,-1.3172750138412,-0.273231610446339,-0.156424108240373,-0.038640547570368,-0.480208495421284,-7.45100010586957,-0.35973425167115,-0.0980271166769376,0.573888571655433,-0.138869303772152,-0.103649038616531,-0.0562889049200973,-0.633294876808858,-1.63897142615138,0.667445303050812,0.172737665431852,0.600700059958142,-0.088965910428091,-0.0483021631243099,-0.0336333555411776,-0.227858892550336,0.0720780316108668,-1.57707264158284,-2243.43616262704
-4.70310452770401,-4.86454458927695,-3.26875312024428,-1.34994795938502,-0.277071391946714,-0.156974129081515,-0.0382646548476332,-0.471359264105422,-6.76608746580109,-0.240382941162649,-0.164601827003541,0.583490983591575,-0.148786356756504,-0.109093762476599,-0.0503053500413039,-0.649553238275703,-1.81944386678458,1.05593190682304,0.567312428639606,0.822049941117164,-0.129433179345847,-0.0635166186062037,-0.0727802239079929,-0.436111261261264,0.222539968862203,-2.07553186242849,-2237.47927765688
-4.65639795616039,-4.96100454480262,-3.38409704567469,-1.40955903474705,-0.283066349704176,-0.152482551133022,-0.0354848127846005,-0.443306951514926,-6.74175406640918,-0.266073782777395,-0.179943660000562,0.579627877387974,-0.151386481227662,-0.11053286939913,-0.0497485808089268,-0.656176701911034,-2.30844584901343,1.40482752714802,0.702342421655707,0.917642894055558,-0.247557713649262,-0.106526765583434,-0.0887855839984171,-0.525413751350377,0.295236973869104,-1.85594652326615,-2233.82129216423
-4.60411108499287,-4.98027221008593,-3.48586996185874,-1.45876529698693,-0.285167300321785,-0.149927047991351,-0.0335169695155808,-0.416194831914476,-6.78998516369539,-0.307213038777532,-0.190115783321089,0.572699013310739,-0.149527621523149,-0.111009615736487,-0.0504327193487064,-0.656616738038398,-2.3128059618162,1.36918351215207,0.758312912134713,0.827562082020116,-0.213830826829815,-0.110910566769952,-0.0803783021276896,-0.602100063884427,0.319445227242491,-1.50911325612287,-2232.6444709577
-4.58839905970481,-5.01141812078422,-3.54157256618512,-1.47926396208287,-0.284244075396694,-0.150691374785758,-0.0333329834580468,-0.404799525745351,-6.80006107576225,-0.323424012973376,-0.198856501519519,0.569138453850615,-0.147040707532294,-0.110946167201351,-0.0510447373808737,-0.655634355190551,-2.3806693556326,1.2834221318742,0.717164641859098,0.772871489265732,-0.234456597482796,-0.103375643332511,-0.0688687479996148,-0.610132420326042,0.321969182682496,-1.43667356870535,-2232.42571825143
-4.57690024379155,-5.06449491433351,-3.6051672387474,-1.50565463093854,-0.285681236908441,-0.150724460081474,-0.0331271679155141,-0.392678350728553,-6.80292912172479,-0.338207619152879,-0.210042245428566,0.567288563881843,-0.145280674089577,-0.110557328377922,-0.051530267792892,-0.655243015830976,-2.51916258447564,1.07222646089049,0.601896842436484,0.615253426719534,-0.234291908378867,-0.101338784772872,-0.0648778348860187,-0.614002645745307,0.330810804040838,-1.37721937771674,-2232.29231602728
-4.56839476676359,-5.11280027174029,-3.6498573571976,-1.52629451689784,-0.28754945961976,-0.150072335112813,-0.0329892588802735,-0.385572551588947,-6.80782950124595,-0.348445880193613,-0.220466880398014,0.565114050465767,-0.144476544963938,-0.110196090901203,-0.0516458352444058,-0.655966843656894,-2.65644901113137,0.986680044110608,0.550590843417788,0.575125022565159,-0.240584318865917,-0.106760023794971,-0.0618904572807014,-0.625645776703963,0.34102929014633,-1.33844700543983,-2232.22224053149
