"b_no_choice_a","b_powertrainbev_a","b_powertrainphev_a","b_powertrainhev_a","b_range_bev_a","b_range_phev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainphev_b","b_powertrainhev_b","b_range_bev_b","b_range_phev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainphev_c","b_powertrainhev_c","b_range_bev_c","b_range_phev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","delta_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","logLike"
-4.64434304355909,-8.71149872624648,-3.31639760392033,-1.26081651450175,2.2554409497177,0.0809062109352362,-0.266600663134953,-0.134887322473493,-0.0480499079538724,-0.484511678207851,-5.26198470097936,-0.211975757749917,0.160903814106223,0.632342975571385,0.152591163534261,-0.0539279059066721,-0.142480057771725,-0.110672854468091,-0.0489111967202049,-0.483067748742139,0,0,0,0,0,0,0,0,0,0,-1.77763624817874,0.694532578169909,-0.27023678015811,0,0,0,-2353.74202819981
-4.62988874495702,-8.64324123467739,-3.2390015972646,-1.22044707001153,2.27802503238487,0.102821851168801,-0.267201152672977,-0.136773536214896,-0.0487473950842336,-0.484914408036206,-5.71226981376162,-0.213419191506688,0.167533926515384,0.563912205345132,0.139114795679716,-0.0536409615395512,-0.13015005446918,-0.104100303141827,-0.0486025944048665,-0.475697882267688,-0.266077395708666,0.0707341320969518,0.0718235843398415,0.287364136279468,0.0615760262183633,0.00109820986699646,0.00743506079721386,-0.00943119525191529,0.00439591304005133,-0.00295013721992334,-1.22158688791135,0.91732697328404,-0.346160803243242,-0.849553534090698,0.371249321873095,-0.17271385512234,-2251.78219419943
-4.63848156447724,-8.59969406345675,-3.20175478770377,-1.20211632581658,2.22640874332091,0.0722722009729661,-0.265299326355791,-0.13905984575115,-0.0459477699505302,-0.490129530807389,-5.81643634952005,-0.321476831761899,0.0544275963372023,0.403578844549994,0.106593185465215,-0.0396884735518556,-0.099655462376193,-0.085738636189073,-0.0438798354329199,-0.403593323176299,-0.902979995299091,0.224938909594828,0.46642283925749,0.820294745521255,0.274415255136461,-0.0363748639131697,-0.0387869128904528,-0.0403223024209593,-0.00594008205558778,-0.234742119635264,-0.114072771950153,1.11926859185167,-0.409526295407909,-1.73460090114469,0.794491064186917,-0.54626430559117,-2202.54710834684
-4.76675140232235,-8.55252539990802,-3.3301704577032,-1.25081879587845,2.12380774579609,0.0612652102094196,-0.274501836047388,-0.150874605087187,-0.0443569484334723,-0.481996889348406,-6.76135926398079,-0.374551748798957,0.171923247214867,0.622640565922987,0.189642297735436,-0.0747020677295508,-0.138878044748611,-0.112875445665545,-0.048832042021952,-0.632115088040244,-0.97645108955979,0.731864930262796,1.37331702776694,0.960936169010618,0.0543443796945146,-0.230306992143085,-0.0717370406974832,-0.027200958528635,-0.0703852515129847,-0.361320215020114,0.114073378063615,1.19917037077961,-0.456687770849566,-2.1086720757759,0.777102960554332,-0.211503139929681,-2188.94316323631
-4.79631926486167,-8.36980703222408,-3.54811457268748,-1.3209025301063,1.97199738773913,0.0938217537701553,-0.283529409979778,-0.148610684336666,-0.0429154484126792,-0.451994557020751,-6.9871520559749,-0.369417764638181,0.198409786229713,0.685012409848543,0.188365338277066,-0.0844642035201959,-0.157298437743555,-0.121662055205404,-0.0549212785342332,-0.698532973740548,-1.35343567358862,1.00716790807078,0.0671589810438002,0.597360792714226,0.0306233708899701,0.179924058445124,-0.219568115054301,-0.0507791476439202,-0.0201051960317261,-0.63625756864424,0.291476983633857,1.2195885754729,-0.418703812654122,-2.15875349031332,1.14136042065881,-0.59774739963518,-2184.79376711522
-4.76338978896303,-8.22288841125486,-3.62630217258916,-1.34480283648481,1.89546547081799,0.122172062253201,-0.279582497019464,-0.144504126898634,-0.0436289476921064,-0.438124404348209,-6.68936394967548,-0.362138239403932,0.11831177529542,0.648498275463286,0.172740669973161,-0.0557290807601306,-0.146599836701145,-0.117335850333418,-0.0521063840485407,-0.654330291256741,-2.01844852672939,0.771024217123269,1.01304192260861,0.62387539903,0.242425222247962,-0.115826118970961,-0.251401094963726,-0.0771778801971383,-0.0421974328618289,-0.775533044188045,0.227669196663068,1.23846782825035,-0.452137781078569,-1.84542488394795,1.0480124147236,-0.557176584516422,-2181.35582452998
-4.72971783727152,-8.07937552796504,-3.64709335586496,-1.35724724630296,1.81348565562772,0.12447726359987,-0.277424288696129,-0.142298049330879,-0.0445902492400024,-0.420082869746328,-6.79970281396959,-0.372092916308524,0.0936714904901061,0.644701190468846,0.166617264144759,-0.0483738709873237,-0.14328251542951,-0.1195872268686,-0.0518076850702859,-0.664177711576501,-3.0131700468602,0.622378043066302,0.762160788325781,0.648811837376824,0.375522107530296,-0.0711067406490716,-0.291510318676741,-0.0791581481214573,-0.0575809595282334,-0.881408121667818,0.223177557005254,1.30493469551442,-0.482473056684261,-1.51135473641615,0.797963181662901,-0.452430560960151,-2179.63777027759
-4.71239288056941,-8.0193810148419,-3.58360033054085,-1.34724103382891,1.78147516725219,0.102514782973929,-0.281482261852104,-0.142229739094916,-0.0441363356516272,-0.40851130074897,-6.80620845333308,-0.362566404723567,0.0927670985576212,0.638400678207116,0.160096074312801,-0.0503767774292411,-0.14369330663744,-0.121055927590497,-0.0516441055313823,-0.657409438132937,-3.0993520949768,0.211814449958416,0.524342633003027,0.445086374023125,0.402902199289324,-0.0348276490620579,-0.184602310467448,-0.0603412405781593,-0.0613451006984587,-1.02398488382113,0.236747416222696,1.32535775558299,-0.482062421718851,-1.42649233081239,0.898470771475247,-0.548444647612484,-2179.00081019963
-4.67977056749152,-8.04074468713477,-3.56215454409233,-1.33979883567064,1.79579293509776,0.0988681927981337,-0.279429670709696,-0.142356717198544,-0.0433970138766801,-0.403345820866798,-6.76491011167353,-0.362241320227031,0.0920825222035905,0.636295008881549,0.162848869674688,-0.0492144929159874,-0.143315632784774,-0.122042243410657,-0.0510393187048115,-0.650934234066547,-3.09061641910015,0.400423289745577,0.508565726177538,0.53272104906513,0.317444205936036,-0.0245015040916784,-0.211953690022988,-0.0419384698589893,-0.0596941646582432,-1.06815255867428,0.211940608344097,1.2983177633728,-0.468567831486804,-1.41163038356141,0.857660157741903,-0.48939118291333,-2178.58528570952
-4.65566117290483,-8.09811204643385,-3.58707080029677,-1.33565952105752,1.81604915835161,0.110917975289632,-0.278024828857677,-0.142212603134584,-0.0424533614991511,-0.401087576968298,-6.79214798370636,-0.365673888833484,0.0917846505230358,0.636571820783353,0.163734477652802,-0.0499373280279902,-0.144178406274744,-0.12387045820659,-0.0511964485534784,-0.654241591756718,-3.07484396918183,0.475300986959627,0.458551071928749,0.575654856992614,0.310874499550431,-0.015158414391604,-0.245831109358287,-0.0181515420116491,-0.0628093299734389,-1.05569393306909,0.221836416572034,1.29519231487471,-0.46297207585498,-1.3658803783139,0.757766664712199,-0.43748948023713,-2178.49617197647
-4.63763922839787,-8.11783269716353,-3.57925525808454,-1.32970362555834,1.82360813706617,0.11216104616579,-0.277497639407986,-0.142519216259967,-0.041805265883543,-0.397935651766027,-6.76911827790791,-0.363330971794897,0.0884429879976211,0.634228077930718,0.163941088141323,-0.0486879279446851,-0.144748949560709,-0.124626725472963,-0.0510584392254292,-0.649102029910879,-3.01290366809862,0.460612251567641,0.596233409895779,0.606562651381504,0.299559599294958,-0.0621241450195751,-0.242352685929801,-0.00514052921584574,-0.0622021083125976,-1.11124295534686,0.217835189521354,1.28031736195763,-0.458583313684075,-1.37323332520969,0.802584040670026,-0.457140532872365,-2178.31482378567
-4.63667934214692,-8.1114450635501,-3.56416848681104,-1.32707867661327,1.81521365829385,0.108647508035118,-0.277883119510479,-0.142687729167598,-0.0416322792812378,-0.398241743657921,-6.76335416542406,-0.364391002313047,0.0881189653593554,0.633377309829465,0.163734996085853,-0.0486367474153691,-0.144989073934013,-0.124443744943252,-0.0510416836280439,-0.647730037959777,-3.05689506102276,0.427167236684911,0.516583260955217,0.572075994636447,0.301828999009869,-0.0510283796935483,-0.229902231704002,-0.00562530436495297,-0.0656478070271423,-1.12217510203383,0.218605287435647,1.28287941947519,-0.464428600162331,-1.38328584146172,0.806903165400784,-0.49946016290181,-2178.23637058031
-4.635997373629,-8.09148914647298,-3.57474284259581,-1.32366390619239,1.80306846681595,0.116070408691435,-0.278442242474449,-0.142832104060654,-0.0413900440237478,-0.399670409168801,-6.7648667755977,-0.363776996804533,0.0845796040651978,0.631861901699329,0.161353037257036,-0.0478596867386786,-0.14468889555626,-0.12426119749482,-0.0511166391142763,-0.648137662478655,-3.07596878005281,0.317140906618329,0.65191742302594,0.54478371546269,0.38189586828602,-0.105450439589377,-0.219451769869112,-0.00551089946176926,-0.0696079445641106,-1.116631481727,0.224004627123327,1.29699148487893,-0.472024271870219,-1.39942032889594,0.804153851490043,-0.523969247368006,-2178.23172411287
-4.63738307408586,-8.09721588442409,-3.57316332548542,-1.3240629450367,1.80080044162208,0.116675723037978,-0.278370146091616,-0.143310255071683,-0.0413164257534461,-0.399490407642642,-6.76131789430286,-0.363891166533496,0.0858953251836483,0.632922133127704,0.162429927767237,-0.0476699608221787,-0.144789577384252,-0.124319149761816,-0.0510550633387637,-0.64862336606815,-3.06355955162337,0.368473810657785,0.578910005013169,0.535478048802499,0.327838726696015,-0.0948262850287702,-0.224865104335636,-0.00154966521774071,-0.0687542448566385,-1.12964985443973,0.225335088634029,1.28664596023107,-0.471846217321152,-1.39577733739977,0.799514294471681,-0.49683696103334,-2178.19706641871
-4.63977464168,-8.10176808680813,-3.57116208875896,-1.32295030953835,1.79859819570194,0.117201520810248,-0.278696678870101,-0.143703496448334,-0.0412922450760505,-0.399667180260389,-6.76245061974263,-0.36533958756507,0.0875184674339289,0.632321178250127,0.162748552940654,-0.0485291726299221,-0.144652947752615,-0.12441308545302,-0.051109728681066,-0.648436264517061,-3.07388369171104,0.400564192791497,0.476659242175772,0.540881533522046,0.329054155295877,-0.0618342439989124,-0.227254952483694,0.00119206920288588,-0.0678239477704433,-1.13481269973258,0.224121095309741,1.28581313366904,-0.468997268844414,-1.39876349879656,0.782172842685509,-0.516216315422935,-2178.18565524007
-4.64363173121787,-8.10814167643527,-3.57573184753283,-1.32338461976257,1.79911090195556,0.119222188465479,-0.279170488269678,-0.143950296194384,-0.0412733163458183,-0.399855811844435,-6.75884663370019,-0.365626791464298,0.0874663548638105,0.632275249839264,0.162941420142866,-0.0485210141253881,-0.144712895719016,-0.124330570799664,-0.0511112375928593,-0.647906176807148,-3.07480263916693,0.367058137317407,0.514249158826971,0.529613084207475,0.332350085181781,-0.0801972045747162,-0.222233589910775,0.000823196476853402,-0.0686092941881058,-1.13889997387649,0.226039147084247,1.28538389210552,-0.469806640867619,-1.39899140061978,0.790792425204097,-0.525111056959786,-2178.17557008813
