"b_no_choice_a","b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_a","gamma_EV_rangeanxiety_a","gamma_risktaker_a","gamma_hhincome_a","gamma_ev_charge_a","gamma_ev_neighbor_a","gamma_knowledge_ev_a","gamma_evb_environment_agree_a","gamma_evb_function_disagree_a","gamma_hhveh_fuel_a","gamma_veh_refuel_a","gamma_veh_range_a","delta_c","gamma_EV_rangeanxiety_c","gamma_risktaker_c","gamma_hhincome_c","gamma_ev_charge_c","gamma_ev_neighbor_c","gamma_knowledge_ev_c","gamma_evb_environment_agree_c","gamma_evb_function_disagree_c","gamma_hhveh_fuel_c","gamma_veh_refuel_c","gamma_veh_range_c","logLike"
-4.72983602335799,-0.18915057151058,2.06241262533662,-0.490694208690861,-0.218018154549641,-0.181977266191401,-1.63872217317412,0.280398883011938,-0.149926934823181,1.23764703019229,-0.327108538786509,-0.887062679957768,-0.936884846808019,-0.774106003424751,-3.97223412617198,-0.0950995011679458,-0.260259053347593,-0.140295539784767,-0.205884496500499,-0.171352493769199,-0.380124845688124,-1.39518182086465,0.299332465188961,0.393860643514522,0.127494455302363,0.321856752028141,0.664668558198751,0.279602248114579,1.24747369079845,1.09985554788925,0.0295132385371718,0.0200198706458561,0.0459687201436135,1.56490958624051,-0.591226534678075,0.623206284193919,0.0891923136187338,0.317022062603655,1.01922240999643,-0.437721012672456,0.427607888057384,0.0235499572428979,-0.537662557308273,0.0403142369125132,-0.268988158029389,-4928.69640026112
-4.83985907170004,-0.254113349368054,1.83557579870288,-0.546098824507187,-0.251800662104962,-0.207920551958275,-1.51690803425459,0.294767795699529,-0.165047317249418,1.22126537083647,-0.369952112979492,-0.79228076248643,-0.867509338154476,-0.790937732235363,-4.20166204204852,-0.102764790039855,-0.127464692394101,-0.157057898084966,-0.251836585691972,-0.246231172634977,-0.404356435304884,-1.34005782860009,0.24253781621028,0.352376126695,0.11876220820582,0.464092990667973,0.459226940302848,0.269924159763305,1.02963185283396,0.836533066523214,0.137981569536795,0.0312230789052343,0.0387970845846485,1.59566208058001,-0.511024143565815,0.78960184062464,0.0814995100332063,0.163077751489036,0.752374289205789,-0.318133129118084,0.168166011853552,0.35609644496582,-0.50265033816973,0.0448164784398364,-0.269779558882446,-4791.8463196945
-5.21748555378245,-0.313628784619442,1.58907694813699,-0.604770425678439,-0.212878008198634,-0.197783579804313,-1.3663696514198,-0.397895097175706,-0.256705044867467,1.15189475272611,-0.459116802540314,-0.715231010520486,-0.785289232230124,-0.865693338796469,-4.35737624985671,-0.110500662510638,0.011641584692141,-0.157709356394875,-0.332039359267937,-0.305417675454047,-0.479521459446893,-0.555417977604084,0.0411226752650898,0.272494158556415,0.106062464212858,0.633346390902215,0.19297060404287,0.297113144154034,0.642663680897899,0.587859054910936,0.148563021324077,0.0407753074769856,-0.0302979548741763,2.07715196967957,-0.510656886616741,0.918040494757888,0.0691426447750781,0.239022236363284,0.44217978809927,-0.0844764155082205,-0.265356595662299,0.52863883898723,-0.584442301976681,0.0571846302876666,-0.355966246003764,-4711.3651445993
-5.82628237898517,-0.355681016578343,1.28362517616873,-0.726109891267186,-0.275305390216681,-0.20989193223429,-1.23651120932951,-0.926913581514563,-0.326698485498035,0.960288506523214,-0.509687302644279,-0.614288063715036,-0.594205051249161,-0.87869907897684,-4.16469991941056,-0.0986639919012078,0.173481171619931,-0.141493893525082,-0.36308882156773,-0.379059041489274,-0.502375497873637,-0.361412580356474,-0.136459114787966,0.262761483343371,0.108867120003751,0.586047676538615,0.0212171286287804,0.289620894449824,0.637928060568962,0.364146971002863,0.124248248519993,0.0608195530975613,-0.0592460909028146,2.81994419361535,-0.790948638648535,0.896453217430775,0.0361100301583741,0.298650521158951,0.190024371015579,0.0308371253108598,-0.370925528477684,0.641244432893961,-0.676316463747018,0.0751301684889638,-0.473274373100478,-4663.03591025516
-6.16881184996833,-0.346028520161448,1.18559037107779,-0.803137531653925,-0.299456482225738,-0.2324717196756,-1.22229202462812,-1.35771314944494,-0.377641677476361,0.813106810814747,-0.508838331836933,-0.587412294630314,-0.484999671509612,-0.917146344358678,-4.06720144195706,-0.112007216117389,0.253450133523862,-0.130205785689658,-0.368547430754394,-0.382530363935248,-0.529496682731129,-0.301122920150494,-0.0435298744827009,0.262991501628043,0.113251722465835,0.473766882203562,0.0486618542859785,0.325474362524286,0.803461373306526,0.259285056957495,-0.0087710876704097,0.0615733754467104,-0.0862711452863791,2.5395219612682,-0.70967804881714,0.747705417430267,0.0434954278778479,0.516654694483967,0.0957494949300259,0.0630837048649165,-0.138331022823595,0.739088866226953,-0.677378185639554,0.0832546495511204,-0.471598387051214,-4651.96432512005
-5.74930716522097,-0.273606781922452,1.10249583425136,-0.720292850164042,-0.269789110178552,-0.243734561170182,-1.17172400323202,-1.41139771804042,-0.372008788045246,0.787294691854747,-0.468223777712875,-0.651924386138738,-0.550010070247076,-0.952954511939363,-3.94828776648265,-0.118696844814289,0.23880891155002,-0.095095169709639,-0.358219624295565,-0.364288177314792,-0.527662570393998,0.0373404243884929,0.012680415428717,0.231885551099824,0.108769535142888,0.397935473385642,0.163312236164656,0.382155492785404,0.875825527048502,0.413944530886051,-0.138888428842672,0.0605361640249537,-0.138070865691935,2.24352891812352,-0.648589930704642,0.697542995009721,0.051003471508644,0.598325173591366,0.155620738762465,-0.0144847766131448,0.0364454247027399,0.830483326067142,-0.714968291395103,0.0838830007301548,-0.476995049890549,-4647.8131171421
-5.92525189247328,-0.278009899777755,1.09868069206968,-0.740551356761844,-0.29435188455222,-0.26382607007922,-1.19804027363699,-1.26373277163763,-0.349809517106629,0.744591090905236,-0.449740713416824,-0.597931028034176,-0.540930990551586,-0.921472801527145,-3.78916046560204,-0.11976213816517,0.251257288898417,-0.0953861523805138,-0.342164673545468,-0.341286515657933,-0.506002179741965,-0.065163945448153,-0.0577406795352814,0.24345646829987,0.107000177795132,0.413582611105088,0.176596320241856,0.378424544567698,0.862137522049371,0.442750806511278,-0.0703897666486589,0.0573431967396549,-0.107301431297315,2.21122528364586,-0.742370149148665,0.64965797219833,0.0461783316865899,0.564249464734048,0.202519097600048,0.041724952387625,0.0341222026450986,0.72267257526645,-0.584759930311731,0.0813809079857062,-0.446772298100825,-4645.93186611941
-6.02365009712277,-0.284387538809658,1.0948727977568,-0.751728343189616,-0.312294620387686,-0.271291867366917,-1.20665367023387,-1.19211864100684,-0.345953966273925,0.74809410030209,-0.440973351223038,-0.602491016137191,-0.539401376322441,-0.912532855485574,-3.77460538658408,-0.121101320064061,0.249356012181502,-0.0951065171914558,-0.335193384887171,-0.324085932239116,-0.509381504373725,-0.0710535261406557,-0.0893636550138757,0.254681886751857,0.10703131660745,0.446717073953361,0.195898538531171,0.370357500754126,0.859990068860342,0.48128627260288,-0.06890052238078,0.0544660401944274,-0.102561291764161,2.20202385311798,-0.76125593515932,0.656362505462527,0.0469869988322629,0.586895876282189,0.226362558497966,0.0527003518482956,0.0384664573468383,0.749431856153256,-0.579704969348984,0.0800612025394,-0.439110416334252,-4645.56818581583
-6.08647101963877,-0.285908123963008,1.08522277896934,-0.758500490716999,-0.322837990620252,-0.275787133422191,-1.20922883400752,-1.16121462522142,-0.344446206309607,0.746557645234735,-0.435447018115959,-0.603489525090053,-0.540394732891087,-0.910884002381757,-3.74928902810813,-0.122238570498729,0.253663603427368,-0.094558704373442,-0.325463272150446,-0.312529404578269,-0.512625289027411,-0.102794595628832,-0.0868660395039288,0.252707213593053,0.106695190330699,0.445470095328307,0.210806773990853,0.37357004407928,0.865189280145684,0.472872796803006,-0.0634544092653542,0.0530196803455797,-0.0956604891962157,2.16847481311387,-0.761177574769943,0.636034628345264,0.0465323697316514,0.585800511063954,0.228520533146397,0.0528934701017755,0.051339827094677,0.74454566498321,-0.567356286967024,0.0800079927677203,-0.425962592836567,-4645.46987171991
-6.10841003241703,-0.285640668240682,1.07909619406272,-0.761169133340721,-0.32629581508895,-0.278742614920839,-1.20790301951581,-1.1626095966986,-0.345225767620857,0.746730803543254,-0.434534516761987,-0.604492458629081,-0.542090497150095,-0.913147387828031,-3.74287490648681,-0.123144644358701,0.258161121244477,-0.0947010263382371,-0.32119144628622,-0.307958993015732,-0.516689951471532,-0.102726033228851,-0.0840582390149989,0.256389750385514,0.106709246931383,0.444335893111024,0.21477097186161,0.377034891499263,0.867812081392308,0.472430278473308,-0.0674873103755115,0.0530091549890024,-0.0972652501852367,2.16620170776711,-0.758000421677284,0.63319832258821,0.0467721641047061,0.591223389352754,0.224387612659669,0.0556153544077686,0.0518738749268657,0.756967753232111,-0.570771240813249,0.0800337349701917,-0.425400852332912,-4645.44279450375
