"b_no_choice_a","b_mileage_a","b_range_pw1_a","b_range_pw2_a","b_range_pw3_a","b_loss_pw1_a","b_loss_pw2_a","b_loss_pw3_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_pw1_b","b_range_pw2_b","b_range_pw3_b","b_loss_pw1_b","b_loss_pw2_b","b_loss_pw3_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_pw1_c","b_range_pw2_c","b_range_pw3_c","b_loss_pw1_c","b_loss_pw2_c","b_loss_pw3_c","b_packreplace_c","b_cellreplace_c","b_price_c","b_no_choice_d","b_mileage_d","b_range_pw1_d","b_range_pw2_d","b_range_pw3_d","b_loss_pw1_d","b_loss_pw2_d","b_loss_pw3_d","b_packreplace_d","b_cellreplace_d","b_price_d","delta_a","gamma_EV_rangeanxiety_a","gamma_risktaker_a","gamma_hhincome_a","gamma_ev_charge_a","gamma_knowledge_ev_a","gamma_evb_environment_agree_a","gamma_evb_function_disagree_a","gamma_hhveh_fuel_a","gamma_veh_range_a","gamma_suv_a","delta_b","gamma_EV_rangeanxiety_b","gamma_risktaker_b","gamma_hhincome_b","gamma_ev_charge_b","gamma_knowledge_ev_b","gamma_evb_environment_agree_b","gamma_evb_function_disagree_b","gamma_hhveh_fuel_b","gamma_veh_range_b","gamma_suv_b","delta_c","gamma_EV_rangeanxiety_c","gamma_risktaker_c","gamma_hhincome_c","gamma_ev_charge_c","gamma_knowledge_ev_c","gamma_evb_environment_agree_c","gamma_evb_function_disagree_c","gamma_hhveh_fuel_c","gamma_veh_range_c","gamma_suv_c","logLike"
-1.5602481106034,-0.193541339902344,0.866719331180505,0.883359945662437,0.77585926148661,-0.096785813335239,-0.0795853426003084,-0.0180132274714222,-0.628264622611968,-0.723330502904553,-1.11063183210427,-5.01474397338454,-0.239033636314214,2.2428422115635,1.06700504409269,1.23883762590222,-0.1367160037488,-0.130222417602927,-0.0843042913239718,-0.160903115105776,-0.179648786017703,-1.3423436101115,-3.88430990760496,-0.132844312410453,0.131575845221897,-0.0949928647045368,0.1536873719475,-0.00514676281677833,-0.0150760066683883,-0.0265008670660299,-0.383863131566121,-0.441474358218084,-0.321629029926987,0,0,0,0,0,0,0,0,0,0,0,-1.72902392126014,0.630030593840176,-0.80419480907526,0.00561697445997751,-0.220331701502027,0.228876565156279,-0.31129908564625,-0.340995927107485,0.794061932793295,0.269761964401308,0.252738633738095,-1.51074387329261,0.664716547503554,-0.422371851844186,0.0108876433842958,0.157621464227642,0.261567243917122,0.450903868725012,0.441158133444539,0.639350576836965,0.28104294560495,0.135397707479265,0,0,0,0,0,0,0,0,0,0,0,-17581.8694404167
-1.55164074129564,-0.195966667596141,0.863956138706214,0.891654058907209,0.786570055777461,-0.0982799538891735,-0.085303865678205,-0.0323788427742304,-0.635752997381369,-0.746864105611384,-1.11643233385314,-5.02376301549002,-0.239232694714943,2.24617708117453,1.06216482886701,1.23450224813934,-0.136396469329701,-0.1302813072579,-0.0847016589231311,-0.161864825665723,-0.180681956440896,-1.34442553778462,-4.56998773518498,-0.12588401159077,0.291264095326217,-0.0804633239803174,0.168718674920727,0.00400548417295758,-0.015065773683778,-0.0270161913514503,-0.386260395194679,-0.447155267969145,-0.31184330101831,-0.0813587260444999,-0.00730451816352354,0.0938003011923296,0.228929819370568,0.195783305841223,0.0017412275486637,-0.00838019731656541,-0.0158461291615373,-0.0506808425657809,-0.0842950656795051,-0.0168520142162171,-1.66508375377286,0.691271257584911,-0.730458358877228,0.0114705934682633,-0.137290700438055,0.290766885931724,-0.266295677647647,-0.286376316944211,0.858971221380773,0.289250167429152,0.333822762685146,-1.41993376277392,0.741551432669486,-0.306102275885591,0.018146941699222,0.262980319079772,0.344228269734029,0.540162868746027,0.523185453166875,0.715593596197977,0.305340994597659,0.225025014919204,0.0508014507854759,0.0235023566730313,0.0978731148878014,0.00392793127881783,0.0560313329730378,0.0426652363193512,0.0470048914045845,0.0411039859331371,0.0340048380638416,0.0109148424440642,0.0309967453690124,-17424.8997059696
-1.54272186025089,-0.198833849359637,0.867504868264631,0.924107568280785,0.808790456991026,-0.100294610334118,-0.0912104154057755,-0.0369588323387235,-0.63252100134696,-0.763307032317373,-1.1267007932727,-5.03767152434359,-0.239928051210331,2.25027791372099,1.05980573178935,1.2324700820301,-0.136355345565426,-0.130722917040048,-0.0853674611939252,-0.162407956302381,-0.180019331322035,-1.34831174642324,-5.6297907321175,-0.122831335532907,0.293685142226641,-0.133167563478949,0.144339886661432,-0.000198226939563735,-0.0152913930878405,-0.0251751591113054,-0.354051207667444,-0.423648478735423,-0.319209635513818,-0.180832587397622,-0.0418251180712017,0.212008190581229,0.406742115312549,0.324891160395253,0.00422798888027118,-0.0181774376000682,-0.0263960078646923,-0.252382135408417,-0.276548237875367,-0.0859252167429032,-1.60775298608143,0.747882915189476,-0.66244326469608,0.0174213207360893,-0.0608800706361138,0.34363853325694,-0.243906482470718,-0.255990656944946,0.935000596396801,0.30939032835599,0.436139725584732,-1.32927534930447,0.787840858374688,-0.204743278303396,0.0237882680872399,0.33583247812985,0.401531967046395,0.592366569399224,0.557342793751178,0.771971121548752,0.322130349669442,0.297473406772246,0.149572463555581,0.0805151733258309,0.235457838349813,0.011894072025698,0.17427139373709,0.111781664536114,0.114691754511854,0.149801882619389,0.100216451095401,0.035132990004036,0.0816084495128807,-17365.2830083596
-1.53893238934504,-0.203493925302689,1.01578220733751,1.1145616781238,0.898340970430341,-0.113082002578634,-0.101344877631641,-0.0279787192344675,-0.588312208146876,-0.749133236775356,-1.23978525437571,-5.10391395797003,-0.242502441602248,2.28537289354236,1.08047216863302,1.25265195076771,-0.138999750115396,-0.132999783936607,-0.0872530010187964,-0.156307283122574,-0.170993266877418,-1.37278457628167,-5.85604475893313,-0.115116780373081,0.216782905428807,-0.08311562619511,0.12877287808864,-0.0192800482967467,-0.0135574800811683,-0.026172907480216,-0.275414071229051,-0.348279279455766,-0.307196975636275,-1.0038781162724,-0.172599020531746,0.477922574578554,0.463968622719907,0.521575495676247,0.0185555354400053,-0.042514839800636,-0.0277877782116112,-0.679842645636183,-0.703181254998031,-0.425961285879001,-1.5768000371581,0.724801870081731,-0.576676783632708,0.0260232053357036,-0.110509223779877,0.22308306133671,-0.482693442725795,-0.365200426318509,1.01836367789903,0.328005234908729,0.768053378940298,-0.948975480253349,0.729969845555233,-0.0910913371627447,0.0304176955182668,0.288028744505693,0.261165688268442,0.382180230302414,0.485030596833754,0.72085832214884,0.315017653634306,0.5339532838396,0.531748091697825,0.0483715814584491,0.376730284879208,0.021468907392994,0.188362327558469,-0.0267870728544389,-0.0873591902654348,0.128359370360075,0.0670394878071562,0.0359497226243427,0.330751969610601,-17309.3083695817
-1.4929928569629,-0.19985783190383,1.34128448179669,1.31172613175212,1.10724107885212,-0.146713474689159,-0.104400698004112,-0.0348849950576505,-0.445162801826839,-0.649665582795876,-1.46459666222036,-5.20261712799996,-0.244872115054314,2.33236988463997,1.09419273670725,1.27883152421313,-0.14278038645857,-0.135570567666779,-0.0889095823111398,-0.145552688943958,-0.162074089334134,-1.39623240977929,-4.85510712856405,-0.121510170577554,0.214356731636261,-0.0913230856960016,0.155169157098114,-0.0176195634681111,-0.017352221263926,-0.0263979608723397,-0.270683913269274,-0.345190839590888,-0.321341874079922,-1.41651606604679,-0.21101432889046,0.68686790388724,0.783314960241389,0.501545678748205,-0.00785026194046599,-0.0541976459755476,-0.0215220544498656,-0.885239215945758,-0.888610556292634,-0.672841305573907,-1.76368404420498,0.479315331818094,-0.43459177537453,0.0210438680707145,-0.130700999416911,-0.033167845530617,-0.506463592876547,-0.173464025580988,0.82261696583171,0.281878750199795,0.633292238229005,-0.688111147637033,0.403849163857045,0.0728811598197125,0.0229468201272527,0.28743649187694,-0.0202614578186374,0.405382983277407,0.705369273108536,0.432534266065385,0.249471330563001,0.300704243897949,0.805518255661514,-0.276874379050401,0.527909759248978,0.0136313555239601,0.181957134874957,-0.266729532203945,-0.0244293357382053,0.336705249389117,-0.237280004361469,-0.0215498847268086,0.07565590780437,-17250.4014869387
-1.2774144119556,-0.189614888977227,1.98764882927252,1.49097571031208,1.42650310774934,-0.21101906547229,-0.103611082156536,-0.00644178268235335,-0.276382416367418,-0.45178374269894,-1.83169022578018,-5.40551953721646,-0.247890361109965,2.38918009712314,1.11452023067221,1.3131213911313,-0.14852782131481,-0.138303359621956,-0.0903038173506629,-0.12104402761712,-0.132155483376532,-1.4122838124952,-5.0010234014021,-0.12004247005292,0.196557173049407,-0.127154631790446,0.171258723211335,-0.013686269672696,-0.0176518228962117,-0.0286209428352122,-0.274201379672868,-0.348622166065982,-0.319523555272618,-2.28290445450238,-0.240305235728333,0.936446344531388,1.0911514248266,0.67880410710431,-0.0430568501938273,-0.073523109331174,-0.0258452295747964,-0.865534226582069,-0.940413551146532,-0.919391414824516,-2.13389877143004,0.453678060674663,-0.23262059741906,0.0053500086330986,-0.00592291388258191,0.033374652585561,-0.71017134741474,-0.385022409815701,0.664275455675163,0.246507290992904,0.563186645979926,-0.603851468331019,0.290367619120572,0.232127201357572,0.00972717156002525,0.417640345237385,0.0105981292061513,0.300609141549236,0.575646248057952,0.287248142531721,0.174449238805692,0.164954283418683,0.897270584208438,-0.383405795619385,0.691536930862661,0.00237329360476267,0.332656464417554,-0.247634117760242,-0.136146662522995,0.151783144020886,-0.362180238199692,-0.0883016192140869,-0.0584194193517697,-17185.429257796
-1.74136472418345,-0.220698548785721,1.67471229090047,1.90026552149689,1.51124746083119,-0.224150115443578,-0.104720955927059,0.0468367449187251,-0.365509513025373,-0.460940266806153,-2.05527725138066,-5.63937546773729,-0.249457228927294,2.39021631637306,1.13680693951857,1.33230299129227,-0.148234019351154,-0.140710741276736,-0.0894972594815807,-0.102246691357166,-0.11390593989723,-1.39758214699689,-4.69641337012347,-0.122732127210592,0.185061410632106,-0.108276153350101,0.162622716570032,-0.0144748134309791,-0.0172365441659963,-0.0272394143998594,-0.286937672907816,-0.363005602117877,-0.323093487664952,-2.36914595619791,-0.232962571343045,1.26708949210607,1.01951924827376,0.782550507827324,-0.0683636670658018,-0.0756277275699054,-0.0333967850122883,-0.825141448665402,-0.886538680054358,-1.05562955071993,-2.0297003569513,0.349053751523722,-0.0529938897339032,0.000909099074890688,-0.0952120643562954,-0.0935099098960284,-0.728861919947661,-0.394284927681813,0.66043378152034,0.208583192781425,0.472963669080105,-0.413609441183069,0.12270797996974,0.327911467348104,0.00840231245845842,0.343764093437118,-0.0714487134498461,0.398227703188038,0.602239143350879,0.280531816969037,0.109984494760056,0.0720803080596389,1.18652563826141,-0.537708767656269,0.761250627469081,0.000365230878177859,0.21748364484967,-0.325608750001246,-0.0513662207896043,0.158189451483946,-0.401710915715532,-0.153338905344033,-0.0991258395527521,-17133.4190293693
-2.1842596800545,-0.25369299098829,1.21237982546635,2.41150496375583,1.46849841445728,-0.222479871827994,-0.0866917421590836,0.0695625890234617,-0.492934618519508,-0.672016996028957,-2.22375063549402,-5.82456674261031,-0.249185230752994,2.31928055807902,1.15159723723053,1.31852446473154,-0.145346677716321,-0.140386421579648,-0.0856738501939355,-0.0892074153570321,-0.112302079756422,-1.36359718704981,-4.53028312000838,-0.122691325423619,0.153432096117315,-0.12996307331595,0.151302706920044,-0.0120013727405592,-0.0150334228680493,-0.0283032129826867,-0.305465665325827,-0.37535779907275,-0.318362858026287,-2.43403359769938,-0.233194313644219,1.47035704372982,1.00327138785044,0.901374667684338,-0.078310061926364,-0.0831299403700974,-0.0398797728848573,-0.786462080165742,-0.836637324033105,-1.14862397318072,-1.84712706571997,0.23630609204425,-0.00101593918321388,-0.00270987099412813,-0.113531424930992,-0.162526924270891,-0.814588238249878,-0.599841521313324,0.616651661789124,0.192515431784104,0.500217664021467,-0.297188125587056,0.0515438602110415,0.377415338040449,0.00709046309078405,0.344819714853576,-0.071660351684905,0.391298432795805,0.509614562882003,0.209876830936517,0.0897757314067355,0.0691966880757184,1.31418854821949,-0.606550844236498,0.782155688444109,-0.00282121074504326,0.203881447248432,-0.324400198365674,-0.0855451611230813,0.0293726405393811,-0.470212494716343,-0.1714238272603,-0.0652828172420876,-17098.2303093142
-2.63822348474815,-0.291174376544965,0.758793355482987,2.5819461185725,1.36791941828336,-0.229638679339816,-0.0545108892843664,0.0525709369844248,-0.596619289099476,-0.909695264352074,-2.21063026519194,-5.94479039875623,-0.249519670425116,2.25839719448936,1.16692897779841,1.29968556021462,-0.143585311484158,-0.139228527467229,-0.0841541559077081,-0.0849927622932522,-0.113859877640245,-1.33528477158866,-4.40776144688416,-0.123141369092644,0.133706855814834,-0.137784022987259,0.144614339850056,-0.0100018726268181,-0.0137704586253176,-0.0274683452686103,-0.320631714920089,-0.389002691011226,-0.315192712328831,-2.37054195093041,-0.224482469282617,1.62671332270093,0.988409238770973,0.965746274741257,-0.084078134445035,-0.0862143558682109,-0.0433323468744116,-0.745081040505669,-0.791297167567118,-1.19878719750876,-1.62744687894991,0.164869944770195,-0.00939314168828763,-0.00510653377223143,-0.15885774007328,-0.214813999958693,-0.810963856929276,-0.691770416284565,0.616327079678853,0.167650118788288,0.491732615042217,-0.175704162820142,0.013934659205616,0.416681165441197,0.00618848904886107,0.325624292459618,-0.0865807253984599,0.412991567477355,0.504365681236195,0.167356441011054,0.0676423880083842,0.0262223864969399,1.43781914584758,-0.647430612741944,0.800217859419711,-0.00471884704763812,0.17636572692919,-0.350277221709304,-0.0794407299631539,0.0142183204407478,-0.503330043189172,-0.19333829447964,-0.0817546364892945,-17082.2429171026
-3.30918007475911,-0.363944041706865,-0.206966856384014,2.6639579890881,1.42216175724707,-0.220847108064584,-0.0244235951438565,0.0551644224104759,-0.825890169376286,-1.09849337752751,-2.06942452493714,-6.12278190649421,-0.249238368549006,2.14710769277689,1.20378227970555,1.26313265684757,-0.140254067373512,-0.137795042982803,-0.081273540101698,-0.0775377623075418,-0.11532490654064,-1.28161406675298,-4.13232968822477,-0.124351543808733,0.111877968204679,-0.156209961827706,0.139460952655031,-0.00635070896875709,-0.0109895813076845,-0.0266583505939712,-0.350605623497414,-0.412444926712374,-0.313996787966112,-2.31856089493002,-0.215807799188609,1.93599074340361,0.977697904045958,1.10597293983279,-0.0975746627305732,-0.0925854685083562,-0.0518728322948784,-0.67411398456582,-0.726613097811778,-1.31130575993414,-1.30032609448456,0.0543648355412213,0.0466234796968023,-0.00648702936999127,-0.265221428806931,-0.264611027102404,-0.85116084024241,-0.830576042761445,0.563306556283644,0.116799258690647,0.4875471679406,0.00623770209709748,-0.046770367110076,0.478613173077496,0.00636007161719361,0.295992943405121,-0.105102002444816,0.428370416435873,0.454216431807637,0.0849376805321629,0.0327343440251266,-0.0156005190321522,1.61906851318273,-0.706187185310939,0.824876379404448,-0.00640716290723634,0.136813621433393,-0.373019800303003,-0.0793616929627775,-0.0542666279758392,-0.561064297772288,-0.229405013551214,-0.0904277437903399,-17072.8295938134
