"b_no_choice_a","b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_b","gamma_EV_rangeanxiety_b","gamma_hhincome_b","gamma_ev_charge_b","gamma_evb_environment_agree_b","gamma_evb_function_disagree_b","gamma_veh_range_b","delta_c","gamma_EV_rangeanxiety_c","gamma_hhincome_c","gamma_ev_charge_c","gamma_evb_environment_agree_c","gamma_evb_function_disagree_c","gamma_veh_range_c","gamma_suv_b","gamma_suv_c","logLike"
-4.72982962083601,-0.189148841744791,2.06239843470306,-0.490694099356905,-0.218028378609999,-0.181977563278165,-1.63871240424157,0.280210770221251,-0.149952137308739,1.23768201142671,-0.327120603832484,-0.887103748546438,-0.937042340564501,-0.774137922886442,-3.97222226900761,-0.0950976336760071,-0.260260604031268,-0.140293045309028,-0.205868769080804,-0.17134812803718,-0.380124268732831,0.1,0,0.1,0.1,0,0,0,1.56500229247384,-0.591240227738392,0.0891896415608556,0.317043990680734,0.427545356978706,0.0233764686107421,-0.269000031517613,0,0,-8693.99904603305
-4.75628335056263,-0.197826704398172,1.9929629589664,-0.501305096217469,-0.252579427974513,-0.212725774659926,-1.64929930074375,0.281750028805327,-0.155745158110513,1.21420914407009,-0.34723270568955,-0.800675864464455,-0.845808338572028,-0.791241162246216,-4.11167413565226,-0.103963478093876,-0.12454935601021,-0.167785326237629,-0.192133676690778,-0.196232790436488,-0.402790439757098,-0.0242337307746111,-0.120013417322315,0.0851874133505508,-0.114359681696907,-0.201300392890415,-0.392216836132656,-0.0288685376734436,1.41236263703455,-0.730419255294424,0.0761077444450675,0.171210345564702,0.141827025070454,-0.0387802055953836,-0.322899599251712,9.04760933813859e-05,-0.12892213891384,-8449.44771603562
-4.89850268699172,-0.207266788257546,1.75496398689647,-0.498925192598137,-0.271148358670641,-0.228961147501814,-1.58465176340037,-0.383842911038723,-0.215207711854198,1.05475008030804,-0.414472236233511,-0.694334339640804,-0.723789321775336,-0.81481254971363,-4.27363620209763,-0.124166505140124,0.0111234017362436,-0.185962541440991,-0.216906780908435,-0.233241938690303,-0.454263863792388,-0.015087647867894,-0.084977277752807,0.0307213042822381,-0.394102243724887,-0.724808605620284,-0.781594200568478,0.0103337464933812,1.6266272237265,-0.700738832265958,0.0355432673970504,0.0267048762890209,-0.491096382607558,-0.272451220581437,-0.369340110039684,0.226722758787103,0.0800302256782818,-8296.21729149978
-5.20398954355398,-0.250311884054647,1.6622851229847,-0.534586400416315,-0.267285240796637,-0.204410355335013,-1.55971715663341,-0.730718104360915,-0.234494181460607,0.89986225053072,-0.453125517306301,-0.617415738490974,-0.654511661681336,-0.819391232216779,-4.38052145734804,-0.128327313124856,0.045579517172007,-0.187057722963992,-0.253380977213633,-0.28911792688531,-0.448624018554324,0.0689509481404899,0.0352278521545164,-0.0230449212288757,-0.443260892310238,-1.02932677641015,-0.996151327211163,0.0364839288873025,1.79746951354643,-0.665381379089994,-0.035367207875832,0.0287768636157784,-0.803671652615345,-0.447254255189137,-0.329437495787272,0.402322163395628,0.210200801665266,-8252.78815685556
-5.17960833970782,-0.254311006286399,1.59483451335722,-0.542379563290555,-0.286413582385521,-0.242204909178656,-1.47669745900263,-0.829226150445299,-0.244889478034495,0.842958671654966,-0.453609840488049,-0.629348450350066,-0.64005752178033,-0.828112169200611,-4.33970245968472,-0.117630220425822,0.00197751916235367,-0.167898450066068,-0.252052507727537,-0.285748237994394,-0.444034125419809,-0.0403520293715625,0.094052330350843,-0.0213011213427634,-0.44281087478654,-1.04791510753174,-0.970999050762908,0.0551691554214032,1.75675341630131,-0.692346470891016,-0.0351473119423538,0.0304844564317266,-0.853940086023509,-0.373097590481265,-0.324230495764119,0.377414462982877,0.132823450018849,-8240.85757196866
-5.13085156150705,-0.257053716258199,1.39815219814842,-0.559916624271256,-0.354244366752886,-0.325432265345436,-1.26951628600568,-0.950062243898646,-0.263014103041819,0.725723645783154,-0.442981637954162,-0.655758763791934,-0.60273233276862,-0.844009796260085,-4.10994297182144,-0.0917684071501237,-0.0806343656120402,-0.109844094236088,-0.211196187554771,-0.261439678320181,-0.435684808263612,-0.340415182562966,0.199150243519044,-0.0168344859444001,-0.451197881909053,-1.04958473681157,-0.90408228968987,0.10256962886364,1.63971938136178,-0.786062741346519,-0.0378295662269429,-0.00624444445218697,-0.86126055242236,-0.214914271466691,-0.299131320600438,0.298119736061723,-0.0773687307511607,-8226.85374915327
-5.13089217643105,-0.24814188595184,1.36193946864249,-0.557259967936331,-0.362859091686216,-0.327525234581106,-1.26206210703247,-0.935824682077159,-0.266327663482201,0.729320111832603,-0.436426115513534,-0.659196062706037,-0.610306796064883,-0.852030780078322,-3.99729155611086,-0.092088352031308,-0.0717910499826064,-0.0931039029587132,-0.181801365749888,-0.235812979497473,-0.438858261664347,-0.411820498048446,0.209031834188259,-0.016386503722468,-0.45026017021911,-1.02441557457252,-0.891962585082978,0.110436038111275,1.5128218431143,-0.762167289636445,-0.0372334338702848,0.0107927145355632,-0.792211350964143,-0.208027059982978,-0.286155444780583,0.292282126003111,-0.101906435327223,-8223.78514411079
-5.17403053597531,-0.225131086240755,1.24263385750286,-0.55183682393314,-0.388974476134087,-0.344866920803518,-1.24119318773235,-0.868421973540121,-0.272167058492207,0.740596683529911,-0.41891320194994,-0.657287436711041,-0.619270510551482,-0.870191128217752,-3.62968838010796,-0.0970678760060583,-0.0179255884455158,-0.0447634370816129,-0.0951684724703624,-0.152094021945048,-0.447252091613037,-0.624403047779015,0.25468652651984,-0.0160024417576558,-0.445212857154107,-0.972528428815768,-0.877489340268433,0.133202810395156,1.19769832742035,-0.711706312232577,-0.0384710454133559,0.068241712088,-0.620565886529579,-0.19612852420194,-0.25139725123728,0.25199600743756,-0.191338531222983,-8219.21622205236
-5.19205617983589,-0.224203786462509,1.2207884873778,-0.549697887704372,-0.387769549355136,-0.347772063048958,-1.23800684361225,-0.844084609419676,-0.270806184984568,0.754026364180121,-0.418358777912918,-0.655134517374526,-0.622854186541503,-0.870478537193032,-3.55972275341397,-0.10079944961437,0.0108235395138771,-0.0408274513759238,-0.0842570988158631,-0.135754601846778,-0.44675103351674,-0.633743672223056,0.254544799478354,-0.0160321927531001,-0.435246517741362,-0.977530833152886,-0.871120823382933,0.132297501002574,1.17747962659875,-0.708763584346545,-0.0386877829426743,0.0905723052339572,-0.61961472285895,-0.196279539060903,-0.251534643480932,0.240869536690491,-0.204024617905074,-8218.52387483058
-5.252172881494,-0.226155148224736,1.19385085064237,-0.551939535457506,-0.390699432598345,-0.357452800050178,-1.23702732151239,-0.822145631119294,-0.269348086204732,0.767454892977116,-0.42024839437591,-0.647983643500402,-0.621143249199424,-0.865325378557573,-3.45964794529712,-0.107011004022961,0.0653461328675014,-0.0389195650118235,-0.0739529524316649,-0.11746730058362,-0.444652360369524,-0.627321275473833,0.250889913320738,-0.016587645621212,-0.423563946962778,-0.986960071470888,-0.866868601259702,0.131404457741245,1.18705803698238,-0.716316246835769,-0.0395905827654582,0.123263232279236,-0.62797886415405,-0.184806374068705,-0.252690641372184,0.216316558112752,-0.226456029958269,-8217.86886870694
-5.28155981120328,-0.227995142769976,1.19137369156352,-0.555489162764189,-0.393404410704207,-0.361539538456344,-1.23791498562448,-0.824273054491652,-0.268723896196079,0.766737030568775,-0.421522534627451,-0.647125122812319,-0.619146741804543,-0.861070011991249,-3.44595090277442,-0.107700455485449,0.079817897486879,-0.0409148808710241,-0.0764426329760794,-0.118040788589987,-0.443867730570669,-0.617081206340425,0.246677075771836,-0.0164635077600129,-0.418729322403954,-0.987748627467142,-0.865468363777636,0.130995253562704,1.19491577231487,-0.718623995362771,-0.0394719775788184,0.134341806106953,-0.634951964046068,-0.173595778810762,-0.25227711088449,0.208289687446094,-0.233204183490568,-8217.74681817615
-5.31021056728424,-0.229751490944748,1.19078676633929,-0.559557440960355,-0.396231941138379,-0.364622313036527,-1.23823986973165,-0.833938926779855,-0.268398370554799,0.761967710863565,-0.422384001206636,-0.647657673820878,-0.617809675826837,-0.856460927858726,-3.44120915831159,-0.107132379416978,0.0882388055552952,-0.0426295618238704,-0.0798500950920681,-0.121199627914609,-0.443486505922996,-0.606743027624104,0.242445992188345,-0.0162713641541571,-0.416144522979883,-0.984227844780501,-0.864295175989912,0.131156787623422,1.2009954260198,-0.720915790197624,-0.0392367717101476,0.141700945863507,-0.639294168189175,-0.162375544714542,-0.251432295147904,0.201212678433591,-0.240527403625031,-8217.68558297201
-5.31809413136553,-0.230141637903103,1.19163445179622,-0.560788399802793,-0.396371868713229,-0.364461587956852,-1.23806576408017,-0.839199501876177,-0.267918329809945,0.759069010475683,-0.422238647990275,-0.648809158926331,-0.618417288930759,-0.854855642857515,-3.4461360486088,-0.106331855996701,0.0875882393570138,-0.0431808627284992,-0.0815440703929548,-0.123568176440593,-0.443676914070759,-0.601343742322489,0.239597785789224,-0.0161509543618594,-0.416054269551649,-0.981248478735948,-0.86392165151918,0.131140051229987,1.20323224142731,-0.721032266238996,-0.0391178037745548,0.141436953580803,-0.639746645439825,-0.160800004067167,-0.251348787195086,0.20057683358678,-0.241491553338003,-8217.6720618067
-5.32224384414856,-0.230187082711222,1.19184077551422,-0.561343270807452,-0.395982344064728,-0.363732172941637,-1.23741644699752,-0.8445259170752,-0.267504609069706,0.756398994525405,-0.4217668938084,-0.65003472295672,-0.619485710744083,-0.854205349942262,-3.45035854453861,-0.105663948569625,0.0856771417129452,-0.0429793609116337,-0.0823210196411633,-0.124937724140049,-0.444285149300951,-0.597976806423259,0.237379668940236,-0.0160900754252068,-0.41677107389909,-0.977983490810257,-0.863403239388072,0.131295073926396,1.2031933463161,-0.720960037199772,-0.0391158979118119,0.140400963869337,-0.638924697333209,-0.161217329594636,-0.251158564201441,0.199987109722115,-0.241956928806616,-8217.66581712511
-5.32254806959256,-0.230075167319448,1.19197778387739,-0.56128409189522,-0.395415214498752,-0.363058462117479,-1.23702384967571,-0.846306410138091,-0.26710801290995,0.755600591832361,-0.421361579873611,-0.650671044226403,-0.620226461912611,-0.854407318982131,-3.45296858835751,-0.105473153980838,0.0843730562817613,-0.0427833792565645,-0.0824308966063745,-0.125345008392776,-0.444811800138866,-0.595957281539189,0.23603295803939,-0.0160866594982241,-0.417314837311384,-0.976666517652431,-0.863286893384951,0.131248409961201,1.2037522779387,-0.720925676781589,-0.039180727065158,0.138877263368699,-0.638107182033556,-0.163006662499053,-0.251178329815808,0.200197464178625,-0.241065266523198,-8217.66391944163
-5.32249489776062,-0.229963090759306,1.19181772083426,-0.561161880695266,-0.39504240134086,-0.36266825957392,-1.23661892683522,-0.84748624673218,-0.266846034032031,0.755345873123638,-0.421024940840411,-0.6510111585753,-0.620714365914341,-0.85496733654932,-3.45352505298902,-0.105505692413606,0.0838148272761641,-0.0424734839645399,-0.0822336870097671,-0.125176533100676,-0.445420189526863,-0.595026312844242,0.235408829943441,-0.0161119229817815,-0.417793425581684,-0.975875061501202,-0.863107345468063,0.131260495281986,1.2037056470836,-0.72083664786769,-0.0392724680701936,0.137986350143273,-0.637326272907516,-0.164418763640729,-0.251067345919784,0.199936933363416,-0.240624392149808,-8217.66305795006
-5.32233146790761,-0.22992445184037,1.19185234573549,-0.561099628459457,-0.394896221247128,-0.36254770477086,-1.23646468273809,-0.847590932757158,-0.266683060700258,0.755605756052904,-0.420884550657167,-0.651055283252319,-0.620841215561461,-0.855470331801645,-3.45340275049467,-0.105620965288738,0.0838522358560949,-0.0423977220897066,-0.0820915641559842,-0.125009187463517,-0.445820226838263,-0.594432165353601,0.235203438745265,-0.016136344300333,-0.417968871572421,-0.975788438189129,-0.863068698395119,0.131214989881495,1.20420707450627,-0.720738813405345,-0.0393301115956437,0.137337619987371,-0.636917719746373,-0.165290001575896,-0.25101441340939,0.199851490162704,-0.240236740768589,-8217.66275287046
-5.32245235463366,-0.229928236422754,1.19189812462979,-0.56112266794234,-0.394906269590467,-0.362580348828357,-1.23635651953073,-0.847590046122988,-0.266606835882167,0.755951018261558,-0.420837334288247,-0.650978066351284,-0.620798946613024,-0.855925149081808,-3.45269028840869,-0.105747020803339,0.0841585368178229,-0.0423655294740873,-0.0819795902519986,-0.124823003472872,-0.4461807224507,-0.594205726057609,0.235290607492565,-0.0161601436114502,-0.418050438880035,-0.975827309868969,-0.863017497778403,0.131207373148372,1.20453163854495,-0.720563173930126,-0.039370361277177,0.13702424631483,-0.636624883651396,-0.165644989472218,-0.250909252806413,0.199625909034555,-0.240220647523867,-8217.66259982419
