"b_no_choice_a","b_mileage_a","b_range_pw1_a","b_range_pw2_a","b_loss_pw1_a","b_loss_pw2_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_pw1_b","b_range_pw2_b","b_loss_pw1_b","b_loss_pw2_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_pw1_c","b_range_pw2_c","b_loss_pw1_c","b_loss_pw2_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_a","gamma_EV_rangeanxiety_a","gamma_risktaker_a","gamma_hhincome_a","gamma_ev_charge_a","gamma_evb_environment_agree_a","gamma_evb_function_disagree_a","gamma_hhveh_fuel_a","gamma_veh_range_a","delta_c","gamma_EV_rangeanxiety_c","gamma_risktaker_c","gamma_hhincome_c","gamma_ev_charge_c","gamma_evb_environment_agree_c","gamma_evb_function_disagree_c","gamma_hhveh_fuel_c","gamma_veh_range_c","gamma_suv_a","gamma_suv_c","logLike"
0.0829612086992711,0.0874150826595724,-0.0427720930427313,0.0660895252134651,0.0283491037786007,0.00381918982602656,0.0473176629282534,-0.0730666805524379,0.0313984580803663,0.0410129568073899,-0.00845164475031197,0.0438224503304809,0.0869344494305551,-0.0489142351318151,-0.00754143549129367,0.0880029045511037,0.0956452856771648,-0.0765025276690722,-0.00500058368779719,0.0120665492489934,0.0808062774594873,-0.0722579664550722,0.0977783457841724,0.089333646511659,-0.0835124883800745,0.00284235686995089,-0.0219593065790832,0.0811476261820644,-0.010606074379757,0.0672008519992232,0.0475191235542297,0.0622110282536596,-0.022378343436867,0.0370339458808303,-0.0992103322409093,0.0665832160506398,-0.0985331706237048,-0.0584682054352015,0.0813202815596014,0.0223557286895812,-0.0240881518926471,-0.0128456830047071,-0.0925137934274972,0.0947079827543348,-0.0136497502215207,0.0915153193287551,0.0775509811006486,-11235.9767077699
-0.0602510076642913,0.0905061263589296,0.0367494825115088,0.107008503732409,0.0233309954303178,-0.00309679433245038,0.0559226164393028,-0.0735572021886819,0.0283070820643898,0.0439657279252419,-0.011043790365781,0.0456116839603343,0.100465761098548,-0.0505019175043432,-0.0190534996350009,0.0629231972363424,0.0745861575996968,-0.0813111309626201,-1.53309294879395,-0.0199274752937715,0.51122800305377,0.0678763385842698,0.0650867288471372,0.0396900564003675,-0.151677370168775,0.0196389087229352,-0.133955301725474,0.066609562048152,-0.0257547105228763,0.0982350969019462,0.0448822515356541,0.0588713309918408,-0.0204526946485849,0.0629551526195913,-0.125989971848842,0.0598178314242392,-0.40441738329359,-0.377916823425152,-0.156848779595524,-0.00553229990871914,-0.238835105601718,-0.267894834918107,-0.348044421887714,-0.158710565382215,-0.116228118359826,0.0535274175499027,-0.190547616122645,-10660.577051618
-0.285044494543413,0.0962976123069766,0.159903631846579,0.185359183015194,0.0154560987707871,-0.0143615113777604,0.0694384931265686,-0.0702992025567043,0.0263980115290024,0.0480465899977042,-0.0142783823153972,0.0471891463021251,0.120666498081532,-0.0525697887352657,-0.0351276624559687,0.0312002902397856,0.0448853018449114,-0.0876443220117595,-2.33601599716255,-0.0979462826271666,0.79726878848073,0.173023755754253,0.0190002600143938,0.000976022204543993,-0.238518318474276,-0.00338555130956159,-0.430398786116859,-0.00334627404954876,-0.0979128802643369,0.105684301364196,0.0377828333545784,0.0270788345729211,-0.0569654383951552,0.0908162173140752,-0.199492541406611,0.0358762704608749,-0.429926506855107,-0.435840012399652,-0.175344180336564,-0.00931574736608761,-0.163238940376382,-0.245441614269987,-0.271582311615739,-0.165552860677648,-0.132667647839154,-0.0340982042635392,-0.249943365025387,-10136.9906335653
-1.92690961851444,-0.00321975119736796,0.42670213989439,0.257310821140372,-0.00862855647532113,-0.026426253589011,0.00645349934007221,-0.132246910506417,-0.15795559112004,-0.30583027123242,-0.0709401010554371,0.3567166644778,0.29217935574156,-0.0667883513195028,-0.0582512577718871,-0.190273858431482,-0.142544453417993,-0.285403183574975,-0.772582818698738,-0.0859708170257771,0.824924523670104,0.00553723654058078,0.0304283817670005,0.01430716305825,-0.326781088977037,0.0541314579105996,-0.640187420148393,0.210364978611889,-0.155941005063721,0.304630866106732,0.0242587353976399,0.224023185633189,-0.169610694577168,0.306719615409877,-0.222444446273833,-0.0703905142320886,0.50487686393939,-0.499080964552374,-0.471681720087036,-0.0419636366327727,-0.237186177706703,-0.336500100442681,-0.604270785929513,0.219169826460997,-0.103983777996478,-0.263595422527619,-0.312420449890039,-9428.07932431524
-2.55642242162569,-0.0201901716012194,0.527490590883307,0.284161548043209,-0.0245091247919857,-0.040773432875199,-0.00488006949068695,-0.14124391103359,-0.215701527468699,-1.02087649290245,-0.163988815829054,0.767617307601445,0.513341845171348,-0.0946982831311797,-0.0744291599359499,-0.452815014710164,-0.316426386174992,-0.59125236451887,-3.95072582310655,-0.277654461025645,0.975444462307676,0.696785933854195,-0.010190705746144,0.0225565856076535,-0.536316334090826,-0.474066310493385,-1.27548528263528,0.530290282855283,-0.151434572318308,0.48748843146297,0.0182804964499002,0.438438724038539,-0.15860886394736,0.578483871925167,-0.254844117266604,-0.125731780366709,0.909583463859898,-0.42034753782841,-0.156383562661565,-0.0380862771944513,-0.662996378374704,0.332980579329567,0.519716020789528,-0.554982310171582,-0.224741411664733,-0.21690993546716,-1.09930221891776,-8859.89489414855
-4.50114516072839,-0.186167461763,0.915188772199608,0.525177192086282,-0.079417264758333,-0.0446769764164368,-0.237192585052896,-0.280172502681387,-0.65521351944536,-1.46534724379499,-0.240767441779712,1.53737437252656,0.858955773899626,-0.130438987117973,-0.0927608730184878,-0.812115794206022,-0.790559488657154,-1.06565359418937,-6.1690716272746,-0.40356330263767,1.57504444540168,0.942542793346402,-0.0273685598915137,0.0026286969518957,-0.538792162233037,-0.495513250135365,-2.74453806578081,1.72590191056793,-0.22373914943784,0.937011688557055,-0.0273175873306999,0.667089511663602,0.101280058956755,1.29755566642421,-0.495727787917658,-0.335670132107518,-0.543148843269199,-0.126189568605372,-0.693155517862915,-0.0165907339793945,-1.12100116047468,0.848623923312568,-0.556931249366468,-0.147440168441323,0.0536490898069833,-0.291620639352497,-1.33337860326716,-8406.78687877296
-4.58932750739128,-0.171766150230357,0.91600329405517,0.525923781687319,-0.0844728140895018,-0.0501097729819335,-0.267235800785964,-0.266234561763004,-0.645969776518083,-1.41770248206298,-0.249975191070063,1.50380224805063,0.851185351987166,-0.132845438563685,-0.0855833410890348,-0.800443621551675,-0.818400811978212,-1.07573291640156,-6.25759119766617,-0.373229908439718,1.64795518214399,1.27985293554527,-0.0366645227825894,-0.0200073565861926,-0.496979553106966,-0.422272342923983,-2.74390822983973,1.78314855176894,-0.165447349373042,0.874950482468448,-0.018302663129244,0.673718885507854,0.239343649405831,1.25107288384539,-0.389452265276943,-0.325811751803013,-0.507575693789443,-0.0102818279993061,-0.604258635377324,-0.0137986634031216,-0.995997297639765,1.14776466328252,-0.556064030999752,-0.152160207662726,0.0687145734746323,-0.129941589016905,-1.15888496311108,-8345.58527177333
-4.70960930055554,-0.182022522392252,1.00356837648718,0.58918622430957,-0.0953768938204621,-0.0589883903279054,-0.306360187113492,-0.273416945786718,-0.696088199926243,-1.35537315112695,-0.2615829462062,1.44840732463117,0.801229589761535,-0.136753461068277,-0.0674749302114032,-0.788287660867433,-0.795012962569896,-1.0853759129663,-6.1745092332523,-0.345714351973142,1.6680202863708,1.26453170133736,-0.0395174685803044,-0.0118201882617255,-0.606583872702919,-0.453286156811314,-2.74551733824379,1.81350250648441,-0.154793443000054,0.770057304857332,-0.0143252911599482,0.527162276032887,0.414780341475569,1.20892052006689,-0.330979980321124,-0.321158532836727,-0.495976260938949,0.0357962626026804,-0.457617171369407,-0.0260599103070666,-0.622214317431867,1.19229744098841,-0.714186496794482,-0.0570062558810706,0.0715077784346674,-0.0108821972280274,-0.791692226984182,-8317.98357512838
-4.6186697210491,-0.151948769464943,0.88187399585414,0.5459770267676,-0.0956487926017046,-0.0583049791553692,-0.310293987662292,-0.25211086735379,-0.642686827761658,-1.25681800108238,-0.274219609505668,1.36212755802851,0.76088888598633,-0.133612864330529,-0.0380299356280168,-0.762286656907537,-0.779393261619771,-1.05923107258795,-6.20885880699748,-0.302270834860833,1.74729740765647,1.47525880470154,-0.0458336767163945,-0.0237687683465181,-0.574521536148879,-0.436864034487182,-2.72354279112829,1.80057628226259,-0.158767977829445,0.587565554406846,-0.003556037776328,0.414878634016815,0.500155631379912,1.06304444300045,-0.293396608721384,-0.316610892234734,-0.466263124188997,0.144075116746451,-0.439184604686333,-0.0331465761068103,-0.349514007376387,1.46523563024412,-0.598921074211335,-0.159110720194696,0.0750688749826349,0.0987931066926029,-0.540023313887003,-8293.50264335002
-4.62559729389425,-0.146524341096589,0.777402727380578,0.524974730754822,-0.0967205275355411,-0.056752495256797,-0.315800420629491,-0.269644335757879,-0.59837826493384,-1.11418137600377,-0.271983672739967,1.2063359640582,0.677725506654015,-0.127575370173243,-0.0253996452709894,-0.682390313051942,-0.658412665847607,-0.975900322534571,-6.10915176092057,-0.266488821540823,1.83959204627068,1.51428869568363,-0.0534018118620919,-0.0280212031982935,-0.456484879288069,-0.344795044965139,-2.72395091213449,1.73112222248075,-0.235810986790151,0.540599412630581,0.00135276756598635,0.374385652790465,0.587066935978126,0.989865018051467,-0.287618212175455,-0.331844043989264,-0.400780747402475,0.17949955760849,-0.43278974089441,-0.0380741495767918,-0.0926691796503352,1.58108522712192,-0.381619004990513,-0.221105669840963,0.0487380491060746,0.177110234620194,-0.394009479175119,-8269.42296782622
