"b_no_choice_a","b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_a","gamma_EV_rangeanxiety_a","gamma_risktaker_a","gamma_hhincome_a","gamma_ev_charge_a","gamma_evb_environment_agree_a","gamma_evb_function_disagree_a","gamma_hhveh_fuel_a","gamma_veh_range_a","delta_c","gamma_EV_rangeanxiety_c","gamma_risktaker_c","gamma_hhincome_c","gamma_ev_charge_c","gamma_evb_environment_agree_c","gamma_evb_function_disagree_c","gamma_hhveh_fuel_c","gamma_veh_range_c","logLike"
-3.09915751686253,-0.219787671532771,1.01986943596621,-0.0586847832609741,-0.563352171065048,-0.580685643147546,-1.18241175479633,-0.382792335808632,-0.550963845313816,1.03297832824163,-0.0939905892545702,-0.91621783965834,-1.13172099042321,-0.857432791102326,-5.60681446939723,-0.159215215404915,0.709469779397597,-0.0465067294555459,-0.196794291525173,-0.197242679937287,-0.782470415565991,2.20823310538803,-0.986291550976348,0.155192106400436,0.00470370430121451,0.0452527262815005,1.21285805170076,0.827365032601149,-0.851925624055231,-0.192062642956216,2.82867268736328,-0.96378894872534,0.630623938199248,0.00648627323576361,0.564226986092796,1.15143644705216,1.24367384628728,-0.721115489634831,-0.315468149680138,-4268.41482261766
-3.11812781699178,-0.235209209352141,1.00653142392196,-0.0618837492451815,-0.529921747951028,-0.56092622956353,-1.19500135750867,-0.439129963678601,-0.559114035986643,1.02133698443972,-0.0981440302854194,-0.981417665109341,-1.11986361910487,-0.866284470390663,-5.59044331931155,-0.182402769806246,0.68729785356754,-0.0486633897457942,-0.23864711715192,-0.214949291020491,-0.741662119533585,2.22357637606015,-0.942659225195334,-0.0712366398100159,0.00152814373879583,-0.0643697148709548,1.08341927690256,1.02209188871294,-0.878241917641948,-0.203447214375413,2.81171967137183,-1.00733408086755,0.576613362033125,0.00064562250741616,0.578201604587868,1.11061090290607,1.32344435986947,-0.693485309249779,-0.317407970265656,-4257.90583543259
-3.20378584273351,-0.251901374785092,0.98935282900293,-0.064071832674242,-0.505105839006852,-0.541685950045629,-1.20795059291755,-0.657961766403629,-0.587209266762895,0.991786341904265,-0.105422561071402,-1.01006295883448,-1.20002330707985,-0.885468556565072,-5.56058555712117,-0.190261665268913,0.675262067255868,-0.0500679633542566,-0.263200958128724,-0.232189811207884,-0.720032808300171,2.27332987241624,-0.870585689223731,-0.24629348617436,-0.00240188028414522,-0.0928008840716378,0.954339921991003,1.31345537609222,-0.866262755280935,-0.208048032978169,2.84580049090391,-1.00831553172193,0.48131103898624,-0.00252144821249905,0.565778558500188,1.02093348232107,1.53554581258838,-0.624582308860358,-0.319171772275359,-4254.44943261987
-3.30284304979371,-0.267559745324605,0.965537544751987,-0.0655347066145663,-0.479517594931652,-0.519368752173228,-1.2221575812326,-1.11415805962068,-0.622665052230441,0.924487550771806,-0.1162506463543,-1.0353739998743,-1.36797380842066,-0.933856460412994,-5.52986750402771,-0.19232438532394,0.667910567518242,-0.0512217938579981,-0.282135584612925,-0.245195754402658,-0.710318075357884,2.27677322962309,-0.805533201728555,-0.365355344842797,-0.00286596322748809,-0.0598804060269513,0.86575255474844,1.50779823975269,-0.849939416144407,-0.217531016140832,2.91186410492737,-0.995994871962686,0.419766569786152,-0.00108669050698424,0.578096234381008,0.957042887931658,1.6815807531647,-0.592607269121215,-0.341239922077379,-4253.04375340312
-3.40617855325724,-0.276900822836745,0.94643994986002,-0.0661772825539549,-0.472406843181385,-0.512496750934914,-1.23506615665639,-1.73203781053419,-0.656728671710119,0.855230184726503,-0.12606769077841,-1.16629330006262,-1.56468490922358,-1.01082984984523,-5.50677837659515,-0.191082883733234,0.669451846293724,-0.0515160647458756,-0.285624626314226,-0.250095849796401,-0.712845677570707,2.29931428789893,-0.756510843832507,-0.382249537100282,-0.000684780980147225,-0.0402533771284968,0.823999259159336,1.62516265052779,-0.857254963263585,-0.236321199283624,3.00395723389682,-0.98021073231431,0.399338080739409,0.000269178927087988,0.579744322583148,0.92620343529926,1.77683326223573,-0.60229485658962,-0.365240186013341,-4252.53370490604
-3.49579663262848,-0.282720217437455,0.925640234970759,-0.0664524073069631,-0.464701410675506,-0.507615009156952,-1.24644819834126,-2.43385127256966,-0.678336846444144,0.789240870164744,-0.137730900942452,-1.32468032577295,-1.70922397415957,-1.12342612766015,-5.49279747553945,-0.190587600784983,0.672064198932733,-0.0516684240150974,-0.287283913072163,-0.251414032384354,-0.716490221070906,2.30133360263476,-0.710952261612478,-0.403650122478032,0.00247930701183121,-0.023398886980822,0.807002263477706,1.66259833218289,-0.846972868776426,-0.256939771824535,3.07185060877174,-0.961308581458627,0.38208749594979,0.00220825631905267,0.584614644976862,0.913656510649442,1.81212655271857,-0.604665311683838,-0.390879143352242,-4252.33228455349
-3.51277577278599,-0.283202855097605,0.923603358474731,-0.0663974472352411,-0.465578036862417,-0.509296433122737,-1.24941651871181,-2.61251022355453,-0.679402902662679,0.761934053990846,-0.139389794721613,-1.33546520910386,-1.702067525312,-1.15675327748783,-5.49130026189854,-0.19043597092169,0.673237441715309,-0.0516113024813612,-0.286090124644094,-0.250414759792921,-0.717409657092222,2.27680058233185,-0.71449007537993,-0.394659034311651,0.00336554147733244,-0.0255168075541709,0.807167067326163,1.66718677132955,-0.81743948001714,-0.259696307611754,3.0447441569641,-0.959961766452028,0.38647462186348,0.0027704381559422,0.584637554196698,0.915883996580596,1.81343176897313,-0.582521916775698,-0.391668079863623,-4252.30616621896
-3.51878905721435,-0.282389772257335,0.921700580248835,-0.0662808835781862,-0.465183019967068,-0.509382686569656,-1.2506675278265,-2.70672157003928,-0.673685792481203,0.748801442931395,-0.139993805746905,-1.35062955136609,-1.6545630109077,-1.18532740486513,-5.49288188483868,-0.190552112439075,0.673943199643019,-0.0515762196820749,-0.28544667913145,-0.249571314733423,-0.717398670875194,2.24717787138537,-0.714095183106704,-0.394269723867609,0.00366083221295181,-0.028421678275096,0.810369806639532,1.67288551284613,-0.791707953311812,-0.259058568238862,3.01283317635341,-0.957071481651333,0.387907162818941,0.0028688472585449,0.58442307688106,0.919762296052488,1.81896970267792,-0.560829972652137,-0.390557500946957,-4252.29387090422
-3.51341037333573,-0.281498347164857,0.923059412626037,-0.06620380131647,-0.465548600320814,-0.510055461296311,-1.25042711589721,-2.71625403282493,-0.673934705414501,0.734674808126242,-0.138877611851718,-1.33564031801175,-1.63990076008844,-1.18051794852069,-5.4957223289461,-0.190636725941124,0.673864809652047,-0.0515489542968844,-0.285077325949249,-0.249052632083706,-0.71701293684701,2.24411260508982,-0.725271091097235,-0.388969093065949,0.00342886400584155,-0.0296199341248896,0.815775181849988,1.66703317494794,-0.786583347432428,-0.256803707123346,3.00350096261516,-0.964194252517331,0.392874752043577,0.0027466775383298,0.585686661325673,0.924068536776181,1.81497273010584,-0.557120950075497,-0.388038294642338,-4252.29222102733
-3.5144040864091,-0.281632936251955,0.92338864092413,-0.0662228486946451,-0.465203147944046,-0.510021368685737,-1.25074003993093,-2.69631390487338,-0.672258491653607,0.738648324440819,-0.138768182289987,-1.34029648101088,-1.6310759040225,-1.17918938094202,-5.49595820009442,-0.190635785851817,0.673632661741822,-0.0515581117474875,-0.285256207988586,-0.249211367506135,-0.716626412380788,2.23932749842191,-0.723815863630818,-0.389896316937518,0.003261144629051,-0.0302346842109084,0.816258776962712,1.66977526383011,-0.783377691959377,-0.256153927559349,2.99699182740921,-0.962143982310299,0.392097305099784,0.00269899639850854,0.58526210208384,0.924578008161283,1.81693006869081,-0.553589155090877,-0.38752053856256,-4252.29161706296
