"b_no_choice","b_mileage","b_range_pw1","b_range_pw2","b_range_pw3","b_loss_pw1","b_loss_pw2","b_loss_pw3","b_packreplace","b_cellreplace","b_price","logLike"
0,0,0,0,0,0,0,0,0,0,0,-11420.2929469072
-0.0131696235009608,-0.00128350601771869,0.0203824070392657,0.0698959029100789,0.0663922734627237,-0.00252516547044629,-0.00873124466910522,-0.0150104639792248,-0.00267418307937025,-0.00639506212344041,-0.00855045791536108,-11152.3625110591
-0.159421877041707,-0.0111806451025128,0.18550021627476,0.345572353011201,0.294492323070635,-0.00904462858289862,-0.04121099443111,-0.057116739997417,-0.0322340576260174,-0.0475548043980942,-0.0890452982001802,-10526.6660034461
-0.682607425236128,-0.0526631184983204,0.621374879856561,0.507696849798577,0.503668400842687,-0.0170363696073916,-0.07119687374406,-0.0493363722398841,-0.127652327713455,-0.13465422066433,-0.344710986953461,-10105.9572137359
-1.71680364071538,-0.128539470157772,1.02959838842189,0.445749009456091,0.637513995633439,-0.0516348187271808,-0.0763933445172185,-0.0376900926004894,-0.234238284372524,-0.233227687281533,-0.641889170541923,-9899.44223121492
-2.45047217685318,-0.160565734179262,0.996619784221866,0.47796824868735,0.651760344582751,-0.0820787098239425,-0.0669292176382201,-0.0423038230409998,-0.269265934723517,-0.27114557466981,-0.740753101564845,-9877.21079021814
-2.46408602789409,-0.159763286503967,1.00048499267325,0.497038296257097,0.647915802829729,-0.0812930951951839,-0.0675897100188363,-0.0423357483158162,-0.266234738285611,-0.267744618481587,-0.750135847487319,-9877.0144702276
-2.46394849769081,-0.159727069829133,1.00010582519253,0.497113521909012,0.647744379461542,-0.0813156202512506,-0.0675199980298769,-0.0423863900349603,-0.265858941556501,-0.26754719708177,-0.750176617616438,-9877.0141858547
-2.46390805150027,-0.159720562059654,1.00010701547697,0.497119175467812,0.647722561494019,-0.0813157334108814,-0.0675187082064815,-0.0423877036045779,-0.265851004841688,-0.267533492447567,-0.750175222900777,-9877.01418550702
