"b_no_choice_a","b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","b_range_year0_quadratic_a","b_range_year0_quadratic_b","b_range_year0_quadratic_c","b_degradation_quadratic_a","b_degradation_quadratic_b","b_degradation_quadratic_c","delta_a","gamma_EV_rangeanxiety_a","gamma_risktaker_a","gamma_hhincome_a","gamma_ev_charge_a","gamma_evb_environment_agree_a","gamma_evb_function_disagree_a","gamma_hhveh_fuel_a","gamma_veh_range_a","delta_c","gamma_EV_rangeanxiety_c","gamma_risktaker_c","gamma_hhincome_c","gamma_ev_charge_c","gamma_evb_environment_agree_c","gamma_evb_function_disagree_c","gamma_hhveh_fuel_c","gamma_veh_range_c","gamma_suv_a","gamma_suv_c","logLike"
-3.02140184931594,-0.218893483897129,1.01977733988012,-0.0833293213080395,-0.564139487564512,-0.580876623821212,-1.1799182961477,-0.310468397955108,-0.552391082612784,1.02320904040658,-0.137200967422019,-0.915082576694538,-1.12616023634587,-0.84268600891202,-5.53853929665211,-0.158946411644145,0.709423882270724,-0.0654983034333362,-0.196643535290898,-0.1966864251978,-0.780941849618699,0,0,0,0,0,0,2.20673020474322,-0.988013349897038,0.156873988339563,0.0046815145165186,0.0427695494245378,1.21572900034843,0.825942111520215,-0.851814536473309,-0.191259595248121,2.82811117510716,-0.964827524552594,0.631679307839954,0.0064090184690524,0.563160298088829,1.15213752332989,1.24281846727172,-0.72089167278036,-0.315083249793087,-0.137090332617936,-0.177185023443394,-8229.90680755556
-3.05702804179307,-0.211648898895154,1.02221529873496,-0.0810484517846848,-0.562311104535803,-0.567740142781137,-1.17200940743945,-0.341414408211634,-0.549314152964041,1.03203346894822,-0.133146832874054,-0.91575769419468,-1.13235951245699,-0.831517692204155,-5.54922040188617,-0.162048740449662,0.707693795908232,-0.0640869683740568,-0.199200648866588,-0.202365816667174,-0.787689323206786,-0.00403405843922883,0.00121782631949626,-0.00292156128355884,6.36811886513007e-05,0.000294990381026969,3.05794853884187e-05,2.18527375322675,-1.00757546513952,0.122156184641345,0.00443918912045556,0.0518438200029609,1.1686915746869,0.806858627944286,-0.861944831944659,-0.197284568198858,2.84771751694116,-0.944795121146242,0.655296564935794,0.00750569055614222,0.562144439470489,1.18277577945253,1.25977246218638,-0.709470788770216,-0.310214386770293,-0.119872267581472,-0.180635384128311,-8197.90674041425
-3.10285382417697,-0.200894056713568,1.0555995722464,-0.0809614863752363,-0.55867378936036,-0.57193799559498,-1.15857632382252,-0.486073177186665,-0.561530671380281,1.04468517251703,-0.135531689605287,-0.915049130310055,-1.17919914676362,-0.814988195525861,-5.64204806989255,-0.166707813166464,0.753872814479793,-0.0636145212652996,-0.201908970537885,-0.206350064928485,-0.798968324076331,-0.0290004681815684,-0.0171274270428187,-0.019571442364654,0.0001820894588651,0.000783724042321132,9.74012551478931e-05,2.16158634120185,-1.01478639443271,0.123252793716398,0.00573075652462892,0.11122955477271,1.12960349139912,0.795907782247403,-0.826436848677405,-0.206063411204858,2.84741999894167,-0.932196334269489,0.640026593805021,0.00770741489920759,0.527736058521787,1.16977709808543,1.24032248583208,-0.744720917288465,-0.311380390995336,-0.0532696318883434,-0.171556545260873,-8175.15774517343
-3.14253222961635,-0.216186718654019,1.23065855643977,-0.085929981740386,-0.561153140533569,-0.585092988622279,-1.14806293186267,-0.599898836170794,-0.540797401841613,1.15803873145679,-0.151212034024057,-0.91713343446538,-1.1459994218968,-0.847646731686286,-5.69597061714241,-0.16579967678351,0.846581788594065,-0.0652174842365123,-0.199629788628757,-0.203351391709257,-0.803936455854848,-0.083771279611228,-0.04137100752515,-0.0483059642932152,0.000362353932478236,0.00116470461640664,0.000207114656473388,2.1837119437151,-0.967320475538356,0.142948071125993,0.00509951850236416,0.0906182393837872,1.18145293836885,0.807722333162794,-0.849185679871925,-0.204317833573925,2.83878777828929,-0.948864520797995,0.628446299129836,0.00634788916341298,0.565162794375575,1.15877352956424,1.23410634206387,-0.735270145260048,-0.308046612802333,-0.116796365643742,-0.162222159734761,-8163.35253431397
-3.03193125191231,-0.221241034087483,1.46466639513639,-0.0928881292816696,-0.563918343120082,-0.585997044530178,-1.14822700457319,-0.706836615385256,-0.560341930549344,1.41147992484294,-0.164210583844945,-0.914005930534071,-1.23935043255975,-0.898541173885574,-5.70331473716303,-0.162267601521391,0.890856974382254,-0.0677666208390815,-0.195810800485386,-0.196984903378322,-0.793834361860025,-0.138704276423416,-0.101138076652418,-0.060305967397763,0.000500478549408401,0.00140023828511645,0.000264982584210116,2.18064795265449,-0.959041910525756,0.155197024467326,0.00574958926524706,0.068204014189403,1.18504820429471,0.795720089065894,-0.867035453424947,-0.199980314625192,2.83066346024157,-0.951592194139684,0.625334453903458,0.00621685358147278,0.554961839052091,1.15042223225403,1.22530128529872,-0.729779340519428,-0.31041083335391,-0.0847612249493379,-0.16404211362887,-8160.89069772584
-2.89887907012548,-0.227069996241283,1.6770590008166,-0.0951909099509735,-0.561646599490463,-0.590184490874628,-1.15724969703879,-0.170442974604252,-0.537268386494179,1.87568358390413,-0.160273204823194,-0.924224552607338,-1.18463037231592,-0.926142048594507,-5.68603005109642,-0.159381539416307,0.906495706773938,-0.068953623277906,-0.195599348940914,-0.194072421376589,-0.78593083715889,-0.184843988045828,-0.194806746358354,-0.0650751782730388,0.000535159214927114,0.00129433862071727,0.000290706484757571,2.17766501872366,-0.942089547574052,0.148728272345038,0.00572690660379094,0.0637226132564992,1.19460791463186,0.845983168049327,-0.86282738839015,-0.200959725008872,2.80563439478226,-0.930334913535856,0.625367724566569,0.00622326136663857,0.569973168213528,1.15038861065299,1.25137469202611,-0.719984808577888,-0.313387409136026,-0.111051427847094,-0.179271495877345,-8160.16720519297
-2.83409365337888,-0.227453276364617,1.75956645779595,-0.0946627999392289,-0.559163117400478,-0.588413196755285,-1.16598093055292,-0.376869853273128,-0.540503550076531,1.83067967824453,-0.170010172847954,-0.893653014502557,-1.25134899126549,-0.939964043476941,-5.67926930320555,-0.158761393508106,0.898477320432528,-0.0687590225670261,-0.196229558097915,-0.194024650024422,-0.78254711427608,-0.201650585898821,-0.189704784091228,-0.0634819515287445,0.00051944290050532,0.00151642252310637,0.000286214792085741,2.14401120506538,-0.951019913664992,0.15422397155376,0.0067476854866734,0.0529806441929141,1.19472355408036,0.835529739060036,-0.842508101431356,-0.194848862472147,2.78303527533629,-0.932225090731864,0.637128919509751,0.00727392699797845,0.566403901509479,1.14657649484334,1.23914816251878,-0.705318901934906,-0.313632541431196,-0.112225756194779,-0.178475587717944,-8160.02793544307
-2.80981945840444,-0.226695884676052,1.79412182968543,-0.0940140223896635,-0.557382401249336,-0.588389233547248,-1.17419111082967,-0.329082256795609,-0.532827935129886,1.84538944454781,-0.16691717731991,-0.892098658170303,-1.23836444842913,-0.948880363318197,-5.6798264613787,-0.158845994169115,0.886446132704551,-0.0684722943173784,-0.196828331843367,-0.194626421315683,-0.780820826617287,-0.207932539690516,-0.19178976659907,-0.060843794951698,0.000503573174338144,0.00145485021026818,0.000280223596105029,2.13427018416473,-0.952581413751532,0.145739298236806,0.00653472984740069,0.0522361571945812,1.19536258833539,0.83534934139008,-0.839795150919416,-0.191845911470093,2.78294326029634,-0.928416302657686,0.633309382594839,0.00698748371627165,0.566377776009828,1.14616780575278,1.23968636275921,-0.708472262890296,-0.313853078872429,-0.110012615901689,-0.177472184675075,-8159.97269294219
-2.81156250237718,-0.226478163666038,1.80756138165377,-0.093387758564438,-0.556181740931736,-0.589552121755009,-1.18296520723477,-0.304273432473094,-0.526781135744441,1.83802273531032,-0.164500586972817,-0.892792909301109,-1.22555483618882,-0.954671186396888,-5.68506382506516,-0.159067381382517,0.873959090760836,-0.0682808570731047,-0.197010818450619,-0.194958133169658,-0.779875855262469,-0.209650200515293,-0.188794320846473,-0.0582070444597939,0.000488034519908272,0.00141817491397637,0.000276871440057578,2.12825422859072,-0.955723228781716,0.141559803138204,0.00643058542192936,0.0543845567298452,1.19728105372052,0.836363802669583,-0.836338060154673,-0.190303136124336,2.77966279441559,-0.929168024648571,0.632947878782298,0.00701271185042689,0.569049827987838,1.14570815283186,1.24068967839799,-0.708490997429396,-0.31293506008108,-0.112852757996883,-0.180444178152312,-8159.95066907762
-2.82147943740665,-0.226390503274322,1.80361987539685,-0.093393475001454,-0.555959165747395,-0.589233374144709,-1.18504059535074,-0.301827356608238,-0.525756011850132,1.83337349344322,-0.163815099835524,-0.89270891781645,-1.22048705369124,-0.956078717268237,-5.68874202489361,-0.159117649199906,0.8712118958818,-0.0682718605141705,-0.196837413986033,-0.194789584551492,-0.779760843570933,-0.208559452965999,-0.187405509156085,-0.057720587704621,0.000487427981318054,0.00140754565189434,0.000277266078392652,2.12861665213534,-0.955506346653623,0.139825415031522,0.0062576322246032,0.05541252182488,1.19775027778232,0.833212020440491,-0.837559584700947,-0.189724292694129,2.78045014510276,-0.930390137255457,0.632203240174144,0.00690483015030013,0.569865575766325,1.14509977481471,1.23951899770957,-0.709089173442903,-0.312524686218209,-0.112687448202929,-0.180915205518787,-8159.94779679332
