"b_no_choice_a","b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","b_range_year0_quadratic_a","b_range_year0_quadratic_b","b_range_year0_quadratic_c","b_degradation_quadratic_a","b_degradation_quadratic_b","b_degradation_quadratic_c","delta_a","gamma_EV_rangeanxiety_a","gamma_risktaker_a","gamma_hhincome_a","gamma_ev_charge_a","gamma_evb_environment_agree_a","gamma_evb_function_disagree_a","gamma_hhveh_fuel_a","gamma_veh_range_a","delta_c","gamma_EV_rangeanxiety_c","gamma_risktaker_c","gamma_hhincome_c","gamma_ev_charge_c","gamma_evb_environment_agree_c","gamma_evb_function_disagree_c","gamma_hhveh_fuel_c","gamma_veh_range_c","gamma_suv_a","gamma_suv_c","logLike"
-3.29034536511313,-0.219686923632195,0.912836450701002,-0.067887333014516,-0.5567400235674,-0.576558328895521,-1.16668298231199,-0.551311067588119,-0.555801895645224,0.985458736116907,-0.105977965038578,-0.913272297640995,-1.13817173707935,-0.864035569096483,-5.78654413270161,-0.158947200291394,0.626195488462956,-0.0530986093129994,-0.196104466537125,-0.196283368609691,-0.780137212014975,0,0,0,0,0,0,2.21488977245588,-0.983126907097589,0.156916038163713,0.00497099342071156,0.0422863428696893,1.20784830599199,0.829973535154665,-0.856145492584824,-0.193561928892241,2.83402438571782,-0.961323949193966,0.629291883138605,0.00649483244818968,0.561961418896705,1.15081294618063,1.2425002395533,-0.722961998222715,-0.316006581508853,-0.134783264567529,-0.178135436922193,-8174.06883103909
-3.12794820727666,-0.22035892329427,1.41210816092602,-0.0950404932337205,-0.562293711246061,-0.588297765945767,-1.16673253783865,-0.623248486798626,-0.581678617802131,1.65835660989497,-0.177994522568569,-0.939650849377678,-1.30576135402302,-0.881817975819214,-5.74925841033233,-0.16112064933172,0.780197896659861,-0.0669632749348278,-0.188726140927079,-0.195573472533448,-0.782411465864947,-0.119753063139899,-0.152147886628396,-0.0371805570129464,0.000520597944558635,0.00172844694674418,0.000255163712796654,2.16409484242421,-0.962420271330659,0.154965983859304,0.00585012807203406,0.0543080148357605,1.17504111991103,0.733531207781001,-0.877681458988332,-0.191923988838542,2.82742297392486,-0.965939724617744,0.62999238139376,0.00552438661152359,0.545397723992917,1.12046333600328,1.24021384602645,-0.722023726875982,-0.301494484419344,-0.0871349632553725,-0.18078035847065,-8161.92226164925
-2.99084872654696,-0.226536988016115,1.58609719685485,-0.0941092657957023,-0.564479601861598,-0.594272661213707,-1.16670350983318,-0.014078581363061,-0.527296074408559,1.83046709645166,-0.149952946089416,-0.901173564987033,-1.119632923317,-0.894520684388845,-5.71277743686954,-0.159310414487419,0.843759603383493,-0.0677025388026974,-0.192157323504777,-0.191850884139896,-0.782757360940433,-0.160296719008642,-0.183003562623909,-0.0519841825581947,0.000498322222877311,0.00105022051383731,0.000268335857456448,2.18259914102859,-0.942702485912806,0.145661633709769,0.00486894468695569,0.0794948702739043,1.20733248194058,0.822402474101286,-0.855915304068887,-0.205191202458311,2.8158023346416,-0.935465602296768,0.626998043021365,0.0054197581315312,0.576398254311872,1.15086428597913,1.23436897447732,-0.715393011594921,-0.314578937796591,-0.117528833486894,-0.182262384343811,-8160.43542819943
-2.8495587055581,-0.227026925150868,1.74980155709624,-0.0942697165296003,-0.561412024584714,-0.588216860455372,-1.16830487858178,-0.402004092394041,-0.543843647651138,1.76392322233137,-0.166865146654987,-0.884269429833097,-1.23924172567216,-0.923347706877686,-5.68771620640895,-0.158754999992205,0.887947902682853,-0.0684811637866491,-0.195435060884098,-0.192386826590879,-0.782345300277873,-0.198528906649267,-0.176792918935207,-0.0619286927543653,0.000504031203546831,0.0014559048550588,0.00028180387881608,2.14296710029328,-0.959022490071762,0.156285598573607,0.00654527469061165,0.0586070632544464,1.2051792107624,0.828331325173335,-0.835410883618637,-0.19501874188774,2.78894844611407,-0.940958365102258,0.641493582148988,0.0072505695976425,0.56484879344818,1.15322348624067,1.22399227355411,-0.703244686000508,-0.314486189443238,-0.110828208589466,-0.175584200620612,-8160.0157313002
-2.82641332833529,-0.225720717880429,1.77603033584003,-0.0939973256923619,-0.557732977349592,-0.587985980475546,-1.17365333101868,-0.28364649203944,-0.533723447452599,1.83210717772937,-0.164099691249568,-0.904527520919154,-1.21347764288709,-0.93373865783527,-5.68590885811199,-0.159032298054292,0.88442448585622,-0.068415776341199,-0.19670122400735,-0.194585100111021,-0.781371775010766,-0.203797308430449,-0.188371389853451,-0.0608063458634569,0.000500672705338066,0.00140286175790218,0.000280355755354795,2.14263693175042,-0.954905370445086,0.144330958113974,0.00597061532672259,0.0550070317577379,1.19750011876414,0.834492812338139,-0.845660508775005,-0.191362490497588,2.79274043805844,-0.931531190116193,0.630924830844728,0.0063716588025935,0.566506950178758,1.14827235311387,1.24155819721298,-0.714967495058922,-0.312907539824823,-0.108191049020681,-0.176853530881631,-8159.96933296484
-2.82379945789869,-0.225937267501504,1.78875766013734,-0.0936093904784027,-0.556157449549559,-0.589578483116967,-1.17974659417086,-0.280678856695668,-0.528316533055999,1.82888387862827,-0.1636656857611,-0.899652841852855,-1.21164000975538,-0.94089885220122,-5.68620626446175,-0.159139949115401,0.878509911712762,-0.0683346474313926,-0.197020341483837,-0.195284850819661,-0.780572833836383,-0.205876832345567,-0.18726697333814,-0.0592726894418956,0.000492923226207272,0.00139890880533187,0.000278754823992617,2.13535477776319,-0.954763240472581,0.143311932177051,0.00606987197737633,0.0559394658043643,1.19628025462814,0.83508150691591,-0.841365634948067,-0.190890467741453,2.78496516211617,-0.929102163751178,0.631585883712414,0.00659223270161233,0.569886407821364,1.14545941592316,1.24282457109905,-0.712304174316558,-0.312416785271464,-0.11157134609796,-0.180741521499155,-8159.95352286378
-2.82600412993693,-0.226288096136542,1.79718136681068,-0.093429303347026,-0.555736926811774,-0.589538710377414,-1.18451734353848,-0.295928330087953,-0.526890302896226,1.82957917217086,-0.163506348936607,-0.896807804240749,-1.21753911132415,-0.950042051117966,-5.68782446594226,-0.159159494150682,0.873283397910027,-0.0682727945646213,-0.196937184170536,-0.195102063069074,-0.779924484249114,-0.207167072876719,-0.187107313268192,-0.0580740488507896,0.000488599675387748,0.00140036877566212,0.000277570115234776,2.13083239899918,-0.955398047478993,0.140432030252599,0.00611128289882975,0.0557344235531553,1.19735721293138,0.833352771945032,-0.838837466053236,-0.189891911438626,2.78115183899919,-0.930293361342829,0.631797065934788,0.00680314148490075,0.570254898902828,1.14485592076958,1.24082379612629,-0.709971238898063,-0.312198249002561,-0.112754474524026,-0.181612856454039,-8159.94818419269
-2.82855145569568,-0.226423505922909,1.79887236361865,-0.093445959445673,-0.555621274128961,-0.589221204885032,-1.18571625517204,-0.303273009302698,-0.526263156443282,1.82921789131631,-0.163814949614694,-0.89358905802367,-1.21903787546393,-0.953134395609781,-5.68953230025898,-0.159108583775471,0.871629268489227,-0.0682823703946696,-0.196771344584481,-0.194770080591208,-0.779705097288227,-0.207411878658093,-0.186808644145592,-0.0578090833556536,0.000488246200759807,0.00140861055082889,0.000277823831002026,2.12894854650295,-0.955439426337511,0.140682203155075,0.00617355667048524,0.0561435654331994,1.19832931482996,0.832406346895673,-0.83751548122606,-0.18981717423859,2.77934733757653,-0.931312063821482,0.632610026994283,0.00688102398706922,0.570710761501836,1.14490030261325,1.23949788210008,-0.708186593505335,-0.312201822944606,-0.113019023055245,-0.181825688264054,-8159.94726368966
-2.83075735230896,-0.226496355511333,1.79909796582503,-0.0934913069476346,-0.555569386945236,-0.58888180530066,-1.18608584161696,-0.304683476445803,-0.526276116938192,1.83275980694398,-0.163894202405674,-0.892203633188177,-1.21952901194415,-0.955455881919386,-5.6909156609696,-0.159043803307868,0.870825130803436,-0.0682936411237048,-0.196624719644729,-0.194532033130667,-0.779562110462842,-0.207422400540848,-0.18730962208227,-0.057740783288387,0.000488556092730819,0.0014118858131517,0.000278191699826423,2.12862403766333,-0.955429039624538,0.140724385968129,0.0061970021555602,0.05619861207135,1.19889392543861,0.831705913836125,-0.837333175803349,-0.189785251477474,2.77903746020827,-0.93182289247206,0.632786940680892,0.00690739153982262,0.570524379069884,1.14499685773395,1.23854840161083,-0.707808780826312,-0.312250573983306,-0.113008486391319,-0.181600312368361,-8159.94694331625
-2.8312378867222,-0.226480179307945,1.79883943962502,-0.0935132366970976,-0.555522568574299,-0.588761874962279,-1.18593106146764,-0.303866096868315,-0.526174396227998,1.83416840420164,-0.163926348831458,-0.891509343836029,-1.21887071776021,-0.956174132982855,-5.69137708959882,-0.159015892636791,0.870784396940909,-0.0682945886027853,-0.19659812721629,-0.194492496895445,-0.779508834771836,-0.207377094381997,-0.187453983369003,-0.0577800170619938,0.000488784402089486,0.00141300160564719,0.0002783328589868,2.12869009918424,-0.955392506924497,0.140930651913607,0.00619811596539428,0.0562576909992156,1.19896691746592,0.831376065476034,-0.837416692694201,-0.189780680205172,2.7792239129764,-0.931907752204708,0.632844812631946,0.00689703738318255,0.570497877445791,1.1449411440851,1.23832089849252,-0.707866728651152,-0.312277793863004,-0.113011662551393,-0.181586650461255,-8159.94687565551
-2.83136241552227,-0.226466501231663,1.79859514451523,-0.0935209135253154,-0.555516705850651,-0.588768758103241,-1.18576453575086,-0.30276895521157,-0.526189540426013,1.835394713314,-0.163909725505302,-0.891449273403537,-1.21835339282478,-0.956609866890828,-5.6914412890302,-0.15900300509218,0.870882666808458,-0.0682907328613608,-0.196602825272075,-0.194509524159234,-0.77947699637202,-0.207334233490067,-0.187600582657789,-0.057820020527327,0.00048883568366943,0.00141300330387093,0.000278359466937851,2.12894926572917,-0.955401296180201,0.141003971738728,0.00619641774768061,0.0562161594887998,1.19887664398977,0.831279711276656,-0.837584330930275,-0.189783719124299,2.77947048333209,-0.931854966669781,0.632769647328062,0.00688769323582773,0.570426150602731,1.14485610944988,1.23831348621789,-0.708090592919214,-0.312281816505693,-0.113051739425889,-0.181605523638032,-8159.9468548891
-2.83128221146736,-0.226456319295979,1.79851741665609,-0.093519981869611,-0.555533836730719,-0.588805988836649,-1.18568641820789,-0.302509453032932,-0.526164780655302,1.83551334951353,-0.163900422821214,-0.891388342483047,-1.21809554165713,-0.956766545138346,-5.69134661021699,-0.159003109627086,0.870966132926703,-0.0682868302212371,-0.196614159967687,-0.194530561964573,-0.779466499743662,-0.207321309907816,-0.187582289518346,-0.0578368825784893,0.000488802918649859,0.00141284832048704,0.000278326978565419,2.12904105017512,-0.955405980988152,0.141018239130702,0.00619582721196746,0.0562177801099516,1.19878162891876,0.831210271649859,-0.837631543710899,-0.189782888917284,2.77957788235832,-0.93180333686663,0.632739317395465,0.00688387530868283,0.570439836376525,1.14478734696621,1.2383342995673,-0.70818003261089,-0.312286643681318,-0.113076734055341,-0.181652898447934,-8159.94685063257
