"b_no_choice_a","b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_a","gamma_EV_rangeanxiety_a","gamma_risktaker_a","gamma_hhincome_a","gamma_ev_charge_a","gamma_evb_environment_agree_a","gamma_evb_function_disagree_a","gamma_hhveh_fuel_a","gamma_veh_range_a","delta_c","gamma_EV_rangeanxiety_c","gamma_risktaker_c","gamma_hhincome_c","gamma_ev_charge_c","gamma_evb_environment_agree_c","gamma_evb_function_disagree_c","gamma_hhveh_fuel_c","gamma_veh_range_c","logLike"
-3.09915751686253,-0.219787671532771,1.01986943596621,-0.0586847832609741,-0.563352171065048,-0.580685643147546,-1.18241175479633,-0.382792335808632,-0.550963845313816,1.03297832824163,-0.0939905892545702,-0.91621783965834,-1.13172099042321,-0.857432791102326,-5.60681446939723,-0.159215215404915,0.709469779397597,-0.0465067294555459,-0.196794291525173,-0.197242679937287,-0.782470415565991,2.20823310538803,-0.986291550976348,0.155192106400436,0.00470370430121451,0.0452527262815005,1.21285805170076,0.827365032601149,-0.851925624055231,-0.192062642956216,2.82867268736328,-0.96378894872534,0.630623938199248,0.00648627323576361,0.564226986092796,1.15143644705216,1.24367384628728,-0.721115489634831,-0.315468149680138,-3899.15439689411
-3.05230614219157,-0.206682458999809,1.10389685121804,-0.0567295996056009,-0.607927051061746,-0.607985549558259,-1.15758744105322,-0.227973332567145,-0.539381806041991,1.15084486338178,-0.0896884933638123,-0.773115287206868,-1.38965868990147,-0.833049989721644,-5.62030446202118,-0.145570016782074,0.71971322176039,-0.0448474632120437,-0.166835417379949,-0.182736083888252,-0.82033437378958,2.18359389073329,-1.04752773824551,0.332062812309069,0.00586336698802912,0.135964649591311,1.2749297593384,0.679316402713114,-0.851160435304545,-0.196644030042557,2.81202570943561,-0.954044122419744,0.653126272860217,0.0111826415292497,0.519549949219781,1.19429770763205,1.2090665316852,-0.778310059047154,-0.316317517194017,-3888.92951653962
-2.58793049725871,-0.183361573819848,1.23365441755815,-0.0536240263081046,-0.628154884502348,-0.625625662844914,-1.07514470186572,1.14427191433446,-0.415746677563066,1.47973983444825,-0.0748864577008039,-0.744646231065762,-1.39733772048725,-0.680859711981663,-5.67558587807473,-0.135548789345975,0.725290049773444,-0.0435359499470558,-0.135440926544622,-0.154525135558242,-0.86141422826449,1.9522393854462,-1.11699429140849,0.694606534614316,0.0205813584162815,0.280338069547635,1.60968720951242,0.46515138274038,-0.895432845575177,-0.197895433376617,2.73868972574385,-1.04000897960964,0.931409543590073,0.0248495535425802,0.615227028640489,1.39780499477526,1.09884152668641,-0.846808742605414,-0.328352170621119,-3880.85438100502
-2.32888935063856,-0.174995041098606,1.33471911806315,-0.0515357572771896,-0.666323901293991,-0.659936786111665,-1.02975512067597,1.95195177969017,-0.358101578492041,1.53774964763283,-0.0684889940154715,-0.516616331531016,-1.30733921195546,-0.494827726217428,-5.70224521593351,-0.126543315207118,0.731239968806958,-0.042439160161449,-0.109418065173845,-0.1339521398475,-0.900453174308398,1.70423060127028,-1.04049170505857,0.690296226105426,0.0210997504764247,0.237587368424696,1.7152170693047,0.432077399754193,-0.932060430048994,-0.153513508576648,2.49067759741999,-0.889006778766471,0.907537239030669,0.0226837437090092,0.531979514688412,1.49024069203424,1.01332547875258,-0.880283074150766,-0.292013697777287,-3878.84966148865
-2.26841044969202,-0.179664233376082,1.36303159036504,-0.0513269399470195,-0.678195223376942,-0.656875553705283,-1.01919267349006,1.72591776592456,-0.391919379052224,1.6276820236333,-0.0741777086291109,-0.558220219299664,-1.67739346042472,-0.53308105193725,-5.69845278470807,-0.126025121030988,0.730033157835284,-0.0423794510145106,-0.105040616737751,-0.128987412038624,-0.91358819029625,1.67855787514273,-1.06617675156787,0.691332687354602,0.0223353579207624,0.192223931007267,1.75321413934328,0.438013697283204,-0.932311687321464,-0.140397566827249,2.45365292643823,-0.907372108373396,0.92394523019505,0.0220494368174607,0.521681316366172,1.5354180720516,1.01418503959763,-0.848390069061327,-0.285420111213898,-3878.67605648121
-2.27643706575969,-0.183762377156026,1.36922951835163,-0.0514278857765975,-0.682232874025246,-0.656875949049133,-1.02248241407158,1.92482236767206,-0.373680046310094,1.53639156336877,-0.0733543826549148,-0.494857603819195,-1.55612532808189,-0.430138550346195,-5.6969449772617,-0.12670299182513,0.728266217407238,-0.0424943293119613,-0.104837996474602,-0.127544036785746,-0.916704919287875,1.78991521766674,-1.10358703162285,0.6631963226934,0.0216441681561021,0.175867378914306,1.70860012739005,0.473204810489926,-0.968774996196092,-0.146031953796237,2.53237096163754,-0.940147300509487,0.908388232072041,0.020945272916342,0.525795540467776,1.50353706474741,1.03742797402474,-0.86678490406915,-0.288979284535478,-3878.56624742748
-2.28550980942099,-0.184492932571885,1.37303333984646,-0.0513871912465794,-0.684968637731773,-0.660164065931018,-1.02714483682528,1.92048543058121,-0.383902892931678,1.48272183019703,-0.0724238652226928,-0.520210503264749,-1.52938393203216,-0.376573147824477,-5.70262518891114,-0.127178214773227,0.726907358821819,-0.0426014030728556,-0.103815997651677,-0.126878368969096,-0.917325535858912,1.80150713100923,-1.09412240008942,0.64634778408658,0.0202251474395533,0.154847555587108,1.69491150079834,0.483833167832755,-0.951396427083809,-0.151331033292051,2.52358994519723,-0.922996032489629,0.894792840116492,0.0194567925545195,0.504836344924885,1.49796973839711,1.03354936086578,-0.850737735565701,-0.289294552295044,-3878.51608096449
-2.28631761653052,-0.184778183383592,1.38084250902943,-0.0512767292682481,-0.687111261731752,-0.661254906039539,-1.03246279446883,1.87783028385744,-0.398027108694072,1.38421540774769,-0.072340904502044,-0.561351017942244,-1.54745305806485,-0.290650085810126,-5.70889748011463,-0.127813191593981,0.724994040590172,-0.0427494933012184,-0.102733710137922,-0.126328360881624,-0.918353884884228,1.82155144712742,-1.09088069326974,0.633887655045089,0.0175623864998341,0.140083091781853,1.68689578130114,0.492465906203567,-0.938915060994439,-0.154912700785989,2.52793165086936,-0.912063066747998,0.884968353112808,0.0170521327100577,0.489734488143714,1.49519306554081,1.03389177642154,-0.838127668152438,-0.290089824087488,-3878.4597119259
-2.27969386458856,-0.184373449199437,1.39042955722006,-0.0511523354872386,-0.686350240425667,-0.661710265117656,-1.03785154934819,1.78795992389493,-0.420255613532638,1.27926517561686,-0.0727384071535694,-0.616453178227733,-1.60031475850371,-0.203422678216871,-5.71152738042174,-0.128206639752789,0.723385715093823,-0.0428674601116978,-0.102395750477778,-0.126203733167716,-0.918949618587036,1.8313798470478,-1.09355711157665,0.630837721878586,0.0150721795074306,0.130071498649479,1.68711648100503,0.495051821689976,-0.926842633181408,-0.155104571563533,2.53198295078695,-0.910168193505256,0.883051074277684,0.014933492039317,0.47996997008965,1.49523253973752,1.03339244253122,-0.826559540183271,-0.289393099253758,-3878.3999206334
-2.26926867739653,-0.183526244830927,1.39949121503693,-0.0510445067750832,-0.683282399192915,-0.660378656573488,-1.04293706576338,1.68235764635949,-0.442676524912762,1.1845558283207,-0.0737568204762947,-0.671139358589227,-1.66386111749097,-0.129999408167944,-5.70987203188544,-0.128331455300282,0.7223308272942,-0.0429242020877714,-0.102865540788123,-0.126703709598274,-0.918640370456952,1.83026156683932,-1.09970716786831,0.634832247003625,0.0127772049546398,0.128643416688876,1.6940799481111,0.49303484927763,-0.917988715042591,-0.15132336130112,2.53484165456733,-0.913950500056853,0.886627751420926,0.0129938013063807,0.477979802495167,1.50013635048408,1.03347482122588,-0.819913747940665,-0.286965327016451,-3878.3460930425
