"b_no_choice_a","b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_a","gamma_EV_rangeanxiety_a","gamma_hhincome_a","gamma_ev_charge_a","gamma_ev_neighbor_a","gamma_evb_environment_agree_a","gamma_evb_function_disagree_a","gamma_veh_refuel_a","gamma_veh_range_a","delta_c","gamma_EV_rangeanxiety_c","gamma_hhincome_c","gamma_ev_charge_c","gamma_ev_neighbor_c","gamma_evb_environment_agree_c","gamma_evb_function_disagree_c","gamma_veh_refuel_c","gamma_veh_range_c","gamma_suv_a","gamma_suv_c","logLike"
-4.72982962083601,-0.189148841744791,2.06239843470306,-0.490694099356905,-0.218028378609999,-0.181977563278165,-1.63871240424157,0.280210770221251,-0.149952137308739,1.23768201142671,-0.327120603832484,-0.887103748546438,-0.937042340564501,-0.774137922886442,-3.97222226900761,-0.0950976336760071,-0.260260604031268,-0.140293045309028,-0.205868769080804,-0.17134812803718,-0.380124268732831,-1.39513021202535,0.299305116630097,0.12749352704024,0.32185422504153,0.664697020458207,1.24740916364215,1.09969912706503,0.0200211693118133,0.0459731252926341,1.56500229247384,-0.591240227738392,0.0891896415608556,0.317043990680734,1.01923524604754,0.427545356978706,0.0233764686107421,0.0403149872619518,-0.269000031517613,0,0,-8616.95931951468
-4.7168612209929,-0.19524468383977,2.04350420236056,-0.497429992470845,-0.22417689493055,-0.185762294823535,-1.63723561163559,0.297786978582144,-0.15461436142484,1.23038394226045,-0.334545239948719,-0.908014743338041,-0.948786497450797,-0.781804483104235,-3.97801988612012,-0.0972004283412264,-0.244820858324132,-0.146712717257918,-0.202971707881336,-0.184584377740425,-0.382936582376047,-1.39329985922343,0.289922279039223,0.125937922751305,0.337528741436605,0.67721658274318,1.24353337399477,1.06040849094559,0.0204299290009268,0.0440816796213072,1.47533172967201,-0.67942489357796,0.0821346742671155,0.226505482202039,0.925003765658611,0.348649651266947,0.00696424052654038,0.0325986580917612,-0.296537715028183,-0.0267037911895832,-0.0742623535823183,-8497.2797402254
-4.79931647047503,-0.22032564357482,1.95456727756993,-0.518320146473053,-0.229474870736324,-0.179669175473588,-1.58128518970064,0.296577490664379,-0.157502761704573,1.21435002387068,-0.355475480570543,-0.843440433002854,-0.869443292449222,-0.791920697374808,-4.08041188195134,-0.113200700287547,-0.114674265933186,-0.169805822082079,-0.207585303777093,-0.253884530109178,-0.423300728328988,-1.34536261267638,0.190503883736215,0.105526124197448,0.357930486546708,0.586630412525601,1.13673033780971,0.941549853274465,0.0206603797603825,0.0347126586586702,1.24864443919028,-0.756840047234975,0.0656188627966923,0.0957113129565039,0.71808886776323,0.285308442682853,0.32186710922226,0.0358082237254378,-0.342510710881466,-0.133995175090701,-0.100105149606066,-8356.82687809007
-4.95871895384919,-0.259786813292857,1.76778495890448,-0.542455333272775,-0.261722115933742,-0.202518763565513,-1.45979813524838,-0.00246043402193402,-0.170700079380368,1.10740691487889,-0.428109397991605,-0.679681185288201,-0.715643887014061,-0.82696990553846,-4.27143803114928,-0.125054392717915,-0.0107810027913279,-0.186203836499506,-0.255260679693127,-0.302145180561916,-0.47098846891557,-0.909041527813004,0.0562279019796247,0.0489034437253103,0.355541224030663,0.281332629631802,0.982548499826012,0.901723066792045,0.0453393905615824,0.0197662505865586,1.04608236014084,-0.679941947468731,0.0045055494046796,0.187327139084155,0.359948322917933,0.11603688134712,0.505226856184309,0.067101027585072,-0.335522590907397,-0.181074486713874,0.0127672065445085,-8258.71370850962
-5.00141321271273,-0.258842939223218,1.63962815119484,-0.55003174736555,-0.298257193490463,-0.235233293453464,-1.38370871985593,-0.52784463019028,-0.222927851303641,0.982445281088807,-0.46236816430724,-0.636376392254246,-0.661433854760948,-0.859491413523421,-4.30205478722073,-0.120365644346597,-0.0108930258371887,-0.171541603092867,-0.252446007402411,-0.306561424046539,-0.485500954639182,-0.2924519758079,-0.0836443052363361,0.023155048517099,0.38754976973074,0.262815026962035,1.03513655375017,0.871390345741902,0.0492450935723448,-0.0516807371106859,1.39557986050759,-0.775740773901192,-0.0195650174024445,0.25998264126573,0.381257591523826,0.209777658050419,0.550396095423662,0.0721002249692629,-0.373161850173,-0.356947404941349,-0.181536850958115,-8232.64428204046
-5.05234577615671,-0.250427128288775,1.49334361056678,-0.555797705306944,-0.335925256434905,-0.278481962718666,-1.31086839601858,-0.918510445598499,-0.266374041248678,0.845625472465393,-0.471976413919826,-0.614515265964426,-0.610029734804389,-0.873435660262335,-4.21711899842495,-0.109105487425306,-0.0402164497862417,-0.137466258853088,-0.228188423486282,-0.283047772877004,-0.48775103784499,0.121103215049514,-0.187955219745849,0.00727380260998455,0.39850819583567,0.239929414464343,1.03811722121986,0.901158119067475,0.0501903940258307,-0.0944942341575906,1.61865327825145,-0.879415668438705,-0.033637253417801,0.331402408884398,0.320905142253423,0.268526004285627,0.588258329502979,0.0739117418681977,-0.377381499797662,-0.379292989888652,-0.335673889188071,-8219.48516699819
-5.12387479285816,-0.242472026228252,1.36827543913841,-0.561021324797006,-0.365307581020118,-0.311691724470144,-1.26290766492303,-1.10242004139722,-0.289224458387705,0.746432855747984,-0.462827980416319,-0.6143802773329,-0.579771994314039,-0.876034467172261,-4.03368907832278,-0.101042356588735,-0.0462905402869417,-0.0996590287735304,-0.183402777258348,-0.244429306061736,-0.483525124709708,0.317871095479981,-0.229010960341377,0.00297286800733154,0.394262629956897,0.252382210880481,1.04322502810429,0.907112294522405,0.0501050431809959,-0.116434378194929,1.64201456027335,-0.922029842815039,-0.0379908097141779,0.349646985866311,0.305346647395021,0.342398969757797,0.613357686494222,0.0758329420015491,-0.367432916801568,-0.356869512996257,-0.441261629456094,-8213.36369032174
-5.17675957930782,-0.23463354529897,1.26788310778036,-0.561470322181253,-0.381420205917027,-0.336055242625757,-1.22927718422572,-1.11241784795266,-0.29155089033593,0.699982187011223,-0.445499983212731,-0.625923492826185,-0.576138890057989,-0.876312912579672,-3.83330543058196,-0.0975844933091702,-0.0337169397439896,-0.0664412077552342,-0.140857681007414,-0.20065781564234,-0.475975537301435,0.409272053844916,-0.249614615955391,0.00326612093186416,0.378515239864282,0.27946958780408,1.0369972409621,0.903625223738994,0.0485603358252713,-0.126509535334261,1.57378694315776,-0.940847202060151,-0.0378365818865537,0.377818255129831,0.290497203609692,0.388633498585917,0.633257468164235,0.0781446010362885,-0.356996693793564,-0.305633090386501,-0.497701106397013,-8210.05824630867
-5.21420101377181,-0.229455059367767,1.20728023912668,-0.559586823917326,-0.387389738904915,-0.348465289111801,-1.21387057154515,-1.02743013420138,-0.282368373153489,0.701488487206715,-0.429835209601392,-0.641431627104727,-0.589707157920077,-0.876337914017405,-3.66771701854861,-0.09740624312604,-0.00879507036271624,-0.0455922431768456,-0.109381790519724,-0.166183948898298,-0.465343900559174,0.42017326676076,-0.251588065580902,0.00603370605671871,0.363468497412926,0.303623598647271,1.02493926368451,0.894794450254627,0.0471966601219133,-0.128806103634853,1.48515194644059,-0.944411805455692,-0.0354969326755644,0.397816398735862,0.289801891750255,0.409130293187914,0.63918959839886,0.0798332733795192,-0.351235924482449,-0.263354206612175,-0.512055612816395,-8208.12738725886
-5.25570364778961,-0.226006594737227,1.16527342619482,-0.558184379993502,-0.390192630959542,-0.356853324676021,-1.2086775262725,-0.91586944209665,-0.271059489504195,0.721730066829684,-0.41657950248316,-0.653635936293558,-0.606623164039448,-0.874441182864915,-3.51818122271459,-0.0993467805889478,0.0283451190347207,-0.0320295759602524,-0.0860601117402938,-0.137313061194221,-0.45323048149782,0.387925203440617,-0.243970245412061,0.0099608638563616,0.350266472434128,0.322073501720139,1.00651894069705,0.878780037356114,0.0464312735388472,-0.127689199864313,1.38272723960013,-0.940869848770588,-0.0316384217029948,0.42484328325354,0.283548998336983,0.409115063757483,0.646115791485375,0.0817364963691549,-0.347738302397863,-0.216201503229872,-0.501164494402062,-8206.79938698161
