"b_no_choice_a","b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_hhincome_b","gamma_ev_charge_b","gamma_ev_neighbor_b","gamma_knowledge_ev_b","gamma_knowledge_subsidy_b","gamma_evb_environment_disagree_b","gamma_evb_environment_agree_b","gamma_evb_function_disagree_b","gamma_evb_function_agree_b","gamma_veh_refuel_b","gamma_veh_range_b","delta_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","gamma_hhincome_c","gamma_ev_charge_c","gamma_ev_neighbor_c","gamma_knowledge_ev_c","gamma_knowledge_subsidy_c","gamma_evb_environment_disagree_c","gamma_evb_environment_agree_c","gamma_evb_function_disagree_c","gamma_evb_function_agree_c","gamma_veh_refuel_c","gamma_veh_range_c","logLike"
-4.70635351205397,-0.189524132319332,1.86871222001007,-0.477712078281717,-0.172129196857006,-0.140126043797192,-1.54279614906399,0.33809981861522,-0.183279361973853,1.34309725539108,-0.406620267012466,-0.857671633273695,-0.86420387608751,-0.87838998624206,-3.24873498693634,-0.109438933726331,-0.220979475615692,-0.0781526164366205,-0.249568402435871,-0.205263099878382,-0.300342018386867,-0.00260160313494579,-0.91159010868416,0.0095239214748459,-0.0290077563458447,0.0703234069232855,-0.177023364539919,0.358427829872147,-0.65139225414907,0.807436318179757,-0.601899907639858,-0.932027398954569,0.21010164386335,-0.0339132602721917,-0.131147702385143,1.18095059693988,-0.435401162690308,-0.321378228326357,-0.0121307772065584,-0.0633634843970303,0.526051275483847,-0.367336173047922,-0.4481289567181,0.934242840322383,-0.378028817350994,-1.10582266579019,0.162110345363274,0.0559190644013162,-0.458735565393625,-4220.90714714589
-4.8654494954963,-0.249598255385363,1.72503080694139,-0.541124830097435,-0.173259152805576,-0.16525332114939,-1.46646571997887,0.354452761660551,-0.198366448765002,1.31886724840974,-0.429164277603036,-0.710867519511719,-0.778163330518361,-0.896965441748732,-3.45847556965394,-0.106218435331758,-0.126666882190134,-0.107265052460659,-0.297799614467929,-0.277594033718513,-0.307884335774768,0.0142214289029086,-0.777359188022977,0.0461496470338532,-0.0157235879253681,-0.0050072049138359,-0.0645891496143369,0.249664058150703,-0.422837810530836,0.597584061106037,-0.364800217962362,-0.861906958110483,0.384917650162134,-0.0362850537077303,-0.104593904954695,1.16451981946452,-0.443230310875018,-0.241467741248308,-0.0203413078173675,-0.154377917903653,0.498997290290035,-0.249211447920182,-0.243560657669491,0.649739284385005,-0.349455445470998,-0.500758406225917,0.122995447394999,0.0499219205231545,-0.430512331669624,-4115.31665989164
-5.37826561009844,-0.310550479036374,1.66185756674993,-0.632826765924984,-0.182566962286458,-0.164293914304882,-1.45799591403313,-0.229264853068985,-0.285569496875895,1.12545391471446,-0.445726251827445,-0.433625330039044,-0.568780855700199,-0.891380686779197,-3.89129823114843,-0.120307122368093,0.0407060136309609,-0.1312211210579,-0.390181247951282,-0.356485430424012,-0.421496601551514,-0.425592146280847,-0.693139207770068,0.0957402826868624,0.00102753165391971,-0.30010021278942,-0.0660798629972653,-0.0453571228258631,-0.199212693886209,0.254616821417438,-0.153715968032143,-0.481282337960171,0.709167351772937,-0.0372479192000158,0.0268183756894565,0.955570291753593,-0.368987466891103,-0.196474709978082,-0.0333286536869264,-0.265225649726234,0.450919140045766,-0.233860232280932,-0.0380695390180939,0.167302643613173,-0.399995579238537,0.204046188793503,0.339109021031494,0.0405948023288969,-0.301709891400901,-4053.99006218678
-5.76333582413199,-0.361684520321053,1.50557926188527,-0.71958695347929,-0.291205188701794,-0.211361875493076,-1.38393097022109,-0.756698579715928,-0.355022655029274,0.864683596184084,-0.434175137921414,-0.233507126499872,-0.376772346447169,-0.869538533386264,-4.03157906005987,-0.106865611717164,0.0626770102026369,-0.130597671582581,-0.369909883964632,-0.391560486348688,-0.423206362943884,-0.366581620393764,-0.59837380750131,0.115346370914055,0.00688661957014826,-0.443100876460009,-0.131062960315398,-0.19757218668781,0.180191996224627,0.0906881384626348,-0.232625631445222,-0.127452937838935,0.718119883734376,-0.0630744227176338,0.0743853083696409,1.08935899042172,-0.286521089003019,-0.156551894982908,-0.0457209762987594,-0.382057590639131,0.216910599820207,-0.227045120374476,0.461029645514299,0.113129366610033,-0.478653136843813,0.372567677109449,0.311154323785829,0.0204434850303979,-0.285621110402624,-4025.14930048133
-5.93835157626149,-0.363158816106566,1.3716895565317,-0.762395648513449,-0.346566676752845,-0.23495182903741,-1.32183541747046,-1.37092503178607,-0.435150589200933,0.637625799370905,-0.410514951620588,-0.172070930016679,-0.336683168122181,-0.855516635334747,-3.98768157031594,-0.101032173679367,0.125918437203984,-0.112594778446161,-0.359068860253334,-0.388555883665341,-0.449189122525439,-0.174023005767245,-0.618787684404514,0.102707545925484,-0.00168100844263216,-0.381706661780431,-0.116385981950686,-0.34491930883248,0.0986585833080697,0.0788047941864488,-0.308614740241985,-0.0963123483125397,0.593578179498232,-0.0824237800979487,0.090413326960107,1.10674692871789,-0.260735939015836,-0.162322604413298,-0.0533497494556115,-0.169839000383366,0.154859012603059,-0.349701119869038,0.430734801194212,0.0269676806229432,-0.556988206654295,0.519574294020163,0.285692945531732,0.0162451750255324,-0.270968374716605,-4016.92737233803
-5.82704882546344,-0.332864648317799,1.29413606912373,-0.747478613465651,-0.345466025033806,-0.249635471073589,-1.27783548215358,-1.42821139551116,-0.435466449869034,0.616984182139264,-0.396175612688919,-0.231436556091201,-0.378737495331772,-0.87172821689173,-3.88146713674662,-0.102734704441782,0.131549932299689,-0.0926428755168255,-0.335912767640422,-0.363679041125647,-0.4428653930664,-0.345804657659973,-0.625583563212965,0.0916712183416389,0.00263512655758092,-0.2941797799317,-0.129968017510571,-0.369071387401359,-0.0414490428765378,0.0607567043413675,-0.375811354476174,-0.0906034383048876,0.593458025018858,-0.0771635415932586,0.114182902964243,0.95972400572096,-0.240908890679476,-0.149095703715443,-0.0545342239638347,-0.0861645575920519,0.131697263443606,-0.376592880445748,0.353768451685609,0.0615780704451126,-0.532562956157142,0.477441677037117,0.236960994331578,0.0190994810804043,-0.254489533888946,-4013.96268563575
-5.74606844834907,-0.298911794416877,1.2188180897627,-0.735979392420206,-0.356632762232664,-0.276698569545305,-1.24328141250604,-1.42440657721567,-0.427492885237323,0.608991432784584,-0.379261000776241,-0.317393537675437,-0.456467404409676,-0.885362331631802,-3.8105540113537,-0.111881874262536,0.139007338376035,-0.074608111391678,-0.307142468895688,-0.320010865417414,-0.441140768311365,-0.447328877033737,-0.655068555308746,0.090825894967585,0.00267538588737238,-0.205915253036521,-0.156562314313607,-0.352869415763409,-0.154199485015247,0.0833642567971304,-0.410447026571373,-0.139161241277175,0.577958291810931,-0.0705965132828019,0.122242867609998,0.763033992781743,-0.266638921060694,-0.137104695359029,-0.0546910407969455,0.0189927354336599,0.103997122564907,-0.334420228177656,0.298981447867132,0.180646924856878,-0.467890716494338,0.405422844040154,0.183702828673943,0.0246920644602653,-0.24014600921898,-4012.30919454026
-5.74637674213642,-0.292712685670905,1.20270326971757,-0.734178698225935,-0.367423424726642,-0.288691331295646,-1.2371383509817,-1.33417229345122,-0.417107110785195,0.633622220741094,-0.376336105871475,-0.347557819401031,-0.483595571049359,-0.887317874703996,-3.7953764568933,-0.116161827140392,0.144411212935809,-0.0722583280587641,-0.290309960580698,-0.300673071632485,-0.441442153958223,-0.488097138884257,-0.671512836741619,0.0908096229259269,0.00278121803881449,-0.20357104715748,-0.160299747966174,-0.329186406844245,-0.156609114976469,0.101705419966355,-0.388389016141139,-0.142717995693979,0.60124143080326,-0.0680682666269698,0.117964899163799,0.724514612142487,-0.283179946952274,-0.136709080363037,-0.0544773325150579,0.032337034901241,0.0970595894346814,-0.315347545782203,0.281766435079623,0.202143315274474,-0.425807222864291,0.381272926570552,0.18557000251912,0.0258434800200624,-0.237595457764731,-4012.01952559831
-5.76998123012664,-0.291833595308768,1.19799652445791,-0.737596874907287,-0.375639719591337,-0.299882541708552,-1.23688508449309,-1.2711291346396,-0.412422841720263,0.650535643705667,-0.375045229461842,-0.355057843700807,-0.498457018967406,-0.885640006939694,-3.81492587905282,-0.120284351293325,0.150842241006603,-0.0736873509635032,-0.282076664904109,-0.285540642541752,-0.446925466128869,-0.484655474636545,-0.677389095806222,0.0943507312742222,0.00165734142702388,-0.202501388228126,-0.170923137369171,-0.313538906709211,-0.145044362044183,0.118521493881309,-0.372660675324251,-0.146295939484807,0.610167578405163,-0.0667898235811637,0.11328068750188,0.705521615201042,-0.29035906835357,-0.135480889500719,-0.0530625293700481,0.0383568941589287,0.088470111875193,-0.294820655737525,0.281418702137355,0.232920343795626,-0.404854800640284,0.379201036750184,0.18539293222722,0.0261786402887011,-0.236283938667115,-4011.91944170853
-5.78433147423464,-0.292853739273027,1.19921437818346,-0.739717420230934,-0.377703520677887,-0.301102438743603,-1.23818922805893,-1.2520378974153,-0.412314297734768,0.657760596747701,-0.375936400115744,-0.353778620087132,-0.497960687049962,-0.884172533315598,-3.81653981136984,-0.12122076816931,0.155768757837813,-0.0751019881476717,-0.277663290258779,-0.282074338088523,-0.449923174096099,-0.477462407273244,-0.677569193980483,0.0951206966711238,0.00113935146223971,-0.206163956288975,-0.172255827284795,-0.310079261542216,-0.136948431284553,0.118193372667349,-0.363185397325403,-0.14686044164648,0.609141241747965,-0.0667685259700395,0.112424809159866,0.718779194005479,-0.291179446007284,-0.136704411272041,-0.052937055329965,0.037501475796232,0.0853596965743899,-0.295276979161766,0.277805249781784,0.221106187101001,-0.402344798999211,0.385887082370206,0.185224158977188,0.0259211023049708,-0.23604082361137,-4011.90127231153
