"b_no_choice","b_mileage","b_range_year0","b_degradation","b_packreplace","b_cellreplace","b_price","b_range_year0_quadratic","b_degradation_quadratic","logLike"
0,0,0,0,0,0,0,0,0,-11420.2929469072
-0.033338801340659,-0.000839127652616239,0.025683274171187,-0.00357627918705997,-0.00201901898908561,-0.008597959400133,-0.0131655548835602,0.00889540629469532,-0.000103653395004813,-11081.3865632806
-0.422066606901397,-0.0120191771896423,0.167351084078272,-0.011887821239507,-0.0438845357203331,-0.061315036908362,-0.150002800274836,0.0381023157656303,-0.00040111045027345,-10412.0538139627
-1.64737468994931,-0.0894596752123556,0.446281044267946,-0.0210048600938686,-0.186572630925207,-0.183615527984098,-0.518353067863551,0.0190079738446918,-0.000468918324678739,-9993.44019516388
-2.57255295622,-0.155217088529167,0.779738987666897,-0.0534089854044379,-0.261749090753807,-0.263395797987129,-0.716691929748672,-0.0463830088457338,4.30942896159048e-05,-9892.01249128598
-2.69599104008977,-0.159304911947921,0.911632139308641,-0.0661941639474374,-0.264682521743718,-0.267937193566874,-0.745507723890378,-0.0743800024863158,0.000273587517715183,-9887.14382242564
-2.69941962456604,-0.159155178953935,0.920156108221937,-0.0659444604496829,-0.265272382121661,-0.266401261079108,-0.750072027369543,-0.075988106761521,0.000267840785818131,-9887.09722644982
-2.70066110168383,-0.159177279782039,0.921987440793553,-0.0659787910384326,-0.265062910552367,-0.266423338106979,-0.750919297597703,-0.0763193692546243,0.00026813380092945,-9887.09619137676
-2.70068738888553,-0.159185367996853,0.922029902985341,-0.0659786448125515,-0.265086833874591,-0.266429730585389,-0.7509443280129,-0.0763246238039555,0.000268107672212524,-9887.09618858183
-2.70068974014129,-0.1591869266761,0.922040978193502,-0.0659787676854445,-0.265090053912663,-0.266433746461535,-0.750949196715046,-0.0763263287951657,0.000268102781464057,-9887.09618844825
