"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-1.78448479311537,1.23902563086003,-1.44023234763653,0.149801674287809,1.65073706591327,-1.08102303508167,0.279686867155386
"b_mileage_a",-0.601052164992902,0.182532332919506,-3.29285313664378,0.000991762646986416,0.24956317263384,-2.40841690963261,0.0160218729111232
"b_range_pw1_a",-0.0947635196081277,0.951788050674924,-0.0995636786372028,0.92069073074506,1.50409316353497,-0.0630037566193117,0.949763512916798
"b_range_pw2_a",0.502229198067783,0.97679059134816,0.514162608153923,0.607138307857482,1.45399905403315,0.345412327934247,0.729784410506555
"b_range_pw3_a",0.472156676839753,0.581779779092035,0.811572855929494,0.417036771965038,1.50106094222235,0.314548639271577,0.753104380814634
"b_loss_pw1_a",-0.23266423572872,0.0712759748209118,-3.26427293787721,0.00109745388811611,0.0855034742592728,-2.7211085601412,0.00650633906337506
"b_loss_pw2_a",-0.0699615601428034,0.0686611186015694,-1.01893999934345,0.308231452569512,0.0701298947156695,-0.9975996745247,0.31847351897968
"b_loss_pw3_a",0.00968014353409399,0.0994223233094444,0.0973638838026876,0.9224374249724,0.14024534015667,0.0690229245640545,0.944971371849919
"b_packreplace_a",-1.39850270632895,0.571241939478076,-2.44817932592049,0.0143580174911524,1.44656757897835,-0.966773157820017,0.333657445793464
"b_cellreplace_a",-1.25118844379225,0.44360493890212,-2.82050160868096,0.00479486330798107,0.655234965279343,-1.90952636854298,0.0561942234830135
"b_price_a",-0.329280393376632,0.415958957646956,-0.791617507744858,0.428583735275085,1.38822475610075,-0.237195304239866,0.812505279058341
"b_no_choice_b",-1.38855401643881,0.511333730877221,-2.71555333159161,0.0066165118743291,0.754284181512445,-1.84088974748822,0.0656377171500744
"b_mileage_b",-0.284791292303957,0.0399629732614961,-7.12637897186572,1.03050901145707e-12,0.0614526864643778,-4.63431802072708,3.58116102461281e-06
"b_range_pw1_b",3.26005588100537,0.472401636998247,6.9010257917829,5.1627591091119e-12,0.971375732135309,3.35612242838207,0.00079043569343229
"b_range_pw2_b",0.682624538253076,0.274626959450395,2.48564285028388,0.0129317674766982,0.437839369929012,1.55907527996797,0.118978563687519
"b_range_pw3_b",1.27175578590355,0.158908388644827,8.0030752104977,1.11022302462516e-15,0.242711342175811,5.23978720772902,1.6076186337699e-07
"b_loss_pw1_b",-0.144157573209432,0.0208928197166907,-6.89986201787157,5.20539167325751e-12,0.0274973897578399,-5.24259118698098,1.58337096545225e-07
"b_loss_pw2_b",-0.123512682678849,0.0158389026795816,-7.79805805853411,6.21724893790088e-15,0.0192174058007265,-6.42712569842179,1.3003931265132e-10
"b_loss_pw3_b",-0.0873138547412706,0.0303739898337405,-2.87462579724312,0.00404506594497533,0.0513413179860347,-1.70065471955786,0.0890078424950067
"b_packreplace_b",-0.276291895053634,0.120739053769016,-2.2883390786067,0.0221177824282854,0.170909106501291,-1.61660136612759,0.105964356839773
"b_cellreplace_b",-0.274562668594277,0.123405861237734,-2.22487543006851,0.026089601856079,0.177937377043252,-1.5430297622491,0.122823554857272
"b_price_b",-1.21483063479719,0.102490451824665,-11.8531103451028,0,0.200940866990153,-6.04571211916153,1.48751500006483e-09
"b_no_choice_c",-2.4685357924226,0.55901116569101,-4.41589711248642,1.00591924874216e-05,0.791232194424551,-3.11986267724852,0.00180935369070001
"b_mileage_c",-0.318556805754792,0.0451586178675518,-7.05417527810759,1.73616676590882e-12,0.0627989696525362,-5.07264382707792,3.92326401144061e-07
"b_range_pw1_c",5.71505018891052,0.404419681002451,14.1314838455547,0,0.473925065354729,12.0589743119682,0
"b_range_pw2_c",3.16922400819485,0.38777339540028,8.1728763390882,2.22044604925031e-16,0.49912741478734,6.34952902666174,2.15975015649406e-10
"b_range_pw3_c",3.81830824467603,0.462662086524866,8.25290931737243,2.22044604925031e-16,0.721766407462462,5.2902271499448,1.22164542482039e-07
"b_loss_pw1_c",-0.127228031454087,0.0252740990065446,-5.03392945565108,4.80526564983208e-07,0.0263804391864241,-4.82281703329491,1.41544799436844e-06
"b_loss_pw2_c",-0.0991864144421652,0.0166013375905788,-5.97460378725467,2.30650054611203e-09,0.0168752347001288,-5.87763170140728,4.16177581286092e-09
"b_loss_pw3_c",-0.071321505924765,0.0204884095008467,-3.48106601060553,0.000499422392881144,0.0195191291703698,-3.65392868207623,0.000258258030487291
"b_packreplace_c",-0.050456259918743,0.1252273868545,-0.402917134870567,0.687009185544227,0.161073933570082,-0.313249070165596,0.754091440362691
"b_cellreplace_c",-0.094444000345181,0.121495950862186,-0.777342781178856,0.436956561042337,0.147672154884016,-0.639551853356231,0.522463992287063
"b_price_c",-1.51297823316803,0.166055193020139,-9.11129730814583,0,0.322984645272935,-4.68436582144486,2.8082805956231e-06
"b_no_choice_d",-14.2487685902824,1.06300687866084,-13.404211088674,0,1.52622508169044,-9.33595493955623,0
