"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-3.05683578332886,1.1015401411583,-2.77505618643593,0.00551921717818971,2.22946212936808,-1.37110908638547,0.170340952876297
"b_mileage_a",-0.337167853308656,0.153277476745422,-2.19972210182359,0.0278266177044364,0.436716494445286,-0.772052023674819,0.440083615768292
"b_range_pw1_a",-0.490123532246438,0.893080742075999,-0.548800919284328,0.58314207936091,1.71721991500677,-0.285416869419725,0.775324784878246
"b_range_pw2_a",2.07943391088508,0.889109085147887,2.3387837843758,0.0193466263633906,1.45656805166289,1.42762564956103,0.15339963681522
"b_range_pw3_a",1.36145020117497,0.47752061182699,2.85108153963463,0.00435707946195651,0.840760124207151,1.6193087207351,0.105380855260845
"b_loss_pw1_a",-0.216050581875792,0.0616334005677218,-3.50541394577765,0.000455897853816056,0.0845932537415169,-2.55399304696278,0.0106495383135465
"b_loss_pw2_a",-0.0355811679780682,0.0563241418606929,-0.63172143955733,0.527568916001002,0.0701686579885536,-0.50708063967637,0.612098238630947
"b_loss_pw3_a",0.0515598036668993,0.0738757551870383,0.697925910014191,0.485223529772669,0.121991170034392,0.422651931712462,0.672549231130288
"b_packreplace_a",-0.864237513396245,0.377011430578656,-2.29233769403163,0.0218861643153876,0.896793568280994,-0.963697269877666,0.33519772350558
"b_cellreplace_a",-1.15539533139853,0.354572657768425,-3.25855732551474,0.00111980249873933,0.390542098238216,-2.95843991367554,0.00309200515024255
"b_price_a",-1.62937763511146,0.47114853607848,-3.45830987542335,0.000543575780984629,1.49693525810133,-1.08847568810565,0.276385163656391
"b_no_choice_b",-7.96073727063648,0.498401785858564,-15.9725295865926,0,1.3272014909978,-5.99813767889271,1.99593275240773e-09
"b_mileage_b",-0.279145654670613,0.0260164963107378,-10.7295637097529,0,0.0324453977221525,-8.60355163653989,0
"b_range_pw1_b",0.597701921374325,0.242344873025646,2.46632789838749,0.0136506309050963,0.514793518772063,1.16105176071374,0.24562085051939
"b_range_pw2_b",1.38422183183441,0.254870001779649,5.43108966205898,5.60109818525945e-08,0.705060636528054,1.96326636337374,0.0496152317355407
"b_range_pw3_b",1.16805441849144,0.126270543294157,9.25041096695348,0,0.212367222412525,5.50016337371727,3.79439508702006e-08
"b_loss_pw1_b",-0.183326523153421,0.0174384175057291,-10.5127958482008,0,0.0354802768198278,-5.16699810670503,2.37883671871941e-07
"b_loss_pw2_b",-0.190461883201401,0.0133085696791926,-14.3112210998287,0,0.0298720926454344,-6.37591364830314,1.81875403626464e-10
"b_loss_pw3_b",-0.179548573676405,0.0227886104190092,-7.87887327814575,3.33066907387547e-15,0.0475041913963551,-3.77963645730388,0.00015705750212569
"b_packreplace_b",-0.166538786232749,0.0787599041951729,-2.11451230082826,0.0344715352730578,0.108697061764934,-1.53213696422542,0.125488639801655
"b_cellreplace_b",-0.23998722284042,0.0788689231655833,-3.04286166474687,0.00234340032646241,0.111229230604621,-2.15759132321509,0.0309596199044171
"b_price_b",-0.952834452782159,0.0675191880593207,-14.112054368086,0,0.119265563600257,-7.98918333187756,1.33226762955019e-15
"b_no_choice_c",-3.99450036989468,0.402714513010952,-9.91893820768772,0,0.709438698872762,-5.63050814149496,1.79679457978921e-08
"b_mileage_c",-0.153650848456461,0.0235013865647933,-6.53794821989952,6.23685547651576e-11,0.0333280462206995,-4.61025670208747,4.02172061075845e-06
"b_range_pw1_c",-0.0756504465146865,0.177334576953667,-0.426597270618308,0.669672686053029,0.210987963548517,-0.358553375473907,0.719929231436864
"b_range_pw2_c",-0.0511439303944656,0.181192464755532,-0.282263009466039,0.777741846980846,0.282405000499969,-0.18110136259599,0.856288015086089
"b_range_pw3_c",0.253713923588492,0.125230701277818,2.02597223364294,0.0427676301014543,0.179508274209023,1.41338289115889,0.157543173332684
"b_loss_pw1_c",0.00151228095465242,0.0148852076733666,0.101596228137164,0.919077173469138,0.0152879518341468,0.0989197880172954,0.921201957396238
"b_loss_pw2_c",-0.00930180842781059,0.00942401862052978,-0.987032051013464,0.323626926403502,0.00989276915760939,-0.940263366062247,0.34708248572957
"b_loss_pw3_c",-0.0217151100383417,0.0109980106214615,-1.97445799842808,0.0483296888035942,0.0109459263325002,-1.98385311381697,0.0472722170375339
"b_packreplace_c",-0.0329677943602141,0.0802962214955548,-0.410577157258131,0.681382616260263,0.117443371801032,-0.280712260339961,0.778931104325421
"b_cellreplace_c",-0.133134177537375,0.0815202207554979,-1.63314299573209,0.102438925640889,0.124806789920878,-1.06672223219407,0.286097284760607
"b_price_c",-0.21318323419223,0.0506613796293693,-4.20800293540849,2.5763752085517e-05,0.0835386672632934,-2.55191088361906,0.0107133917547924
"b_no_choice_d",-7.57655999883743,0.739286516492605,-10.2484758342177,0,2.31389268630741,-3.27437829924964,0.0010589474187952
"b_mileage_d",-0.243139559160719,0.0345829560710534,-7.03061816523637,2.05613304160579e-12,0.0532670542628123,-4.56453923584928,5.00592575480852e-06
"b_range_pw1_d",3.54026832547128,0.383210256790423,9.23844876993324,0,0.932017987318114,3.79849785480903,0.00014557568892104
"b_range_pw2_d",1.57983728152275,0.30009792094426,5.26440595306952,1.40643372059657e-07,0.624974726506539,2.52784187026836,0.0114766029208073
"b_range_pw3_d",1.46279436144016,0.451719312696261,3.2382816504101,0.00120252030185419,1.30420113987415,1.12160181180437,0.262031780958277
"b_loss_pw1_d",-0.0911103257787255,0.0213713301953256,-4.26320331706136,2.01517003253215e-05,0.0239886530568951,-3.79805925587546,0.000145833464522793
"b_loss_pw2_d",-0.0603100494556194,0.0133568916422651,-4.51527578952433,6.32344180040434e-06,0.0170176865538767,-3.54396288030587,0.000394160735826654
"b_loss_pw3_d",-0.0584747689775567,0.0149612836448052,-3.90840588052483,9.29071281237093e-05,0.0156088880631067,-3.74624821070811,0.000179498992792571
"b_packreplace_d",-0.0769761804235886,0.0975423273228236,-0.789156692651285,0.430020430225759,0.1222243736401,-0.629794026601039,0.528829354356694
"b_cellreplace_d",-0.0594423867400805,0.10132869122167,-0.586629374399425,0.557452650049417,0.134730693136483,-0.441194098807648,0.659072485021764
"b_price_d",-3.15225760097553,0.231225181168267,-13.6328473613848,0,0.682040567866783,-4.62180367193529,3.80417952561274e-06
"b_no_choice_e",-2.05970415018496,0.344271815112957,-5.98278470605896,2.19354623354207e-09,0.530976086990829,-3.87909022769331,0.000104847862285595
"b_mileage_e",-0.199835901356335,0.0310147282615746,-6.44325817305064,1.16935572336274e-10,0.0522365108239733,-3.82559819184215,0.000130454922465884
"b_range_pw1_e",2.27926988650875,0.337301192988184,6.75737273952835,1.40516487334708e-11,1.11086974109868,2.05178861407683,0.0401902103205942
"b_range_pw2_e",0.84252133969711,0.230292684325133,3.6584806945392,0.000253714848351017,0.477208645780282,1.76551985624549,0.077476436093852
"b_range_pw3_e",1.40826221088263,0.165236792595683,8.52269151900389,0,0.319058819121491,4.41380123815476,1.01571218842356e-05
"b_loss_pw1_e",-0.11290416303987,0.0178169199445731,-6.33690690596946,2.34423591649602e-10,0.0291341646660724,-3.87531835334721,0.000106485390210187
"b_loss_pw2_e",-0.0925804066701618,0.0133956341734392,-6.91123730847544,4.8043791167629e-12,0.022197033101907,-4.17084599753145,3.03470904929881e-05
"b_loss_pw3_e",-0.0433345231142582,0.0205200342204418,-2.11181534342125,0.0347022907384253,0.040028034227776,-1.08260432844808,0.27898408524153
"b_packreplace_e",-0.282733466341119,0.0985773063955028,-2.86813950065507,0.00412893437002992,0.125478365825864,-2.25324472852548,0.0242437226034375
"b_cellreplace_e",-0.291725815730221,0.102448510118275,-2.8475359514104,0.00440591174189198,0.147711763029686,-1.97496671725184,0.0482719251535815
"b_price_e",-1.50258106702996,0.0938115484832722,-16.0170159359206,0,0.1686171304642,-8.91120055769764,0
"b_no_choice_f",-4.15852527645642,1.07635062588366,-3.86354146730054,0.000111754911683137,1.85664056398455,-2.23981170999074,0.0251031493374525
"b_mileage_f",-0.307198355131061,0.0821059870330483,-3.74148544134072,0.000182935776696924,0.139838032101756,-2.19681549084959,0.0280336262786383
"b_range_pw1_f",0.347767087517308,0.763216673764067,0.455659709060304,0.648634699309898,1.63673629511493,0.212475942859744,0.83173574412338
"b_range_pw2_f",1.21429017054535,0.55109104805692,2.20342931504111,0.027564503902149,1.08367369766254,1.12053118310847,0.262487471952208
"b_range_pw3_f",0.404264880060356,0.290317852815604,1.39249059656392,0.163773887212114,0.504054601546942,0.802025968654326,0.422537936687004
"b_loss_pw1_f",-0.0182807286592702,0.0416051889861875,-0.439385785877315,0.660382024129017,0.0601781398800099,-0.303776897985223,0.761297868250166
"b_loss_pw2_f",-0.118705140327705,0.0314211493267819,-3.7778739120318,0.000158172920116106,0.0533433869795769,-2.22530189868057,0.0260609780811094
"b_loss_pw3_f",-0.0450726387848867,0.0336180525226709,-1.34072724035668,0.180009026921951,0.0424204572621373,-1.06252128557597,0.287999100126736
"b_packreplace_f",-3.42323351550797,0.363243709645241,-9.42406826219027,0,0.55043092734048,-6.21918817688539,4.99733587844275e-10
"b_cellreplace_f",-3.34762393464316,0.326650668759038,-10.2483302647472,0,0.501313231987788,-6.67770910687773,2.42705855413305e-11
"b_price_f",-0.383755064718101,0.152231728103519,-2.52086125211128,0.0117068002527334,0.302802664715894,-1.26734375035359,0.205032403282865
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_rangeanxiety_a",0,NA,NA,NA,NA,NA,NA
