"b_no_choice_a","b_powertrainbev_a","b_powertrainhev_a","b_range_bev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainhev_b","b_range_bev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","delta_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_hhincome_b","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2495.3298500158
-0.135614436667381,-0.114231389722825,0.0677600093329559,-0.0420108485151134,0.00700497147915539,0.00373825282925797,0.0878756450328298,-0.019246681681457,-0.135614436667381,-0.114231389722825,0.067760009332956,-0.0420108485151134,0.00700497147915543,0.00373825282925801,0.0878756450328299,-0.0192466816814571,0,0,0,0,-2417.36653541476
-0.812956053543744,-0.420261848797765,0.10910329500085,0.0337165453745622,-0.0142554064163062,-0.0158057546091126,0.125408212725555,-0.187012011311951,-0.812956053543747,-0.420261848797763,0.109103295000853,0.033716545374563,-0.0142554064163058,-0.015805754609112,0.125408212725556,-0.18701201131195,-7.2322862177147e-15,8.80822278402916e-14,-1.61343624995195e-14,1.81824015749858e-13,-2311.29970322227
-3.49782644641088,-1.46044886928596,-0.130874356402736,0.209905147618551,-0.108592403935138,-0.0724492097266688,-0.31606112193932,-0.625820992560891,-3.49782644860612,-1.46044886906033,-0.130874354573777,0.209905148351141,-0.108592403684183,-0.0724492096644874,-0.316061121771234,-0.625820992259859,1.28369700727574e-10,2.02097751984611e-09,-8.42944127091566e-10,3.63864325762371e-09,-2140.15757901586
-5.23629971035792,-2.02125358770997,-0.368635842850687,0.193151022272959,-0.174594424452948,-0.0965874450029697,-0.654371930404374,-0.928172748815898,-5.26835398510351,-1.97424227168412,-0.341841242114363,0.229984535150549,-0.167621294971107,-0.0937896266253269,-0.658035376687337,-0.914023171000906,-0.0999402532320254,0.565210107738456,-0.25137017703772,1.06503269907931,-2124.99575964778
-5.15964771513314,-2.02629601839628,-0.438728778005417,0.191940775089502,-0.182259147740969,-0.100700055688336,-0.670658745637067,-0.949736184665657,-5.26170793024298,-1.95190921084357,-0.344628543155307,0.24785730809725,-0.169041257765545,-0.0944080936317974,-0.675187526980138,-0.913428379612557,-0.633745755927261,1.56294761805998,-0.292665424871211,-0.19179737856676,-2117.50927679184
-5.19421880699974,-2.15068947031164,-0.414623506822759,0.141401802433702,-0.183330419025919,-0.104163668742315,-0.661418938824643,-0.944124404509782,-5.76549028145556,-1.78732667790069,-0.238557286644896,0.324302014464101,-0.128546179842158,-0.0344752389010902,-0.656811674713302,-0.955523472132018,-2.3582053204339,2.20700762738815,-0.0219083914719195,0.379038334516329,-2077.80302136564
-5.05300326622518,-2.24455483186652,-0.690763397214905,0.125779923821037,-0.224014057070387,-0.114378987171746,-0.616877062081193,-0.988383363026635,-5.11188668611985,-1.78265785372556,-0.201253855208237,0.302206673512611,-0.155063032088325,-0.123723731920726,-0.682528090457248,-0.883375634943666,-0.287884743130726,1.90074555886249,-0.684742112828004,0.256583768067599,-2060.82403138935
-5.41607569516855,-2.7146998312972,-0.916188912054177,-0.251593417922714,-0.33745808976134,-0.10256967936531,-0.406245983841748,-1.11298681316761,-5.68972023853494,-1.75302374680383,-0.105492087972038,0.351255266874749,-0.156278152439215,-0.108594122097514,-0.863591333428376,-0.970312847678325,1.52649157394436,0.465582690703095,-0.580037601964394,0.0464728164514686,-2021.06489900503
-5.26659603970198,-3.2490532534909,-1.01745439467275,-0.306226533765602,-0.346508045342636,-0.074578218994298,-0.361757867277071,-1.07707467836214,-6.0540548428961,-1.54735061310393,0.0604973653758839,0.317090123938408,-0.150292004904741,-0.10908514584445,-0.931018654983173,-1.02872549144124,0.987830047891369,0.54953590038856,-0.609896368299829,0.0317404409543605,-1978.98608701253
