"b_no_choice_a","b_powertrainbev_a","b_powertrainphev_a","b_powertrainhev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainphev_b","b_powertrainhev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainphev_c","b_powertrainhev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","delta_c","logLike"
0.154341343324631,-0.757690598256886,0.35018244991079,-0.422369494102895,0.00513861142098904,0.645098368171602,-0.803736057132483,0.529989132657647,-0.772463891655207,0.447814437095076,-0.758594637271017,-0.37993986858055,-0.921142272651196,0.107041536830366,-0.331901469733566,0.838760882150382,-0.457980185281485,-0.834349922835827,0.326470773667097,0.261874990537763,0.377952680457383,-0.447863406967372,0.87798630585894,0.329533760435879,0.972437320742756,-0.962209266144782,-5507.38165959635
0.119345972408982,-0.750549931140143,0.386697865815356,-0.358495026897281,0.0130221296884046,0.649288190333781,-0.800227020602679,0.546006119602787,-0.801667869475364,0.405870822124752,-0.721667693190735,-0.330482374147433,-0.913062226291465,0.110051540834448,-0.32898033911576,0.845082150753642,-0.378969951395096,-0.808642036700776,0.281768164782459,0.284843180882659,0.363622822781256,-0.446521140686022,0.868709391952018,0.28870336186553,0.899962817743772,-0.82814705486698,-5384.72712972947
-0.084018879214703,-0.71037071133203,0.327883455472702,-0.158080591114125,0.0147826851423724,0.627269250615542,-0.779931639068294,0.587803597928642,-0.899988421120506,0.248942187510163,-0.725699387244248,-0.330058605116358,-0.877037859319075,0.0910387081571906,-0.31428888759902,0.821817390494739,-0.434725364450935,-0.794093041155023,0.249869070556164,0.306856184446412,0.345286103404049,-0.438084285083033,0.845780028837288,0.269643591686019,1.26539028991465,0.0668612268777616,-5120.03648676677
-0.0278692147629592,-0.459361355508948,0.279021542408467,0.150037826529771,-0.0129788638509313,0.588617209247959,-0.716379256314756,0.670250116345728,-1.2271297165126,-0.238083142780224,-0.777463086120808,-0.347466268144458,-0.714690021901048,-0.00188271999081951,-0.248377105346673,0.71897630524056,-0.94570472078307,-0.755848766355774,0.042224930990438,0.41992555873322,0.216369405932626,-0.38032663918715,0.687921903879714,0.132121983453288,-0.669160239194138,-0.920724109731969,-4394.37770407084
-1.16204809866817,-0.500485305441102,0.0443413919879569,0.344123317730798,-0.0937236552074572,0.478973580255864,-0.647430345476615,0.744336036620481,-1.24931045850179,-0.34544238004789,-0.778492854091078,-0.361950719996583,-0.693469499497441,-0.00295408458973965,-0.243562344089478,0.71473214987424,-1.09835716802769,-0.741633172866696,-0.0309436306959064,0.449204746203337,0.173948116365362,-0.359888353799804,0.630273592099722,0.0777044580806612,1.70650333251629,1.05336541100332,-4030.08576993986
-2.62137431187083,-0.486028921125901,-0.252212043080459,0.588288359907006,-0.20971165772184,0.310587642645973,-0.539376711403118,0.852383248565774,-1.32804854151369,-0.580184506994058,-0.802244342162783,-0.395807160001847,-0.597580127613939,-0.0499575985870302,-0.205403360888773,0.654702810443609,-1.5376650261634,-0.739287917150602,-0.191858682708495,0.511297671154516,0.08118089287878,-0.316548201107556,0.507002347249185,-0.0285482065433288,3.760497219125,2.92436695069411,-3568.40249167792
-2.4924969672751,-0.0151603572529874,-0.177228480605425,0.955292388350519,-0.233179122795419,0.183056128885262,-0.380435898458168,0.604312322653473,-1.45906976582209,-0.789777419699031,-0.838294038927466,-0.439992150960248,-0.471584498274598,-0.111166938591114,-0.160899785832039,0.556849583476065,-1.93719482117294,-0.767062988823297,-0.299210989851022,0.524613946714046,0.029483800998509,-0.286408340629511,0.422842467803485,-0.110905844920007,4.57497970116467,4.28046813510465,-3212.97891547404
-2.63708749888622,0.403961227950352,0.148080605553507,1.57382238774775,-0.273996151935055,0.182501551736528,-0.339564148678368,0.525584536987677,-1.74748394575147,-0.940264964163857,-0.870337874405284,-0.468572620034544,-0.368463443263293,-0.154043834378099,-0.130143878125562,0.433825812122552,-2.77719789409976,-0.829270036297975,-0.527818415349313,0.500261330173978,-0.0661111428630584,-0.225135781313983,0.237027207949693,-0.255199991648613,5.39263096770167,4.06633907117315,-2856.77255133377
-4.64859821812309,0.627650277366354,0.266321154477854,1.55578054214034,-0.477587467368853,0.251301130909244,-0.497029637539665,0.58871925199926,-2.23499590996255,-1.08293244422757,-0.873930012396092,-0.438818982508469,-0.265042697888923,-0.185856848010294,-0.0767221134881,0.190869707284091,-3.61555892308292,-0.888319510725131,-0.686211232811067,0.515256554688807,-0.101073992533207,-0.193848329573642,0.126680903603497,-0.37416724961548,5.03256381773356,4.29567887363439,-2570.33867477507
1.51690762500655,0.971301672874229,1.49909352494028,2.60910024005578,0.586026710447091,0.000153265426879379,-0.244578204623023,0.349044809300972,-3.29131651157812,-1.46998052083038,-1.25639549490197,-0.787725320788508,-0.296248955138865,-0.174028490185013,-0.0539246114623013,-0.0560136774035349,-4.92708033950019,-0.986506258001398,-0.849790436706742,0.435694195622184,-0.134094232155831,-0.156782958798283,-0.0129375805658114,-0.437742871257337,4.8933950894297,4.93527271466999,-2410.78790732449
