"b_no_choice_a","b_powertrainbev_a","b_powertrainhev_a","b_range_bev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainhev_b","b_range_bev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainhev_c","b_range_bev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_hhincome_b","gamma_ev_charge_b","gamma_ev_neighbor_b","gamma_knowledge_ev_b","gamma_knowledge_subsidy_b","delta_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","gamma_ev_charge_c","gamma_hhincome_c","gamma_ev_neighbor_c","gamma_knowledge_ev_c","gamma_knowledge_subsidy_c","logLike"
-6.16,-3.51,-2.67,-0.92,-0.35,-0.05,-0.61,-1.46,-5.2,-0.47,0.28,0.38,-0.08,-0.1,-0.66,-1.01,-9.4,-6.61,-0.11,1.46,-0.36,-0.17,-1.67,-1.29,0.05,1.47,-0.63,0.06,0.1,0.1,0.1,0.1,-0.36,0.5,0.04,0.2,0.12,0.2,0.2,0.2,-1869.22934844662
-6.15711087970024,-3.51295841972715,-2.68352043221441,-0.928707010521813,-0.350736568515307,-0.0498409135989567,-0.608886642661666,-1.46298620244515,-5.19693530981793,-0.472220027377249,0.277633629737728,0.378290184057108,-0.0802269693914816,-0.098696498642177,-0.656879069054307,-1.01211114528614,-9.39494150471498,-6.60681896103438,-0.123400529728838,1.45978408503424,-0.361145015275629,-0.169604725185542,-1.66859540895051,-1.29061038955592,0.012491285244224,1.47828721817327,-0.6377786033976,0.0570068074643234,0.182693253971098,0.280061298540627,0.102287165097427,0.176005485457787,-0.388878769851251,0.504837176336348,0.0263522881536368,0.174407278811669,0.117223424770612,0.173290852551252,0.0887971205895767,0.245415338740645,-1867.10382897556
-6.1758241467655,-3.46694925651966,-2.67674511758864,-1.00140805217078,-0.354842141476391,-0.0531209133644895,-0.561405369738048,-1.48134255855188,-5.17826679051433,-0.468177817593579,0.294817981849815,0.373272055825533,-0.0784218855736558,-0.0980504735523399,-0.653739477689455,-1.01684978368133,-9.30484267007419,-6.54561610272114,-0.147404476818779,1.41953762155807,-0.365894002481851,-0.161999596803718,-1.64653565461403,-1.27035092298878,-0.203948980204844,1.45369031499079,-0.658786278507051,0.0294555848665753,0.3912768897432,0.909723792506735,0.160713563499296,0.570764907128669,-0.293342727167655,0.46473383108356,-0.0315014128746022,0.301067445380754,0.109794004945725,0.541527629169444,-0.322967517082524,0.665737207141133,-1864.73690724593
-6.25091029078573,-3.31170859237866,-2.74799275096867,-1.19128487733681,-0.362513540498148,-0.049007552295895,-0.60353857097568,-1.49641277716933,-5.20012290592464,-0.47865081810118,0.274720095711493,0.373592411312478,-0.0822388897780546,-0.0990861687991147,-0.662802351685852,-1.00165242378558,-9.31425906953868,-6.64655215935755,-0.149940545789213,1.45878822804504,-0.352091913750414,-0.152254563249916,-1.65213695133624,-1.31389139003613,-0.192907247894244,1.37907714512556,-0.643036876878253,0.0247259490384229,0.535752409202198,1.00508615490892,0.0341305073694852,0.74109484280315,-0.313852904330444,0.419906000372221,0.0121507986049094,0.421137962711513,0.103406096874197,0.626558813017294,-0.446971793602451,0.833108101517034,-1864.17361534737
-6.32215609798823,-3.43025006387816,-2.77030161528133,-1.06181037832998,-0.373855552984013,-0.0509184194381829,-0.58891791603965,-1.52616595202925,-5.21773966153938,-0.477508182836022,0.266214342630364,0.367569689441872,-0.0844203223635847,-0.100948901633998,-0.674566848718219,-0.986927205457072,-9.30588586575813,-6.65343747915502,-0.165366576296174,1.43001620256662,-0.341635377557598,-0.144655922109039,-1.6459106940149,-1.34783637168952,-0.186792619511533,1.36927549189972,-0.617431519653231,0.0257997884767395,0.565894434492482,1.12621482712281,-0.0295446965647196,0.81555836353186,-0.301407535657512,0.418170461603753,0.0329504087055696,0.4695907331041,0.101237634662179,0.719831439781809,-0.50018483547445,0.932171107754762,-1863.86110131152
-6.46793802624497,-3.56360629808012,-2.826777292778,-0.91072434109157,-0.394262899109598,-0.0539763587179195,-0.579683893293737,-1.58328505758421,-5.23910559535847,-0.476281289786221,0.262483988040859,0.357430852031137,-0.0891322079477287,-0.104403737861293,-0.691251251001791,-0.958946418287945,-9.26572470551627,-6.60349111468628,-0.209432988294084,1.33899252855673,-0.322273039792338,-0.130952676626168,-1.62799001129118,-1.40535904546101,-0.193741386681727,1.35355119233403,-0.579565150951303,0.0315695615332662,0.593026134085418,1.3039703752931,-0.109373128083804,0.962998096831526,-0.269556256817553,0.407574728132616,0.0631572690040292,0.554866428610765,0.101694008081797,0.815582892200684,-0.592716160782145,1.12728702612197,-1863.54969287511
-6.49199022998061,-3.61728449729766,-2.82567493260657,-0.843385888033323,-0.400126955438497,-0.0553605307925092,-0.57213636340509,-1.59199952171013,-5.23937017903024,-0.474491283126135,0.265809866616522,0.353235551543288,-0.0911501198980256,-0.105223213680029,-0.693285801539927,-0.950815197595329,-9.25645204592441,-6.52950278613561,-0.229011968430624,1.2747945350601,-0.31724226338378,-0.128424383542124,-1.62115661695778,-1.4184202312891,-0.197354960891734,1.36445747076681,-0.576289434666512,0.0343042825441045,0.579724089302777,1.29329111012894,-0.0983430553593373,0.982578669322941,-0.250285844091339,0.409819945496123,0.0665039007967821,0.556679598694272,0.101948953725658,0.792787093034039,-0.59176340061417,1.16259742357193,-1863.42827215436
-6.53558008399191,-3.66598883679944,-2.82901842438665,-0.76914772006368,-0.409575969810537,-0.0584899099143847,-0.56783925154485,-1.60486107092652,-5.23965225982627,-0.469027890623314,0.275573398858826,0.343948477036126,-0.0951981470680359,-0.106825531294122,-0.697985341904448,-0.935842782096891,-9.22087327766462,-6.33721518465716,-0.273399065795897,1.1232489664533,-0.307293615752652,-0.123315567232037,-1.60036975720677,-1.43986964491881,-0.213198034158898,1.38033037093069,-0.575875398096962,0.0398331261298954,0.54029506991626,1.2627853934811,-0.0477489347119086,1.01410343152061,-0.209595199763081,0.409381639088149,0.0636119688028654,0.547906065422984,0.1040051995581,0.721780557871843,-0.584760441820736,1.22083025515063,-1863.27218863225
-6.52884480356634,-3.64898643987889,-2.82222764413631,-0.784320982843843,-0.409367980486799,-0.0596709143261909,-0.567268000545073,-1.59952288116802,-5.2371134354777,-0.469633074399014,0.280315445179403,0.343295485646849,-0.0962179371606334,-0.106905913264543,-0.697107601000667,-0.93481954311796,-9.20743738943385,-6.26674665139792,-0.282966314476287,1.07978841069525,-0.306161533974447,-0.122686174617199,-1.59349081658341,-1.43825128121941,-0.221862667229068,1.38716702921802,-0.582169261715046,0.0409257307331865,0.53396697356989,1.22687117626526,-0.0209908533480308,1.02153982523436,-0.203899161553016,0.411367225367283,0.0622061208163446,0.541871736476833,0.105163215654081,0.678403443824007,-0.580120079986482,1.23067361396046,-1863.23616272308
-6.52470873730523,-3.59806275923155,-2.82277762789077,-0.836351400035163,-0.407568118439186,-0.0609600551430969,-0.57256015055579,-1.59624487639026,-5.23663840593661,-0.470670391264812,0.283826996367968,0.342646534810869,-0.0971331785141288,-0.106873368678139,-0.697565501424701,-0.934784806248625,-9.1963386560668,-6.19543539704334,-0.291175718493183,1.03273046734861,-0.305498234451906,-0.122211655235785,-1.58370325457852,-1.43622520971181,-0.232416381018959,1.38638633813023,-0.590056068444406,0.0412008311517264,0.526816885557459,1.21114938448563,0.012716415453474,1.02589973379784,-0.19997858119992,0.40717990942509,0.0561805390885807,0.528035666246816,0.105962185399022,0.6557898486416,-0.577372974585041,1.23636378615891,-1863.21273037949
-6.51625213380467,-3.57844337918854,-2.81974199507624,-0.860613994359212,-0.406184733840824,-0.0610186328376053,-0.573482000809103,-1.59263050540233,-5.2379936298696,-0.472719716347553,0.284004671419505,0.343626558249445,-0.0969454746739176,-0.106725268790799,-0.698686705429165,-0.936668897648384,-9.19563463116748,-6.18802584623154,-0.29065746010372,1.03237037882041,-0.30598355710744,-0.122625645152381,-1.58185997053797,-1.43227600943525,-0.233106226833871,1.38509905912098,-0.59124167963023,0.0402767375425206,0.532626124210562,1.20254638383709,0.0202120179155823,1.02447670419484,-0.206939106440807,0.406165071080597,0.056861520646888,0.531352400563905,0.106448799491404,0.640602656438778,-0.57798687221688,1.2327189693266,-1863.20700844662
-6.51217226867213,-3.56403809875125,-2.81908604591656,-0.877783321342867,-0.405076410899622,-0.0609280712795026,-0.5747422999095,-1.59231691400558,-5.23867269358866,-0.474950361318307,0.283467983105127,0.34461441229739,-0.0969843937558817,-0.106540606941778,-0.699007905414179,-0.937738468077585,-9.2039809424094,-6.19691971391161,-0.28925885482737,1.0355750836053,-0.306547869342934,-0.123025191239893,-1.58110189183415,-1.43160403598718,-0.233447700167569,1.38222181114016,-0.591778350438655,0.0397487599087342,0.535230854271701,1.20704594780701,0.0218723276403958,1.02185428712524,-0.211750078378683,0.40284162232411,0.0565126801800319,0.528620491178075,0.106316355671016,0.648852010811161,-0.580187531872991,1.22975164598161,-1863.20446875573
-6.51089866393062,-3.56162986043829,-2.81808277132392,-0.88129451648946,-0.404723180075824,-0.0607102755173607,-0.575128775302616,-1.59295489004626,-5.23998309420689,-0.475987638722669,0.282502752877006,0.344962151777202,-0.0968927732143433,-0.106436315506029,-0.699995407388188,-0.938408773651845,-9.21145177874746,-6.21149031119816,-0.28846105179974,1.04263114004463,-0.306722164700987,-0.123400684949952,-1.58115154808126,-1.4316483101355,-0.231803632315456,1.3793012339799,-0.590247795578252,0.0393280847733868,0.53554574566646,1.21171556257071,0.0201034107305722,1.01984876150742,-0.215453574757196,0.401040520320554,0.0571812838425399,0.528672244590799,0.106207680482933,0.654005212216796,-0.581238055736759,1.22657152930118,-1863.20348756971
-6.51097564465547,-3.56339166343339,-2.81677103719746,-0.879274123613835,-0.404655320572158,-0.0605777089518009,-0.575174656755428,-1.59382170215735,-5.24036465165465,-0.476731699122467,0.282269269824668,0.345251238699611,-0.096954140630354,-0.106374656254878,-0.700277681430952,-0.938606271391814,-9.21686579854544,-6.2230888191487,-0.288354531643337,1.04781669882033,-0.30669211386231,-0.123587274158666,-1.58114008236799,-1.43220003465363,-0.230975067499458,1.37820339220478,-0.589180632134144,0.0392567828581604,0.535098903589247,1.21449377187523,0.0175908399128122,1.01931104274671,-0.217275416519594,0.400071526883643,0.058059086714424,0.528617319396891,0.106148214478163,0.658596699026836,-0.582395008568334,1.22534162427522,-1863.2031068101
-6.51137095768425,-3.56555591100096,-2.81548374684617,-0.876179354111829,-0.404730610758529,-0.0605053291748043,-0.57491640676113,-1.5946338792778,-5.2406735586612,-0.476796860056811,0.282234898801966,0.345245334606191,-0.0970148930974998,-0.106350931176439,-0.700608046970111,-0.938629561992006,-9.21917509358808,-6.22983444080294,-0.288835190235916,1.05085944500143,-0.306515031024588,-0.123689249768942,-1.58072507096438,-1.43256558770953,-0.230543958717174,1.37755576674081,-0.588255214369355,0.0393159147688386,0.533593388456607,1.21521002520825,0.016280917214033,1.01973941836114,-0.217711502182808,0.399820202600154,0.058595579892607,0.528403949801043,0.10613328888515,0.659996255999602,-0.582664855957653,1.22511085258953,-1863.2029416937
-6.51191023043017,-3.56694026904804,-2.81457345030889,-0.873804716752904,-0.40480651835965,-0.060501872351218,-0.574843834345025,-1.5951119421875,-5.24059680638612,-0.476711715132957,0.282523546152769,0.34524996971953,-0.0970877001527861,-0.106346470178581,-0.700687195100273,-0.938566455218454,-9.21952046164255,-6.23228711538617,-0.289470422223437,1.05202774187085,-0.306346829498608,-0.123695959206253,-1.58029131095752,-1.4327509864949,-0.230679708705504,1.37764446494137,-0.587974445904415,0.039404116783728,0.532784702021607,1.21503377503293,0.0157200408491853,1.02040659996553,-0.217637795497425,0.399837359045316,0.0589810916729131,0.52833533443953,0.106161692051678,0.660260132486115,-0.582806999910834,1.22523199064605,-1863.20287576274
-6.51194028864507,-3.56701357785299,-2.81399530867637,-0.872996022075954,-0.40485013570834,-0.0605136266113043,-0.574645624258225,-1.59529594218304,-5.2404638166005,-0.476432212865383,0.282775999816629,0.345208226140898,-0.0971155769533578,-0.106349630458216,-0.700739364934367,-0.938523297355642,-9.2185783927806,-6.23217563131673,-0.289920729018593,1.0522627129063,-0.306236919611246,-0.123685567305787,-1.57984401611747,-1.43265926085948,-0.231015018194792,1.37782393593465,-0.587895666991797,0.0394881607495553,0.532265568069193,1.21411026800818,0.0157954581120416,1.02107216424706,-0.217224994672232,0.400000042424658,0.0590076350344469,0.528239264730907,0.10618314142725,0.659541612025384,-0.582711463340913,1.22567567135247,-1863.20285087314
