"b_no_choice_a","b_powertrainbev_a","b_powertrainhev_a","b_range_bev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainhev_b","b_range_bev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainhev_c","b_range_bev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_hhincome_b","gamma_ev_charge_b","gamma_ev_neighbor_b","gamma_knowledge_ev_b","gamma_knowledge_subsidy_b","gamma_veh_refuel_b","gamma_veh_range_b","delta_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","gamma_ev_charge_c","gamma_hhincome_c","gamma_ev_neighbor_c","gamma_knowledge_ev_c","gamma_knowledge_subsidy_c","gamma_veh_refuel_c","gamma_veh_range_c","logLike"
-5.24,-4.1,-2.09,0.27,-0.27,-0.04,-0.59,-1.3,-7.23,0.17,1.1,0.88,-0.23,-0.11,-1.29,-1.57,-7.71,-2.98,-0.02,0.47,-0.27,-0.11,-0.86,-1.19,-1.51,1.57,-0.55,0.04,0.14,0.41,-0.61,0.71,0.04,0.36,-0.11,0.38,-0.11,0.08,0.02,0.35,-0.54,0.48,0.06,0.26,-2829.67968747975
-5.26005450653819,-4.10179578560415,-2.09853075496091,0.264231339938273,-0.268181029945717,-0.0431711333837545,-0.597513410951317,-1.3050445597181,-7.2327737247186,0.161529022351008,1.10774229702677,0.8849619230921,-0.23129795806742,-0.106553538900419,-1.2979409525786,-1.56872413755964,-7.6779415297075,-2.96803950192661,-0.026085665160499,0.459686771919297,-0.268963603552319,-0.108415664358619,-0.853269145588304,-1.18848173384409,-1.49283634318412,1.57478470589516,-0.558077391906321,0.0355535362322422,0.142800665307362,0.417071781156516,-0.618750279050593,0.728064898949973,0.0410892987704974,0.351194761006968,-0.111192771601431,0.381472345736708,-0.117954471284491,0.06759549541148,0.0233611974711587,0.352621075570854,-0.535783628502438,0.496687326797513,0.0616738765934475,0.260130633800746,-2829.50886891577
-5.24993308820002,-4.11750231295802,-2.0922642267703,0.278350425425283,-0.270311781838477,-0.0424227802644343,-0.592822259906547,-1.30056825589453,-7.23767960308315,0.176249444997351,1.09993014498979,0.878152502509427,-0.230387859498161,-0.107229448837447,-1.29711218300329,-1.57005109266495,-7.70011399254922,-2.97184211236456,-0.019753495378589,0.463348857604364,-0.268442338634865,-0.109513509051302,-0.856701803267228,-1.19200074325821,-1.53374885212553,1.5705693249769,-0.550603405136798,0.0359940137827924,0.142893164736133,0.41326283271184,-0.602290327320935,0.715981565755776,0.0435820202268992,0.359179741921706,-0.111973265680326,0.38216913754985,-0.111679270185263,0.0821720264986077,0.0232658053774156,0.351264742960836,-0.528576846311903,0.486354903995306,0.0611257840946118,0.257572456119219,-2829.49539455767
-5.2487125617987,-4.11210121872662,-2.09251367131615,0.275810681700161,-0.270020989386106,-0.0428338612630298,-0.592137143245174,-1.30060837901527,-7.2334912539041,0.173828479720834,1.10216373166834,0.880421899293683,-0.230371159792707,-0.106814952324753,-1.29531891190103,-1.57052281452792,-7.70324712905753,-2.97401698650512,-0.0210664216082291,0.46405808529548,-0.268082323057918,-0.109747090578567,-0.858012214822001,-1.19208901556387,-1.51870784180001,1.57167063419079,-0.554199770868533,0.035609949303983,0.138207785605354,0.413985908065716,-0.611090210683872,0.711433773020064,0.0434147014271169,0.357504857306381,-0.113161990663527,0.382151992135808,-0.112794024651328,0.0789113833404982,0.023621564081866,0.349334159405643,-0.532650540668821,0.486278659823935,0.0614645036587287,0.258393467573259,-2829.49093371346
-5.24776019636281,-4.11020097196378,-2.09177035553408,0.276680542459463,-0.269873341474091,-0.0431117815656665,-0.592294584622397,-1.29995443574237,-7.23150177508647,0.173461737925629,1.10243447774174,0.881406394815129,-0.230158880077314,-0.106596695061177,-1.29411506875203,-1.57124825202571,-7.70432894931413,-2.97456821121654,-0.0207541831849079,0.464108164502569,-0.268105933414217,-0.109751165480507,-0.857955199368972,-1.19225882216084,-1.51364136230773,1.57061962361614,-0.554587445651925,0.0353578369921439,0.137898065712663,0.415663547405144,-0.611229582290448,0.709344841316567,0.0431286899550772,0.356634046238956,-0.113513729183292,0.382211198594628,-0.114045720697376,0.0792238310082755,0.0237898394687875,0.348735880829071,-0.533823983152779,0.484806055638317,0.0613308829990184,0.258450028804658,-2829.49000399912
-5.2444030011029,-4.10569351293974,-2.08999059588948,0.275766345434067,-0.269998125553063,-0.0433114122937905,-0.591137077255225,-1.29862440696482,-7.22858256075587,0.173760647363221,1.10207434792495,0.8818432886055,-0.229891189471993,-0.106411519304954,-1.29217131869242,-1.57189673357193,-7.7075044173929,-2.97677536683798,-0.0203909355984027,0.46524801367831,-0.267992982818885,-0.109849844196905,-0.858803961652939,-1.19255046385252,-1.50949058453654,1.57060759024035,-0.554722838380069,0.0351168642196752,0.136995659542391,0.414770174771575,-0.612973783159023,0.706827131447017,0.043146441851099,0.356145601153584,-0.11289759989665,0.381964793284396,-0.11410275478325,0.0794578531941516,0.0239359079674098,0.346367367806029,-0.53490424826962,0.483580331598313,0.0612631251897557,0.258139280099829,-2829.48946543654
-5.24216145534835,-4.10348033174116,-2.08869337458001,0.27586847098524,-0.270033403632669,-0.043391308053195,-0.590431584862281,-1.2978006376192,-7.22799738806274,0.17405704102989,1.10164138206369,0.881884189862348,-0.229727958493164,-0.106364009256492,-1.29157354594105,-1.5723674987918,-7.70949445269875,-2.97806098445226,-0.0200763147395831,0.465794405906165,-0.26801456845401,-0.109876283911458,-0.859384475845538,-1.19266953044251,-1.50912284160126,1.56993880732913,-0.554498366532561,0.0350985306981943,0.136650588175943,0.414799968448308,-0.612795880434176,0.705606205642809,0.0431697952047372,0.356085039922048,-0.112583848097801,0.381845461346067,-0.114083833935212,0.0799731403723464,0.0239735283844687,0.346272440972352,-0.535107439727454,0.482912634465406,0.0611502206720877,0.257919650730726,-2829.48931166379
-5.23992792033941,-4.10108900802398,-2.08754078282786,0.275411095085639,-0.270052425194226,-0.0434216450277063,-0.589633565430945,-1.29713797826216,-7.22789843332038,0.174270214019424,1.10112060668556,0.881660822058295,-0.229614805626573,-0.106366729397713,-1.29127000282495,-1.5725931325583,-7.71086918946028,-2.97937582328545,-0.0199036837331483,0.466393070281257,-0.268076226870958,-0.109866989765904,-0.859851900149888,-1.1927075325828,-1.50945580742264,1.56961869870176,-0.554050014537724,0.0350947390138932,0.136582433355155,0.414319828261911,-0.612831337199937,0.705323277154294,0.0431759986964282,0.35626049150668,-0.112512788962078,0.38164171869603,-0.113855440874969,0.0802039257253107,0.0239937694151643,0.346043575713906,-0.535136223360826,0.482431637785787,0.0610636742124624,0.257778885165572,-2829.48924083712
-5.23878269409796,-4.09967306173419,-2.0870217669065,0.274975842967927,-0.270022023402095,-0.0434148388571455,-0.589269973599536,-1.29688961031371,-7.22830670760852,0.174154069629857,1.10095223901722,0.881565195053839,-0.229575932088753,-0.106373718150507,-1.29129450988921,-1.57271561963858,-7.71137783588185,-2.9801529986903,-0.0199240510687819,0.466683883228536,-0.268133933741202,-0.109858043558315,-0.860058550634266,-1.19265142123953,-1.50982357252121,1.56932680653022,-0.553844199594568,0.0351377010116307,0.136592939757977,0.414042039792153,-0.612741399111935,0.705464272546074,0.0431915432547987,0.356306848076287,-0.11254641328314,0.381511324051582,-0.113703005525136,0.0801398706513706,0.0240013564259735,0.346154394770146,-0.535181527249655,0.482497490802024,0.0610287377585901,0.257723705022981,-2829.48921769261
-5.23790590671221,-4.09845736019476,-2.08667027358388,0.274582196884861,-0.269975701941885,-0.0434049973114496,-0.588971563611773,-1.29677495892856,-7.22877037778254,0.173965241717568,1.10079701159106,0.881404166756169,-0.22955229390715,-0.106391420460686,-1.29135277248523,-1.5727304467112,-7.71172187838423,-2.98090434673517,-0.0200185131303384,0.466918646538155,-0.268195403664975,-0.109846496299571,-0.860205200466391,-1.19258868725422,-1.50991074361126,1.56913337216532,-0.553654545906858,0.0351587379136684,0.13658115541723,0.413817241663018,-0.612813012939571,0.70572096932975,0.0431763253378966,0.356397505480039,-0.11274081362652,0.381363154766549,-0.113571719838407,0.0799859175296163,0.024003263217698,0.346331020227761,-0.535185034552456,0.482543955977768,0.0610028705290273,0.257730170285465,-2829.48920424988
-5.23742388834805,-4.09758990771498,-2.08650788497351,0.274236284940063,-0.269936547757685,-0.0433934175235386,-0.588827159686399,-1.29675905979822,-7.2292182558615,0.173756488254308,1.10073631736766,0.881297401733964,-0.229538345505272,-0.10639604337754,-1.29141665380006,-1.57274435840481,-7.71186182172171,-2.98145810886372,-0.020134873164433,0.467061670873186,-0.268239142713489,-0.109843103612001,-0.86026075812865,-1.19252854641068,-1.50988886048956,1.56892725171192,-0.553539894452328,0.0351807342297701,0.136565167275232,0.413636490418791,-0.612853096876782,0.705996279895339,0.0431794171579958,0.356423301180884,-0.112960456291907,0.381260025965644,-0.113478563950059,0.0798403242694038,0.0240159565771718,0.346391375756578,-0.53528394534309,0.482688266268569,0.0609959905290437,0.257758304059722,-2829.48919687764
-5.23712361140716,-4.09692405181932,-2.08642800402752,0.274017041248155,-0.269902295741512,-0.0433840700222841,-0.588729886732799,-1.29679762825085,-7.2295866346389,0.173547866711827,1.10067576559516,0.881171361195141,-0.229526188600181,-0.106398699483095,-1.29143380184381,-1.57272486134219,-7.71199555704458,-2.98199150077416,-0.0202616863423676,0.467167050907727,-0.268274685779624,-0.109844392072441,-0.860298253993893,-1.19248611272695,-1.50967961255995,1.56873606653848,-0.553447777649327,0.0351875856736265,0.136535541537152,0.413517601584539,-0.612913186049252,0.706211027871741,0.0431750423025751,0.356448249904944,-0.113198307103518,0.381161416241516,-0.113403387278109,0.0797155367040454,0.0240247882079526,0.346486172793753,-0.535353660701197,0.482796598876196,0.0609908388172443,0.2577956195112,-2829.48919165859
-5.23702842522269,-4.09653009979915,-2.08642564321586,0.273888538025884,-0.269885252737283,-0.0433777612624667,-0.588697404520702,-1.29685692377683,-7.22983583741865,0.17339564439265,1.10063396016436,0.881072533002687,-0.22951526177843,-0.106395556695025,-1.29142726880713,-1.57270743353024,-7.71205968188228,-2.98236801533797,-0.0203637289120626,0.467222934464811,-0.268293854923647,-0.109849229740571,-0.860303455160382,-1.19246394786758,-1.50944492224336,1.56857211813726,-0.553384421078745,0.0351899039844915,0.136499624174779,0.413436066728792,-0.612939357113982,0.706369244408585,0.0431806211021154,0.356446349407751,-0.113389797568461,0.381099801012484,-0.113351768912291,0.0796591799679447,0.0240365307927388,0.346485352247087,-0.535448111063983,0.482897040815019,0.060991493355186,0.257831072659202,-2829.48918842183
-5.23706326203705,-4.09634671343847,-2.08646989767569,0.273866660251044,-0.269880874995459,-0.043374613419489,-0.588696450397721,-1.29692606663789,-7.22995547772398,0.173290933062552,1.10059315036665,0.880985149655296,-0.22950643721333,-0.106389924503271,-1.2913837508284,-1.57268095790066,-7.71211524066853,-2.9826514377629,-0.0204407007529885,0.467246979864212,-0.26830156190428,-0.109856137043639,-0.860301854267634,-1.19246283884627,-1.50917820115149,1.56843794419246,-0.553343718468601,0.035184753777507,0.13647664794223,0.413401379553897,-0.612952670231474,0.706451131625409,0.0431862358175748,0.356439261974696,-0.113523988185812,0.381059767321761,-0.113316672631851,0.079651306518447,0.0240444651772584,0.346482932445552,-0.535516276116185,0.48296048436196,0.0609925698539218,0.257856803715455,-2829.4891862348
-5.23716879032069,-4.09633977739213,-2.08653277321521,0.273901945812937,-0.269888259018529,-0.0433741325719457,-0.588713556624773,-1.29697851082072,-7.22996872718568,0.173247236640146,1.10056108771111,0.880930589162065,-0.229499980722057,-0.106384078762927,-1.29133823301861,-1.5726602812907,-7.7121362737281,-2.98279355849256,-0.0204808722392626,0.467245577177116,-0.268299156917485,-0.109862077978199,-0.860294298870478,-1.19247510217343,-1.5089754096003,1.56835693163572,-0.553321478018573,0.035178466386191,0.136458196426963,0.413395848346611,-0.612939603049514,0.706477764047174,0.0431945484063055,0.356422733335805,-0.11358577976847,0.381049079267414,-0.113298834760277,0.0796882741747292,0.0240503083445365,0.34644013493163,-0.535569643768396,0.482994969062448,0.0609943119074534,0.25787189912497,-2829.48918495814
-5.23729889471338,-4.09643424466849,-2.08659853354886,0.273973076663015,-0.269901550678623,-0.0433756608935356,-0.588735050808778,-1.29701327012106,-7.22989928442188,0.173246627084814,1.10053544338241,0.880899859696164,-0.229496843704704,-0.106378904060286,-1.29128839206981,-1.57264151218442,-7.71214829813402,-2.98284538926664,-0.0204918250623213,0.467231804172942,-0.268291380302973,-0.109866578671796,-0.860290204870977,-1.19249606603081,-1.50883725531899,1.56831446665527,-0.553315794753506,0.0351716233878915,0.136459565235186,0.413414558478382,-0.612922560971851,0.706459713625114,0.043201496428729,0.356408521300343,-0.113586519139536,0.381054654761423,-0.11329286611638,0.0797440247207564,0.0240525772093479,0.346405034805493,-0.53559705518516,0.483002345105281,0.0609952401196688,0.257874701256882,-2829.48918420042
