"b_no_choice_a","b_powertrainbev_a","b_powertrainphev_a","b_powertrainhev_a","b_range_bev_a","b_range_phev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainphev_b","b_powertrainhev_b","b_range_bev_b","b_range_phev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainphev_c","b_powertrainhev_c","b_range_bev_c","b_range_phev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","delta_c","logLike"
-4.64432842149654,-8.71154694275554,-3.31640905974828,-1.26081769822024,2.25546328933956,0.0809073895057565,-0.266600902381027,-0.134886172261933,-0.0480504416000845,-0.484507223550541,-5.26193602336765,-0.211960032272325,0.160921891018462,0.632328285202593,0.152590386291282,-0.0539293001225887,-0.142484491534017,-0.110674077956722,-0.04891211995462,-0.483047712926952,-0.0427142824046314,-0.366186030209064,0.456936867907643,0.294772431254387,0.0835615256801248,0.193806883413345,0.530256372410804,-0.799870001617819,0.208352656569332,-0.157593611627817,-1.77763770114361,0.714122872333974,-2620.16208928818
-4.62496946465119,-8.73312442540987,-3.36603553174273,-1.2627530558153,2.28117260549739,0.106313605045909,-0.259785786724786,-0.13886048921805,-0.047340544312515,-0.482085787229837,-5.32490395351043,-0.221802621186677,0.125889617500165,0.644952797505714,0.181962444277086,-0.0331270380508738,-0.141145652156159,-0.106784642642023,-0.0482942112776737,-0.498743408031335,-1.39086820075793,0.394933171692772,0.518551341571234,0.35294328268347,-0.52228115537144,-0.0393289552013714,0.195996998210274,-0.62138765089337,0.130941628349013,-0.0676085817130821,-1.807818002043,-0.842069479698179,-2403.38017902192
-4.52672566615171,-8.35263475840825,-3.31447730116619,-1.23009908000119,2.17432561088493,0.0946438451332222,-0.234187473997358,-0.152321439104003,-0.0453705885370521,-0.468863414718655,-5.68139359264526,-0.409581790634745,0.0131449760063892,0.645046142524,0.288603282162985,0.00847027049696557,-0.142942862349843,-0.101083295843977,-0.0538365086122026,-0.543945662470773,-2.96087149260321,2.05396267239683,1.29713459600276,0.43419935740457,-1.38828807016277,-0.397526841460165,-0.268351411568369,-0.270216638476264,0.0187097679021139,0.0424635012281586,-1.5465150168107,-3.15341658155224,-2329.53147970608
-4.6125235065932,-8.80797446949313,-3.2556812788322,-1.21791454412866,2.3818202071771,0.049270202443941,-0.273844088256356,-0.124791015599817,-0.0438624974387999,-0.498640351882612,-4.91640803712601,0.0606059499378525,0.180845702999126,0.687742837621412,-0.0437379980145082,-0.0664777553566519,-0.15032566743442,-0.114759569275148,-0.0335926945852064,-0.436997670259284,-3.05394907083725,2.09127045816356,2.32022572421347,-0.672630795373563,-1.17355789166982,-0.663996769319689,-0.283328240916253,-0.402839711634879,-0.0293078679839416,0.362089832666384,0.104714525119651,-4.323538491529,-2253.56917420951
-4.61426625947541,-8.83454588693873,-3.23721914130128,-1.24158148683197,2.36948697165252,0.0356997933751631,-0.261455832009875,-0.137685292175513,-0.044040648760975,-0.493739025050951,-5.64723324296021,-0.224585947512384,0.117127536213416,0.640733724998303,0.0870544568501253,-0.0515895817651861,-0.151442787120773,-0.107973831544571,-0.0466189309523986,-0.522511896943603,-0.16648467047885,2.15266949905457,2.14647589608231,-1.46202940621647,-0.981785289711522,-0.69380997156454,0.885815555186925,-0.944395209510191,-0.131676861577224,0.470876955488722,-0.0125029817398507,-2.96922713143493,-2251.63354540743
-4.60610895132477,-8.86693765125251,-3.29717335410822,-1.25825243759114,2.37559735631065,0.0549323450815352,-0.261188109085006,-0.1396452745144,-0.0439178667354942,-0.494205992531899,-5.74917544700824,-0.259124362471029,0.102447846207434,0.633769023470982,0.106820469577023,-0.0513869630575334,-0.154594284212835,-0.103133979833517,-0.0493630518039552,-0.543511204443478,-2.64061490075408,2.29262224525736,2.46532584165391,-0.915362990467442,-0.864206675578999,-0.547171970009228,0.180959276278946,-0.862311931839819,0.085349644269148,0.595457859932272,0.175225827072853,-4.28419860595034,-2250.80274487793
-4.60548517271601,-8.89047733887774,-3.34448803938427,-1.27544751568089,2.38027943360931,0.06687581226461,-0.262697246013705,-0.139955620035644,-0.0439967237736516,-0.492633168809769,-5.71654020443847,-0.289429249895779,0.0916999720475947,0.622980760142433,0.12627109630877,-0.0491854831983499,-0.149476140321379,-0.103199635309618,-0.0509851805348485,-0.551176107654594,-2.76466589546091,2.45769481986713,2.16123908912637,0.279612722819987,-0.778353288746947,-0.705145086008363,-0.0341453245140177,-0.755807728873163,-0.0449683410974029,0.589993824601067,0.180829298205353,-4.1477432104247,-2247.38914008518
-4.5972857290232,-8.94752794983937,-3.36729638513252,-1.30437939565524,2.39525214826904,0.0685694014237501,-0.265673754679074,-0.139955737225356,-0.0431960882303638,-0.489394808042548,-5.72108635853085,-0.323688853378483,0.0847628022727242,0.612968547721995,0.140175178749203,-0.0499621346624329,-0.143256142747901,-0.102570368391667,-0.0524515457928711,-0.557708102460027,-2.74676139055293,2.28790894475189,1.42600326023888,1.11025792114945,-0.624187012431982,-0.764049989333876,-0.1359903969636,-0.627769544332527,-0.206025890699774,0.451308431898723,0.179685154671476,-3.64459840880067,-2245.66106771723
-4.59610030921979,-8.95766577944659,-3.36378472564963,-1.31302933709046,2.39362394823863,0.065081089539335,-0.265548040510569,-0.139929679897278,-0.0429859195525239,-0.488306587720815,-5.78119014584026,-0.335086595441032,0.0853050465509958,0.617725672704018,0.135671307766928,-0.0498496894301168,-0.145721944233386,-0.0993602934816536,-0.0512695062526115,-0.551752882708436,-2.83268181784627,2.27643848557496,1.71829388454998,0.998128565308843,-0.514415277776898,-0.660917959341441,-0.113292607176894,-0.600566078125154,-0.120732270788329,0.46652408020831,0.182587295590712,-3.55656569759128,-2244.40292855747
-4.58988924154842,-8.97560815679231,-3.34995291023007,-1.31869969301645,2.40107245032713,0.05990197569443,-0.265821794586076,-0.14016320947026,-0.0425383475731147,-0.486174671071476,-5.8928641485455,-0.355867385023804,0.0823152897915831,0.623005661345769,0.137193356425751,-0.0503944228198335,-0.148672914671708,-0.0983290769513512,-0.0512801493685029,-0.564168767521626,-2.73156741517077,2.13426422227492,1.66867818649238,0.433286699537985,-0.473098228034835,-0.645610327759925,-0.0713576379058919,-0.603165601118263,-0.152848105597342,0.474268705650202,0.181499113130966,-3.16776376644738,-2241.17715026599
