"b_no_choice_a","b_powertrainbev_a","b_powertrainhev_a","b_range_bev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainhev_b","b_range_bev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","delta_b","logLike"
-4.64432842149654,-8.71154694275554,-1.26081769822024,2.25546328933956,-0.266600902381027,-0.134886172261933,-0.0480504416000845,-0.484507223550541,-5.26193602336765,-0.211960032272325,0.632328285202593,0.152590386291282,-0.142484491534017,-0.110674077956722,-0.04891211995462,-0.483047712926952,-1.77763770114361,-2189.52638076833
-4.64734540486544,-8.34828190873233,-1.20676866739886,2.30781901542837,-0.260548132215641,-0.124320889149153,-0.203688179508589,-0.54089972308632,-5.38302047983313,-0.213436746841956,0.632194148402539,0.136889682908465,-0.140995130525051,-0.110935754231743,-0.1461076633178,-0.591691049542044,-1.07166026846022,-2094.67132674061
-5.64975805303185,-7.18193734174036,-1.46343641531632,1.6233020163743,-0.26731460166053,-0.114347281223645,-0.800104454121616,-0.735734540390586,-5.83167333223035,-0.331391321307709,0.594752368786765,0.141898504232903,-0.14143459843325,-0.115508660895923,-0.297642777350186,-0.7507960688569,-0.204920533998516,-2014.84472785134
-5.97394870917754,-5.66341139677536,-1.58509749781935,0.844671111429455,-0.271988121382138,-0.0799186800403264,-1.03727405075634,-0.950733553453752,-6.68067756004699,-0.593440615526875,0.413179997307467,0.109318515663514,-0.141709797401181,-0.12332481062275,-0.769538241422973,-1.05637872846852,0.435273052447589,-1976.04442428396
-5.88744654445758,-4.79547780127935,-1.66387203525593,0.23890952294646,-0.26550284897697,-0.0592008403102385,-1.04529255927727,-1.0407980036246,-6.6341017960446,-0.835202047704195,0.364693681870303,0.193488150658779,-0.149841308585221,-0.118433773080126,-0.80158779261364,-1.0817465855947,0.532865063102017,-1969.18963735372
-5.6997695677265,-4.16207602526085,-1.76744254872714,-0.144125202755426,-0.258059416228423,-0.0424448143855706,-0.989824553131981,-1.12985616587042,-6.59315752490103,-1.07544799937084,0.310568646607336,0.268993623216265,-0.156720008230445,-0.115572877736659,-0.825084517872516,-1.08261084866317,0.595987395792789,-1965.36184339141
-5.65015642988333,-3.99624497243372,-1.85176483527664,-0.197012024808993,-0.265539634555189,-0.0412832567307163,-0.924695571346299,-1.19639226010017,-6.56901756984044,-1.17470876036434,0.280759663474186,0.282558310672217,-0.157101911745185,-0.114545721813327,-0.830665082326589,-1.07266468091673,0.632438181439225,-1963.97374664058
-5.62501331669427,-4.01635140536654,-1.89599979031121,-0.128522268140673,-0.281786666316247,-0.0470086895831391,-0.854247560956107,-1.21559706595598,-6.54703610103168,-1.18598445509418,0.274552786248934,0.265778372449816,-0.154423171430265,-0.114945015884485,-0.813502712034533,-1.05436368893342,0.615938094631973,-1963.20023553601
-5.66143427593994,-4.16801414883325,-1.93122150933473,0.0172260475797412,-0.292595270107283,-0.0508771326867663,-0.839086550057229,-1.22240073183188,-6.55613899932477,-1.17481587145063,0.266419764853905,0.245721953501188,-0.15269408100613,-0.115478768798035,-0.808188811484415,-1.05016874721092,0.630779138115727,-1962.92047892854
-5.67448356211114,-4.36559625177913,-1.93511693240375,0.164776960252006,-0.299257637390714,-0.0550759852189641,-0.837489623218491,-1.19248771379255,-6.56918548046138,-1.12853253289973,0.272719586053486,0.220166788551603,-0.150839865492501,-0.116591776728915,-0.790371891860338,-1.04441016846368,0.620620696659782,-1962.77916407852
-5.74660853857988,-4.45625556635984,-1.98185476508065,0.233200041032161,-0.304645095057272,-0.0547186538046407,-0.850855342217963,-1.21968372560058,-6.5760762762377,-1.14505498454849,0.258521928976066,0.215410424667207,-0.150897530561036,-0.11661269657078,-0.793459225044125,-1.04784431101653,0.667866575522142,-1962.7025224468
-5.77596428650401,-4.49092718499659,-1.99532037216748,0.238744462166442,-0.304459220500525,-0.0538115152197098,-0.861800893842315,-1.2270835210494,-6.57715402333389,-1.15117501845137,0.255300780024807,0.215806897971528,-0.151332283947415,-0.116638197923076,-0.792773712046788,-1.04957348197221,0.684660844827425,-1962.66637647323
-5.79284593953841,-4.49356509541581,-1.99994289005631,0.219795390281843,-0.303923465144062,-0.0530618432144091,-0.867051276461354,-1.23122240619082,-6.57383176612109,-1.15737399170044,0.255074486082386,0.218232317827405,-0.151770636034032,-0.116612285711925,-0.791200078227635,-1.04990244095628,0.692495259240047,-1962.64797412077
-5.81568537899399,-4.53287759143316,-2.00610072515416,0.22689838171207,-0.302612255388153,-0.0530220319698501,-0.876598546426667,-1.23270669138146,-6.57512231972418,-1.15855799098606,0.254695626499573,0.21793700924506,-0.152189146916215,-0.116700866280644,-0.791739277858666,-1.05061275364998,0.694485245835356,-1962.63985714476
-5.81567111258497,-4.54147004964615,-2.00767268085779,0.229635094221319,-0.30238944608443,-0.0527942073333977,-0.876572413057954,-1.23299574266727,-6.57398288511843,-1.15886564154226,0.255253988060415,0.218329456549385,-0.152326544807405,-0.116706492206155,-0.791741027464311,-1.05042512879453,0.693171081658738,-1962.63914009407
-5.81681015783625,-4.54949869141036,-2.0097712464983,0.232789359927351,-0.302145666565818,-0.0527847963335039,-0.876376291760972,-1.23362104570238,-6.57196952775226,-1.15911609280689,0.255862179860452,0.218822589101253,-0.1524529353123,-0.116695664335066,-0.79195669943212,-1.04999632713274,0.691338067426379,-1962.63878696932
-5.81680157210851,-4.54970326740603,-2.01019729826962,0.232944241072173,-0.302194682561021,-0.052815088129747,-0.875956590774424,-1.23368968397836,-6.57112150657346,-1.1591696887429,0.255922180360936,0.218940461579505,-0.152445556330871,-0.116690388856261,-0.792080117535065,-1.04979769233233,0.691270391317133,-1962.63875364936
-5.81704839825642,-4.54943692906166,-2.01077324186827,0.232773842999826,-0.302279120841742,-0.0528661303981863,-0.875560785184088,-1.23370838586844,-6.57008416523718,-1.15927755138147,0.255978096635524,0.219097367068213,-0.15242441230177,-0.116683057498387,-0.792212091098466,-1.04959415685943,0.691455294849189,-1962.63873340267
-5.81710651637704,-4.54913079700678,-2.01101777218506,0.232515818390253,-0.302315782981114,-0.0528799879412583,-0.875469089903146,-1.23363547213715,-6.56977318446137,-1.15936452713265,0.255984894612648,0.219166790484262,-0.152413482681513,-0.116679516088717,-0.79225175324038,-1.04956173943079,0.691655418088708,-1962.63872847766
-5.81708242077856,-4.54877744224993,-2.01124014135835,0.232188651912263,-0.30234144378582,-0.0528876753098584,-0.875433997768111,-1.23351261851586,-6.56961929665782,-1.15948011858074,0.255978788502451,0.2192315592332,-0.152405605107062,-0.116675537253579,-0.792278142809204,-1.04957578599081,0.691877229012299,-1962.63872562293
-5.8169881168438,-4.54862411452097,-2.01130465077786,0.23203683657922,-0.302342354537373,-0.052886906822288,-0.875441590433179,-1.23343553449012,-6.56967179081134,-1.15954424928448,0.255966757580333,0.219251890051742,-0.15240581792222,-0.116673638103603,-0.792283340678244,-1.04960959460899,0.691953202989565,-1962.63872482998
-5.81686692777945,-4.54852805001104,-2.01132527069363,0.231940761209267,-0.302336437712908,-0.0528846539615737,-0.87545129186549,-1.23337378760641,-6.56977806682366,-1.15959500015867,0.255953116663266,0.21925992813625,-0.152408684616091,-0.116672275433663,-0.79228539747946,-1.04964614631719,0.691979089983523,-1962.63872447101
-5.81680391945509,-4.54851045340127,-2.01131631986914,0.231926006937105,-0.30233160915217,-0.0528835874145454,-0.875450849695101,-1.2333559118631,-6.56983975464127,-1.15961094942975,0.25594700530903,0.219258429658592,-0.152411042269611,-0.116671931303169,-0.792286553814194,-1.04966048836172,0.691965987747458,-1962.63872439048
