"b_no_choice_a","b_powertrainbev_a","b_powertrainhev_a","b_range_bev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainhev_b","b_range_bev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainhev_c","b_range_bev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","delta_c","logLike"
-5.23739364252466,-4.09654935033697,-2.08664476680004,0.274034986362686,-0.269914932171549,-0.0433776377505273,-0.588747052167326,-1.29702427876072,-7.22981024533138,0.173269562998026,1.10051906547778,0.880892696958506,-0.229495865170152,-0.106376227816293,-1.29125827720749,-1.57263022088434,-7.71214696817734,-2.9828319467233,-0.0204837653301092,0.46721722742041,-0.268282999985337,-0.109868440357245,-0.860290276922155,-1.19251494984028,-1.50877910239283,-0.113554319805483,-2983.8882851957
-5.22623771654509,-4.08182371736399,-2.12029927352814,0.28222445806524,-0.271759458597334,-0.0444632020789602,-0.579098969762696,-1.31256787589102,-7.2266377431429,0.239631276290098,1.064507716692,0.91160638676621,-0.222096562054702,-0.106330220010065,-1.29881364082513,-1.58408728917109,-7.68054122662893,-2.91451844460082,-0.0270005822227004,0.510735131837401,-0.267896095122586,-0.109294515280173,-0.903956175775809,-1.20521931553917,-1.2200253012169,-0.368025498184606,-2945.12173489066
-5.10181498975403,-3.91533275440154,-2.06724284549404,0.257955911271608,-0.271618490770968,-0.044302194832787,-0.353750618955064,-1.3942993067369,-7.01693262780266,0.126299322581087,0.971970806350495,0.858249005997162,-0.207390508313334,-0.109648451034736,-1.14932292413036,-1.5407787255397,-7.74348919315744,-3.01813227898176,-0.0109963032087018,0.558941442774397,-0.27084993216179,-0.105317866060788,-0.966766212729453,-1.21662637093855,-0.642172653125039,-0.701608952764075,-2917.22117596252
-5.08731102230002,-3.8577592869294,-2.00122496160333,0.316375547149665,-0.273483621277057,-0.0431549473558119,-0.294654704206592,-1.40458490677501,-6.81588781829457,0.124307897029653,0.948941746093865,0.838905648274118,-0.183355032232386,-0.104960842632194,-1.05691108092129,-1.54798089723347,-8.0176211102539,-3.32191701262057,-0.0223396628899643,0.623039248805297,-0.290485217543957,-0.108847682357712,-1.07414511834458,-1.21329323646361,-0.432222573078897,-1.00632236240003,-2911.51332251361
-5.10104589569405,-3.77593752871207,-1.96980372750102,0.274114385123213,-0.271768902104176,-0.0435514768444936,-0.302898590117805,-1.40327043714319,-6.72306307201647,0.110344138230583,0.950661789134673,0.82369269580279,-0.174229139714108,-0.10089376775072,-1.04023607502883,-1.54200709293088,-8.14957569113042,-3.54517397746269,-0.0276942613179016,0.688085053098307,-0.304304251517102,-0.113171642783053,-1.10640838442427,-1.20180851761394,-0.449073512801123,-1.10686970577628,-2910.59036605743
-5.09583863592752,-3.62401708464413,-1.90944686870303,0.195960722001767,-0.266889490531118,-0.041968600824634,-0.317380368292824,-1.39546942350886,-6.61993311774609,0.0658689437870571,0.922737540881935,0.782260963134309,-0.160884273198733,-0.0955064542378218,-1.02283043787337,-1.52457415953515,-8.34236627950014,-3.95816789951777,-0.0334358413277023,0.826044964262276,-0.325682273800751,-0.121479843994286,-1.15282195404873,-1.17872765902021,-0.466263882602705,-1.24505017842891,-2909.83688648905
-5.08165656138817,-3.49289881883141,-1.86012128129748,0.128702187545762,-0.26073387265359,-0.039909372336843,-0.330261222622901,-1.38898896421019,-6.57915093886784,0.0116214160426087,0.886929813846603,0.737102770486592,-0.155829609094281,-0.0910901663189085,-1.00628578543609,-1.50387851272171,-8.5238850734573,-4.39894848903767,-0.0381951621384163,0.985919630205553,-0.343756931004187,-0.130126437490476,-1.1954209407955,-1.162844824942,-0.458572411305495,-1.36029749745951,-2909.56205734635
-5.06788629014868,-3.39301669746215,-1.81986788074456,0.0780585001323203,-0.254966408324935,-0.0377733226932411,-0.342690402948142,-1.38389968822191,-6.57679133439247,-0.0396034029661537,0.850430860370115,0.693845560207378,-0.154673867674656,-0.0878397202614344,-0.993092989182238,-1.48455418661513,-8.68872430320977,-4.83621471767922,-0.0407623390157703,1.14648533305862,-0.35961640705172,-0.138563616337219,-1.23162159251826,-1.15144875810596,-0.443583428754569,-1.45771687882262,-2909.45156818791
-5.050827936882,-3.43857272977086,-1.83255861711629,0.103621251224919,-0.254799522344846,-0.0362698052649983,-0.337838283806944,-1.38349921623185,-6.68802393339344,-0.049609231545853,0.832593081916316,0.684258998669267,-0.165519837705393,-0.0901868208922262,-0.999303605766365,-1.48346572188818,-8.63992921995975,-4.89103726508678,-0.042987688714589,1.18788239847291,-0.349124247040418,-0.138105842549778,-1.23050301012063,-1.16350998505262,-0.413173676254883,-1.42507166002242,-2909.13546771664
-5.04998690965484,-3.453758093754,-1.84520131159227,0.109046413043837,-0.254334014572514,-0.036338460416083,-0.33729522890826,-1.38528018114728,-6.73678920289372,-0.0548176448573171,0.824209468251396,0.675357318650114,-0.171609770455141,-0.0901947396953022,-1.00066743740526,-1.48090740556197,-8.64637837706768,-4.94134601593679,-0.0436684249885215,1.20092740464143,-0.347447121022881,-0.138665263497761,-1.23462895724797,-1.17048965402677,-0.398974897769248,-1.42075511444251,-2909.03113063105
-5.0364125200027,-3.49844050967275,-1.87776850535821,0.130265061932806,-0.254806113619414,-0.0352686440361592,-0.331334338345201,-1.38653298861833,-6.8613391879597,-0.0750467975179838,0.797228168184916,0.646028343400895,-0.187372368198726,-0.0900255946661711,-1.0038540344523,-1.4702699657027,-8.67094862607397,-5.15358287984857,-0.0537146636334593,1.26558809889591,-0.342718134098329,-0.141021082950613,-1.25060082401678,-1.19011283379547,-0.352489107128044,-1.41651954833328,-2908.88505842001
-5.03591458675114,-3.49980833213546,-1.88256978611989,0.131071153081442,-0.25508431180141,-0.0353073578259516,-0.330747539412861,-1.38622311005358,-6.8695119825579,-0.084201612743728,0.791525753359708,0.640602850077568,-0.188668629759732,-0.0897777590453806,-1.0023233220722,-1.46689992183141,-8.68738589030736,-5.2426522493085,-0.0586886554980195,1.29565979581219,-0.342550164913694,-0.141985517948879,-1.25746797018959,-1.19323151765506,-0.342160719002364,-1.42311598561667,-2908.85648657725
-5.0306821508062,-3.50057037869269,-1.90009017122286,0.132852563032283,-0.256753617301646,-0.0352099036961232,-0.326932941116422,-1.38341476164944,-6.89267329237823,-0.127738742782011,0.765478573529906,0.616339452999245,-0.193067206697326,-0.0884507249194455,-0.993929417020107,-1.45115026815843,-8.77045817366361,-5.66427176990741,-0.0814397598272666,1.43786830945556,-0.342939794724933,-0.146609352048232,-1.29062552512668,-1.20553926092739,-0.297070876165796,-1.45927683547746,-2908.79022969485
-5.02974203700967,-3.50043705408155,-1.89807625727443,0.133384983045909,-0.257040165873371,-0.0351806673410459,-0.326427245438314,-1.38251073861811,-6.88714481559404,-0.13093133333065,0.763881280378546,0.615695234227461,-0.192230389002227,-0.0883109810077987,-0.992993406664039,-1.45100505634541,-8.77448923279159,-5.70404469057,-0.0824288538576836,1.45165354232605,-0.34343294415001,-0.146983621494509,-1.29268252875636,-1.20376243429068,-0.297091471258579,-1.46511679224025,-2908.77834480924
-5.0235160165988,-3.49616406034826,-1.89053936229122,0.132984864576849,-0.257990000222734,-0.0344991400467982,-0.324081946168848,-1.37968319249583,-6.87145028055826,-0.132182340836104,0.764174052016761,0.615884330596049,-0.190386123202596,-0.0878585738698948,-0.991589670256557,-1.45183336701704,-8.78850586601202,-5.72189988642047,-0.0809535077691552,1.45314342428916,-0.345830897650729,-0.147382177150004,-1.2955925617064,-1.19945083843855,-0.303980296111003,-1.47848216410152,-2908.76094661641
-5.02794687278038,-3.48513880376143,-1.88491792565251,0.126454475084999,-0.25777866427914,-0.0349796994371457,-0.32632099823829,-1.37869508299466,-6.85992522860944,-0.137464175184059,0.763361603841645,0.616764765159871,-0.188530932447107,-0.0875681417340218,-0.989892343856899,-1.45328631684704,-8.79521569449501,-5.77522526233342,-0.0810228710417018,1.47423759483938,-0.347300573491762,-0.147937255050356,-1.29855888166236,-1.19389635029163,-0.306349169194174,-1.49160129411271,-2908.75379227382
-5.0257802233529,-3.48478216372894,-1.88227450471273,0.126690528532804,-0.257699352178343,-0.034774020113812,-0.32627182856333,-1.37782776499786,-6.86224080314764,-0.138792875805395,0.762682286972769,0.617088145893145,-0.188391182728633,-0.0875908973732916,-0.989885346895982,-1.45434189157067,-8.79404546869142,-5.78627280927838,-0.0799953234538243,1.48052884498701,-0.3474079217619,-0.148084769154294,-1.2988928207985,-1.19202305319498,-0.307141641103387,-1.49397964254093,-2908.75254022342
-5.02367403865628,-3.48371366788838,-1.87874664656469,0.126159912224161,-0.257339158999913,-0.0345629749394735,-0.326875949353618,-1.37687259349311,-6.86861370108539,-0.140739617557149,0.761395949534814,0.617364660015201,-0.188470374789997,-0.087608818426572,-0.989900307231742,-1.45620406303234,-8.79088511968198,-5.79929099564572,-0.077706314575634,1.48907164521481,-0.347483312659147,-0.148319428740302,-1.29924721367823,-1.18908159652302,-0.308398467710454,-1.49738722874222,-2908.75133666609
-5.02347351129484,-3.48341103850609,-1.8778644244014,0.125648332015545,-0.257088602114805,-0.0345128462925316,-0.327442258241229,-1.37672202432828,-6.8730021374445,-0.14135998807953,0.760719280720227,0.617189090902657,-0.188725295545657,-0.0875864237665442,-0.989891485712832,-1.4570530288286,-8.78963788394828,-5.8018356405593,-0.0763824107691876,1.49131735624396,-0.347519038966686,-0.148439367906111,-1.29951411913752,-1.1880388525115,-0.308808888600459,-1.4987596191616,-2908.75093586749
-5.02407951113083,-3.48327819145783,-1.87765155872218,0.124918291356073,-0.256789153841979,-0.0345122144225022,-0.328229466915709,-1.37685418075124,-6.87785064583603,-0.141565245394981,0.760120329440267,0.616875218639569,-0.189079275833766,-0.0875421544640942,-0.989893009037961,-1.4578832851388,-8.78815292230474,-5.79985065997472,-0.074902513907621,1.49147586884098,-0.347565470704267,-0.148546321972332,-1.29969916547045,-1.18724260606256,-0.309202939021732,-1.49974531124045,-2908.75065652054
-5.02475714969638,-3.48344689575985,-1.87817891747902,0.124617089333092,-0.256698240963105,-0.0345365374991803,-0.328530222394738,-1.37707959040356,-6.87941052227365,-0.141471266815153,0.759963925889473,0.616644193340094,-0.189247304892234,-0.0875106653552822,-0.989856503661423,-1.45803976413,-8.78808138577286,-5.79790515893093,-0.0745068768407036,1.49061487873076,-0.347600015056268,-0.148583532622031,-1.29987817061198,-1.18727995361173,-0.309119685711899,-1.49984208827396,-2908.7505779645
