"b_no_choice","b_powertrainbev","b_powertrainhev","b_range_bev","b_mileage","b_age","b_operating_cost","b_price","logLike"
0,0,0,0,0,0,0,0,-2495.32985001569
-0.131121991010511,-0.103546884322112,0.0672890388553498,-0.0491609096772556,0.0122580669791701,0.00608945758476232,0.0799763874333576,0.00727923024772382,-2417.25303251722
-0.5914775767659,-0.391946616735807,0.173069932330275,-0.114134202334644,0.0106737754284589,-0.00108211957719107,0.205273063514947,-0.0988621216296505,-2317.99268203205
-2.57344237443885,-1.17347045332407,0.0314794587737178,0.123792793490285,-0.0698405435827942,-0.0530903398736671,-0.0739102793690894,-0.518435631917631,-2172.69098320887
-4.89480599618515,-2.09116096638332,-0.359338435242826,0.411845989387998,-0.16658457147189,-0.0987389363490767,-0.689750792520594,-0.833036454937401,-2119.54000853129
-5.00752373584021,-2.13427702016364,-0.379897164038462,0.428525599264358,-0.176136138406409,-0.0920889909078241,-0.712391444381093,-0.856864333964382,-2119.16583350274
-5.0048898566514,-2.13072317870638,-0.377913014314134,0.428896664926168,-0.175469802906835,-0.0917510496341081,-0.710223475760654,-0.85756014233765,-2119.16156600663
-5.00434823424981,-2.12923640151904,-0.377304043728088,0.428497941034446,-0.175315343357574,-0.0917631533482521,-0.709574999599199,-0.857586647052382,-2119.16135512524
-5.00448112343795,-2.12875990649449,-0.377179320522372,0.428318270512609,-0.175314453167578,-0.0917640824929678,-0.70950847405403,-0.857665882998956,-2119.16134809776
-5.00450066593822,-2.12871608945592,-0.37718190415546,0.42829151585009,-0.175317168843198,-0.0917648992367978,-0.709515045361344,-0.857665559679929,-2119.16134803858
