Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Car usage,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69a098d0906f783f417a5c01,6997463b53dc974a895c3f7d,SCREENED OUT,Not Applicable,2026-02-26T19:02:52.047000Z,2026-02-26T19:03:53.183000Z,,2026-02-26T19:03:53.416502Z,62.0,C65JEJ1S,18,English,Yes,67,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69a09a2483fe91170ee12aed,6637ab1c83f2d63a3762300c,APPROVED,Not Applicable,2026-02-26T19:08:30.921000Z,2026-02-26T19:21:56.054000Z,2026-03-01T15:48:56.454000Z,2026-02-26T19:21:56.448569Z,806.0,6944660374,292,English,Yes,53,Female,White,Japan,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69a09a54703ae2198dc5c057,6533e58dfc02d0c13648c45a,APPROVED,Not Applicable,2026-02-26T19:09:11.464000Z,2026-02-26T19:24:03.027000Z,2026-03-01T15:48:56.748000Z,2026-02-26T19:24:03.430334Z,892.0,2914348050,152,English,Yes,24,Male,Black,United States,United States,United States,English,No,Part-Time
69a09a640f5204efa2af4bd7,65a1a62dc0395fef974516e7,SCREENED OUT,Not Applicable,2026-02-26T19:09:27.660000Z,2026-02-26T19:11:47.161000Z,,2026-02-26T19:11:47.463338Z,140.0,C65JEJ1S,550,English,Yes,30,Female,White,United States,United States,United States,English,Yes,Full-Time
69a09aa1ad63f95214b16bfe,699339981db26f460ecff2fd,SCREENED OUT,Not Applicable,2026-02-26T19:10:31.883000Z,2026-02-26T19:11:41.204000Z,,2026-02-26T19:11:41.426034Z,70.0,C65JEJ1S,64,English,Yes,44,Female,White,United States,United States,United States,English,No,Part-Time
69a09ac9f6618624bb6040a3,698d21c653f9cfdb05a407bf,SCREENED OUT,Not Applicable,2026-02-26T19:11:57.338000Z,2026-02-26T19:12:38.143000Z,,2026-02-26T19:12:38.356086Z,41.0,C65JEJ1S,63,English,Yes,43,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69a09b5630a6d0087ab97eb0,697c1c858ba98540e8d00e22,SCREENED OUT,Not Applicable,2026-02-26T19:13:31.605000Z,2026-02-26T19:14:15.992000Z,,2026-02-26T19:14:16.210941Z,45.0,C65JEJ1S,79,English,Yes,32,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69a09ba7d849b516a7747054,696672bf58495a18f8a1851a,APPROVED,Not Applicable,2026-02-26T19:14:51.113000Z,2026-02-26T19:22:23.042000Z,2026-03-01T15:48:57.052000Z,2026-02-26T19:22:23.403649Z,452.0,9278731205,650,English,Yes,55,Female,White,United States,United States,United States,English,No,Full-Time
69a09babbc0dfe34061662d5,6723cc582c496c56eb6a2503,SCREENED OUT,Not Applicable,2026-02-26T19:14:59.573000Z,2026-02-26T19:15:45.842000Z,,2026-02-26T19:15:46.067703Z,47.0,C65JEJ1S,602,English,Yes,51,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69a09bd8267eb6fb2d6e445e,695fc9fbb5aed4a7081e1367,SCREENED OUT,Not Applicable,2026-02-26T19:15:40.847000Z,2026-02-26T19:16:27.286000Z,,2026-02-26T19:16:27.537848Z,47.0,C65JEJ1S,94,English,Yes,19,Female,White,United States,United States,United States,English,Yes,Other
69a09be279280b97674c97aa,65c53e00bf4a8aebd5049903,APPROVED,Not Applicable,2026-02-26T19:15:49.846000Z,2026-02-26T19:24:45.923000Z,2026-03-01T15:48:57.357000Z,2026-02-26T19:24:46.299342Z,537.0,7501396740,199,English,Yes,23,Female,Asian,China,United States,China,English,No,Full-Time
69a09c58c229cf4002c0807f,698bf7bb4cf3428056f6081b,APPROVED,Not Applicable,2026-02-26T19:17:47.095000Z,2026-02-26T19:29:11.889000Z,2026-03-01T15:48:57.636000Z,2026-02-26T19:29:12.297947Z,685.0,1667476889,405,English,Yes,49,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
69a09d7ac5e05a6fabf761bb,66cf5d2817623ac399e0586f,SCREENED OUT,Not Applicable,2026-02-26T19:22:38.920000Z,2026-02-26T19:23:13.453000Z,,2026-02-26T19:23:13.686402Z,35.0,C65JEJ1S,901,English,Yes,48,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69a09ef134d28b533ad56040,6987834362e70c22e6809aee,SCREENED OUT,Not Applicable,2026-02-26T19:28:53.975000Z,2026-02-26T19:30:16.534000Z,,2026-02-26T19:30:16.765862Z,83.0,C65JEJ1S,139,English,Yes,33,Male,Black,United States,United States,United States,English,No,Other
69a09f364d8a6fdfd07dc0f0,699206a7d03f42b62e56f202,SCREENED OUT,Not Applicable,2026-02-26T19:29:58.163000Z,2026-02-26T19:31:33.108000Z,,2026-02-26T19:31:33.346361Z,95.0,C65JEJ1S,28,English,Yes,46,Female,White,United States,United States,United States,English,No,Part-Time
69a09f643e9d000423a91b34,663a63ecb5159902d6165063,SCREENED OUT,Not Applicable,2026-02-26T19:30:48.414000Z,2026-02-26T19:31:51.490000Z,,2026-02-26T19:31:51.708929Z,64.0,C65JEJ1S,224,English,Yes,25,Female,White,United States,United States,United States,English,Yes,Full-Time
69a0a0b79b6d1582fd54a01c,6942cce943385846f04563a0,SCREENED OUT,Not Applicable,2026-02-26T19:36:27.755000Z,2026-02-26T19:37:02.361000Z,,2026-02-26T19:37:02.585920Z,35.0,C65JEJ1S,19,English,Yes,23,Female,White,United States,United States,United States,English,Yes,Other
69a0a11668c66a2fe1ee7ef1,697a47fa43ae8ce5e8754854,SCREENED OUT,Not Applicable,2026-02-26T19:38:03.491000Z,2026-02-26T19:38:55.825000Z,,2026-02-26T19:38:56.068153Z,53.0,C65JEJ1S,54,English,Yes,61,Female,White,United States,United States,United States,English,No,Full-Time
69a0a11a2f1ad04b493c9dcf,66d77ebd93a13a53f4d6577b,APPROVED,Not Applicable,2026-02-26T19:38:05.819000Z,2026-02-26T19:48:59.747000Z,2026-03-01T15:48:57.910000Z,2026-02-26T19:49:00.101988Z,654.0,7177638870,929,English,Yes,53,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69a0a11d464ed835ee2a2fa3,699cd20f7c616e8b4d1d2202,APPROVED,Not Applicable,2026-02-26T19:38:09.734000Z,2026-02-26T19:47:21.941000Z,2026-03-01T15:48:58.190000Z,2026-02-26T19:47:22.300782Z,553.0,1133270424,22,"Turkish, English",Yes,30,Female,White,Turkey,United States,Turkey,Turkish,No,Unemployed (and job seeking)
69a0a12fdfb9c87f3c16837b,695182c9c48f33607ae1a7c8,SCREENED OUT,Not Applicable,2026-02-26T19:38:26.463000Z,2026-02-26T19:39:14.485000Z,,2026-02-26T19:39:14.747457Z,49.0,C65JEJ1S,198,"English, Spanish",Yes,26,Female,Other,United States,United States,United States,English,No,Unemployed (and job seeking)
