date,description,participant_id,study,reward,fee
2026-02-26,APPROVED,6997289411b4310cfa39347e,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,69863eed1a33d8211313d0f6,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,699f2f0ef27b0dfd29bb6057,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,699d0044acc22c614ed6434d,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,69600fa4a2d6641882972474,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,66b29d1ec3671b7ea728c771,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,699a1fc650381bf2ce52e6cc,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,698d6429d7db65102137c433,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,69823b1c48b5511c38b813a5,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,699e42aa92d078d3b64b4a72,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,6579bbe4def90fc2a25cbc20,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,6992208bb9f2bd50b06851a2,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,697c9f1edb33c56303f887a2,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,69829bc1224b28f0538900d5,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,69953458bd746094a67ced96,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,610d4495917435190c998bf3,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,5ccf2abd37095c001a78cef6,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,6615a00442329f81ef2a1186,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,699f14931a929010aea6d707,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,69793ca29fac44c8c930c6f3,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,663eed3d72f4269ddd149f33,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,698a4754fc0b67e54a39fa66,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,699c98bb18e88c4dec767d5f,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,6631566d8d9adb4eb7b3246a,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,698e932beef10fc1f3bc13fb,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,69925edfee22ef2e038a5f33,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,69951b7f4c2eda5f997a4d98,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,6999faa155ff0610d0cee2ad,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,695fabd79bbd41527750099c,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,699db1a68d19aeda4ba92c01,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,699da6062a41f6a56dcfb285,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,6984e8757e8906b84d8261ad,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,657a3e906d29df3411389800,69972f6c3f130386dee62c91,0.14,0.05
