"vehicle_type","powertrain","mpg_q10","mpg_q25","mpg_q50","mpg_q75","mpg_q90","kwh_q10","kwh_q25","kwh_q50","kwh_q75","kwh_q90","cents_mile_max","cents_mile_min","cents_mile_avg_max","cents_mile_avg_min","cents_mile_max_round","cents_mile_min_round","cents_mile_avg_max_round","cents_mile_avg_min_round","diff"
"car","bev",95.3464616509333,110.978705067678,119.564585833074,123.248919230916,134.2346,25.109,27.3750220655549,28.1807000835683,30.3917122210535,34.933963030728,11.5282078001403,2.76199,5.93877371522377,4.26853,12,3,6,4,8.76621780014025
"suv","bev",85.6641353499648,91.3411257143315,99.0691772782688,103.141890907644,109.96011686848,30.7991713398811,32.6185109444756,34.0500496685436,36.9362192284456,40.9989408650667,13.529650485472,3.38790884738692,6.96981994706134,5.23585912777979,14,3,7,5,10.1417416380851
"car","cv",19.9823907985118,25.9738560279953,29.1240055528111,32.5902833265869,33.8765795727186,NA,NA,NA,NA,NA,23.8710174778248,7.85203238801046,15.9140116518832,9.38701616311025,24,8,16,9,16.0189850898143
"suv","cv",19.2564800231063,21.8910860176503,25.0938844813498,28.4888833004114,29.395469446659,NA,NA,NA,NA,NA,24.7708822914487,9.04901350470636,16.5139215276324,10.8179935883332,25,9,17,11,15.7218687867423
"car","hev",38.9460852722795,44,47.912635021336,48,49.2263725905237,NA,NA,NA,NA,NA,12.2477008065176,5.40360757865807,8.16513387101171,6.45995191734311,12,5,8,6,6.84409322785949
"suv","hev",23.874617536753,27.8261984261947,35.3001530328901,39.5135444849652,40.4910990571447,NA,NA,NA,NA,NA,19.9793776493256,6.56934502134894,13.3195850995504,7.85357788266527,20,7,13,8,13.4100326279766
"car","phev",36.9,42.0792617089461,48,53.8384347195172,54.4329,25,25.22436346275,29,31.2903791055206,35.286469666589,12.0702566903761,3.45940115812312,6.86826970671997,4.77856228677877,12,3,7,5,8.61085553225294
"suv","phev",20.0927,20.0927,20.0927,25.1224,25.1235322028352,57.1022316308608,58,68,68,68,23.1068821789008,8.4904480335647,13.7487881192672,11.2207686148454,23,8,14,11,14.6164341453361
