vehicle_type,powertrain,mpg_q10,mpg_q25,mpg_q50,mpg_q75,mpg_q90,kwh_q10,kwh_q25,kwh_q50,kwh_q75,kwh_q90
car,bev,95.34646165093332,110.97870506767771,119.56458583307379,123.24891923091616,134.2346,25.109,27.37502206555493,28.18070008356833,30.39171222105353,34.93396303072804
suv,bev,85.66413534996482,91.34112571433154,99.06917727826885,103.14189090764411,109.96011686847959,30.799171339881113,32.61851094447563,34.05004966854364,36.936219228445566,40.9989408650667
car,cv,19.982390798511776,25.973856027995275,29.124005552811127,32.590283326586885,33.8765795727186,NA,NA,NA,NA,NA
suv,cv,19.256480023106345,21.891086017650323,25.093884481349807,28.488883300411374,29.395469446658954,NA,NA,NA,NA,NA
car,hev,38.94608527227953,44,47.91263502133605,48,49.22637259052371,NA,NA,NA,NA,NA
suv,hev,23.874617536753025,27.82619842619473,35.30015303289007,39.5135444849652,40.49109905714465,NA,NA,NA,NA,NA
car,phev,36.9,42.079261708946106,48,53.83843471951719,54.4329,25,25.22436346274996,29,31.290379105520614,35.28646966658905
suv,phev,20.0927,20.0927,20.0927,25.1224,25.1235322028352,57.10223163086085,58,68,68,68
