"b_no_choice_a","b_powertrainbev_a","b_powertrainphev_a","b_powertrainhev_a","b_range_bev_a","b_range_phev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainphev_b","b_powertrainhev_b","b_range_bev_b","b_range_phev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainphev_c","b_powertrainhev_c","b_range_bev_c","b_range_phev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","delta_c","logLike"
-4.64432842149654,-8.71154694275554,-3.31640905974828,-1.26081769822024,2.25546328933956,0.0809073895057565,-0.266600902381027,-0.134886172261933,-0.0480504416000845,-0.484507223550541,-5.26193602336765,-0.211960032272325,0.160921891018462,0.632328285202593,0.152590386291282,-0.0539293001225887,-0.142484491534017,-0.110674077956722,-0.04891211995462,-0.483047712926952,-0.509857804980129,-0.173379832413048,0.639524932485074,0.559423644095659,-0.914209481328726,0.245157998986542,0.279032387770712,-0.681059778667986,0.914675462059677,0.184135247487575,-1.77763770114361,-0.10459174355492,-2539.26875160828
-4.64408523634974,-8.69304249425675,-3.30777735719086,-1.25203525162877,2.26334106851199,0.0799498123188999,-0.265358180609182,-0.135003160292006,-0.0480450208110389,-0.484952195291397,-5.26665307926562,-0.216973849461803,0.15825585405035,0.626457458030443,0.150201962768028,-0.0535911377276565,-0.141288988428761,-0.11051106140982,-0.0499580647056384,-0.483657444032073,3.58214251671064,0.504087399923044,0.615754422755392,0.873112492614475,-0.765676113624447,0.030447206805919,-0.118646473219643,-0.544917650986858,0.707258349819114,-0.244449444406181,-1.57705742578435,-1.8698261739854,-2373.9002754931
-4.64302801729955,-8.64993997210474,-3.27167457080798,-1.23976364211167,2.28365443009879,0.0704581404176183,-0.258703204017517,-0.138625143258219,-0.0475950304162038,-0.486950430704289,-5.29828950043808,-0.232224232850763,0.168771459462349,0.615240112714895,0.146404745095443,-0.0569204453739289,-0.140066844724609,-0.113890000525901,-0.0478794190487498,-0.490879118668243,2.12432372154188,1.18120764823556,0.572693472722288,0.868434235621126,-0.703992610133645,-0.280102363548767,-0.372819605955402,-0.126684595561971,0.588067573757355,-0.603080840873244,-0.906812050632933,-4.31704989078837,-2291.86204440983
-4.6311539613636,-8.82120752589601,-3.30376731266645,-1.24001962012072,2.36618597129072,0.0541438476270539,-0.258011001166455,-0.137267589573601,-0.0452944658208796,-0.498223859587186,-5.3300949736026,-0.253823596692617,0.0826671539817783,0.594553934742809,0.131004155102863,-0.0437549776124007,-0.142151076106341,-0.109683026693024,-0.0485769797962172,-0.487724728022237,-1.91485126232149,-1.87475971586611,2.12523852279613,2.71047737441769,0.0474276516706801,1.32938091154083,-0.874474939480809,-0.884476928233993,0.60443622232955,-1.09197755955466,-0.0849772691138141,-6.47097303996769,-2254.92420955205
-4.64314199142004,-8.94389817409546,-3.29085384385402,-1.27529923006344,2.39108648008261,0.00837103902218429,-0.259016044250474,-0.138249299087785,-0.04508526164976,-0.501095249642697,-5.32353692200014,-0.257023404699172,0.100837776429509,0.602907623553938,0.129491428696602,-0.050984735859345,-0.143048322738268,-0.108763828406046,-0.0491850265067148,-0.486088355250054,-4.85758952200448,5.64719730353836,-2.30050981730089,-2.85765334323632,1.985130747479,0.59728823364846,-0.864818202472223,-1.3016837925654,-0.0110998292266711,0.125727615951055,0.220842474881184,-9.71007748006383,-2251.75886164638
-4.62657286833225,-9.02397620023272,-3.4391199316758,-1.30012013201347,2.43127903095064,0.0867031726107893,-0.261129254813792,-0.137449270859144,-0.0448732241513637,-0.497297988985785,-5.48331960557129,-0.294923375566159,0.0959159514419425,0.613548905594681,0.132016311303156,-0.0486517171591686,-0.148081399138903,-0.110404192491483,-0.0517494520734566,-0.505228890147861,-5.5370008739556,7.06532738922143,-11.5185181371001,-4.23595804234052,2.94184079936224,-1.88191058724914,0.277846726406484,-0.860708833838223,0.228315224089592,0.315624071882601,0.218773493409586,-7.64729862932822,-2251.59867994493
-4.62297884169334,-8.95375982158015,-3.30881039365244,-1.29423411724518,2.39505967976158,0.0396336773416196,-0.266314732282317,-0.142362484904179,-0.0434406055531113,-0.491525746441247,-5.33523961817074,-0.305740139954535,0.0926678681089499,0.60588236946,0.13247472388882,-0.0489824307263157,-0.14134004682817,-0.10910479835079,-0.0502772924074149,-0.490782752463872,-2.36113723009765,5.15993326847379,-6.06555293873227,-10.7985602454485,3.68959268638592,0.561856169075082,-1.97263969867802,-0.679408530263465,0.867784743339707,-0.119412874833086,0.197704124008068,-5.43048051227174,-2250.2701366822
-4.62046126931967,-8.96194987940209,-3.33589166503181,-1.30964299480743,2.39578206051394,0.0485254828619876,-0.26735515772427,-0.141903891197622,-0.0434743540703531,-0.491578511250139,-5.33394384923753,-0.319684813291584,0.0940798001621787,0.610404448632784,0.132471739620827,-0.0504036277591111,-0.143887385268513,-0.1089037122407,-0.0501819557717073,-0.489969163897066,-2.23302031915353,6.40372632113355,-6.15161390179354,-10.3137335749175,4.58000430090947,0.388204652671372,-1.77889824412019,-0.666645237078512,0.788580663541304,-0.181089465302407,0.240699782008178,-6.26488457967319,-2249.79148998098
-4.62147875115752,-8.99291491042567,-3.38860051042764,-1.32200954279254,2.40679988450083,0.0670713865225651,-0.26916940547391,-0.141471493997218,-0.0434753742782335,-0.491044896695735,-5.31951197788944,-0.341383228612263,0.0925298984372326,0.607187103592771,0.138125687521636,-0.0524966970226128,-0.143456875643762,-0.108908560065026,-0.0499435964719235,-0.488691114803369,-1.89443016093017,6.34768836564039,-5.08799635614811,-15.8370290471228,5.20294205859232,0.566133510551962,-1.4874767847997,-0.661088329729247,0.758230547439234,-0.409369255506099,0.228564826818228,-5.31412599796896,-2249.10670780397
-4.62274301172636,-9.02284589569846,-3.40098287076571,-1.33117520730914,2.41507644677924,0.0671301576939328,-0.270825361953738,-0.142211912438651,-0.0433344271398593,-0.490116894150827,-5.30101088867788,-0.369286716850902,0.0796060263148768,0.59573509414395,0.136409010419856,-0.0524771223574029,-0.142857730341331,-0.108452315819759,-0.0495348632702761,-0.485849313251616,-2.47540604148207,10.3612246747055,-5.79519550096371,-15.8423264995711,6.38048470505404,0.330570536209399,-1.52026835164769,-0.557129979467951,0.689262587243038,-0.372822415189121,0.249313966837647,-5.12778050333,-2247.67735331877
