"b_no_choice_a","b_powertrainbev_a","b_powertrainphev_a","b_powertrainhev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainphev_b","b_powertrainhev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainphev_c","b_powertrainhev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","delta_c","logLike"
0.0317477053031325,-0.738212081138045,0.701292586978525,-0.195879227947444,-0.109760238789022,-0.359964977949858,0.107015544548631,-0.276294925715774,0.588260312564671,0.693796151783317,-0.128903387114406,-0.701847460120916,-0.913608198519796,-0.574250093661249,-0.865437220782042,0.478265148121864,-0.268395488616079,-0.379686012864113,0.222091774456203,-0.589210935868323,-0.499151042662561,0.573672999627888,-0.578306919429451,0.975416290108114,-0.0109996031969786,0.92453104769811,-4292.74497491209
0.00699051515628867,-0.703635941096075,0.676754453322411,-0.164421539231123,-0.104092447009424,-0.356069981321364,0.109108233446238,-0.269632355508973,-35.4165923231889,-15592.2434932216,540.763327019498,1966.7380034652,21.203501489877,26.0325436285127,3.17486468851051,6.05518387607649,-0.30728864040789,-0.369008810464436,0.212782818535636,-0.53183369023577,-0.490958130302161,0.575621637403492,-0.574243876456958,0.989442939423118,-0.516832631270912,0.791579131842528,-4125.00821736929
-0.0212423850757314,-0.716458913251723,0.654064124351757,-0.170066997061947,-0.105490740070557,-0.356529421089584,0.109266866034275,-0.270711445110543,-35.4165923231889,-15592.2434932216,540.763327019498,1966.7380034652,21.203501489877,26.0325436285127,3.17486468851051,6.05518387607649,-0.511479127864249,-0.364546883479534,0.175225409399089,-0.520475767819544,-0.446402533486033,0.511466990726961,-0.5295120106186,0.900115231710044,-3.12726676746605,-0.120568673053029,-3895.21627738006
-0.344805650298362,-0.809018266602602,0.442521111159811,-0.223274743829834,-0.124762823873893,-0.351664432643353,0.105728679400525,-0.268225744141799,-98.4140712116422,-15592.366552967,545.733695357291,1969.10080968543,165.095783348191,184.820830630319,574.999734218412,276.058591744155,-1.39909891408904,-0.358484537190611,0.0449268306120708,-0.458787655510592,-0.280937501143534,0.270251553625867,-0.369835705916633,0.59136625480735,-6.82906775669914,-3.2249289243632,-3551.42030362282
-0.345775224459762,-0.807641162355061,0.441874256070184,-0.222008246345234,-0.124536259224256,-0.351511626197837,0.105809053146361,-0.267950364967646,-98.4140704185053,-15592.3665529654,545.733695294714,1969.10080965568,165.095781536591,184.820828631178,574.99972701915,276.058588344818,-1.40095663237483,-0.358200314785846,0.0449678034167977,-0.45680931921714,-0.280557397501439,0.270394031685758,-0.369675970810141,0.592108669127535,-6.86067451464199,-3.21857158408027,-3547.39392298408
-0.892298232920701,-0.939865621260949,0.1111703517857,-0.327561992808123,-0.167625281150627,-0.332774857079001,0.0928693780032773,-0.252589267646325,-98.4140704185053,-15592.3665529654,545.733695294714,1969.10080965568,165.095781536591,184.820828631178,574.99972701915,276.058588344818,-1.45030668309625,-0.335417809849097,0.0855889305314532,-0.425228133680965,-0.268640663673322,0.259800443204101,-0.369244413433204,0.582411372465347,-5.86030272187472,-2.31125976912081,-3298.64818351758
-0.914350632112546,-0.9141422855945,0.0980585361984528,-0.301323142544018,-0.162557130070358,-0.329346858727274,0.0946875006723513,-0.24665654386287,-98.4140942627823,-15592.3665529662,545.733697175977,1969.10081055,165.095835999205,184.820888731867,574.999943452423,276.058690539955,-1.49463750787885,-0.326586572175316,0.0908506411361651,-0.38150431063119,-0.25968887440688,0.26309482279146,-0.365505544268329,0.601407753394509,-5.19915398398142,-2.27284335163931,-3223.82457687937
-1.06622188297958,-0.723626911974755,-0.114904330319522,-0.102920931112454,-0.129068559499526,-0.303813060695763,0.106722637972491,-0.201728995943771,-98.4123295945235,-15592.3665529453,545.73355794737,1969.10074436371,165.09180532771,184.816440797522,574.983925649574,276.05112727787,-1.73755629951999,-0.402976531189999,-0.00171844109989178,-0.0517567061299741,-0.212938507698263,0.266756735111285,-0.338538545548722,0.639663672138909,-24.8868577493185,-1.2068876675963,-2835.9060611651
-1.68462555822164,-0.933328170392176,-0.515110338420198,-0.237400556535222,-0.180682894910509,-0.265355799221122,0.0771173859767903,-0.191251536622008,-98.4123295945235,-15592.3665529453,545.73355794737,1969.10074436371,165.09180532771,184.816440797522,574.983925649574,276.05112727787,-2.10532172751747,-0.285040301139448,-0.0551592553068837,0.0372210696158839,-0.148522416193936,0.151094728632585,-0.276113793011865,0.567377011097363,-24.8495014980583,-1.62346721863543,-2661.41630893978
-2.42277495305474,-1.22705266413079,-0.985125710307385,-0.396254660516519,-0.22424068008369,-0.224636861572999,0.0427472726709046,-0.198127570234508,-98.4123295945235,-15592.3665529453,545.73355794737,1969.10074436371,165.09180532771,184.816440797522,574.983925649574,276.05112727787,-2.33775058698921,-0.053447820531581,0.0443985507421581,0.244331930952733,-0.120894981193433,0.0784907969425593,-0.224969090500403,0.491263340953492,-24.8161191097394,-1.47170595401778,-2523.76762066898
